batter,embedding_index,name,stand
-1,0,COLD_START,
112526,1,Bartolo Colón,R
116338,2,Torii Hunter,R
120074,3,David Ortiz,L
121347,4,Alex Rodriguez,R
133380,5,Aramis Ramírez,R
134181,6,Adrian Beltré,R
136860,7,Carlos Beltrán,L
150029,8,Jayson Werth,R
150212,9,Michael Cuddyer,R
150229,10,A. J. Pierzynski,L
150359,11,A. J. Burnett,R
217100,12,Willie Bloomquist,R
276519,13,Jimmy Rollins,L
285078,14,Josh Hamilton,L
285079,15,R. A. Dickey,R
346874,16,Juan Uribe,R
400085,17,Ichiro Suzuki,L
400121,18,Víctor Martínez,L
400284,19,Chase Utley,L
405395,20,Albert Pujols,R
407781,21,Marlon Byrd,R
407793,22,John Lackey,R
407812,23,Matt Holliday,R
407822,24,Jorge De La Rosa,L
407862,25,Reed Johnson,R
407893,26,Mark Teixeira,L
408042,27,Gerald Laird,R
408045,28,Joe Mauer,L
408047,29,Justin Morneau,L
408234,30,Miguel Cabrera,R
408236,31,Adrián González,L
408242,32,Wil Nieves,R
408252,33,Brandon Phillips,R
408299,34,Omar Infante,R
408307,35,Carl Crawford,L
408314,36,José Reyes,L
421685,37,Aaron Harang,R
424325,38,David Ross,R
424825,39,Coco Crisp,L
425496,40,Cody Ross,R
425509,41,Jhonny Peralta,R
425543,42,Josh Wilson,R
425549,43,Clint Barmes,R
425557,44,Jeff Baker,R
425560,45,Adam Laroche,L
425567,46,Alex Ríos,R
425664,47,Shane Victorino,R
425766,48,James Loney,L
425772,49,Jeff Mathis,R
425783,50,Shin-Soo Choo,L
425784,51,René Rivera,R
425794,52,Adam Wainwright,R
425796,53,Jeff Francoeur,R
425834,54,B. J. Upton,R
425835,55,Chin-Hui Tsao,R
425844,56,Zack Greinke,R
425877,57,Yadier Molina,R
425900,58,Dioner Navarro,L
425902,59,Prince Fielder,L
429664,60,Robinson Canó,L
429665,61,Edwin Encarnación,R
429666,62,J. J. Hardy,R
429667,63,Ryan Howard,L
429711,64,Franklin Gutiérrez,R
429713,65,Grady Sizemore,L
429717,66,Dan Haren,R
429780,67,Chris Narveson,L
430001,68,Rickie Weeks,R
430203,69,David Dejesus,L
430321,70,Delmon Young,R
430404,71,Jonny Gomes,R
430603,72,Don Kelly,L
430605,73,Ryan Raburn,R
430611,74,Corey Hart,R
430613,75,Ronald Belisario,R
430637,76,Kelly Johnson,L
430652,77,Jason Bourgeois,R
430681,78,Dan Johnson,L
430832,79,José Bautista,R
430897,80,Nick Swisher,L
430910,81,Brayan Peña,L
430945,82,Adam Jones,R
430947,83,Erick Aybar,L
430948,84,Alberto Callaspo,L
431094,85,Aaron Hill,R
431145,86,Russell Martin,R
431148,87,Scott Kazmir,L
431151,88,David Wright,R
431171,89,Casey Mcgehee,R
433217,90,Andrés Blanco,L
433584,91,Roberto Hernández,R
434158,92,Curtis Granderson,L
434538,93,Francisco Liriano,L
434540,94,Garrett Jones,L
434563,95,Carlos Ruiz,R
434567,96,Geovany Soto,R
434604,97,Mike Morse,R
434628,98,Jason Hammel,R
