comparison,stratum,n_hitters,n_batters,n_draws,weighted,rank_a,rank_b,rank_difference,ci_low,ci_high,favours_a_share
gbm_full_vs_eb,low,380,239,2000,True,0.16650078485938694,0.13888378356912778,0.027617001290259152,-0.08878276935262744,0.14923763350589192,0.6715
gbm_full_vs_eb,medium,280,238,2000,True,0.2615319790480802,0.1926377527681173,0.06889422627996289,-0.0280405193874006,0.1596528314494525,0.9255
gbm_full_vs_eb,high,489,318,2000,True,0.5238435916195114,0.5088911233771176,0.014952468242393824,-0.019648047156553133,0.04882748651918779,0.808
gbm_full_vs_eb,all,1149,604,2000,True,0.4417489797933145,0.4102793594008359,0.03146962039247864,-0.002850079460438649,0.06711391674384343,0.9645
gbm_full_vs_gbm_outcome,low,380,239,2000,True,0.16650078485938694,0.08462171505371632,0.08187906980567061,-0.031903206119939714,0.1981947440997269,0.923
gbm_full_vs_gbm_outcome,medium,280,238,2000,True,0.2615319790480802,0.18113572564284722,0.08039625340523296,0.010930345456575709,0.1520894010297381,0.9915
gbm_full_vs_gbm_outcome,high,489,318,2000,True,0.5238435916195114,0.49545680234604994,0.0283867892734615,-0.004385437949070925,0.06031644352532659,0.956
gbm_full_vs_gbm_outcome,all,1149,604,2000,True,0.4417489797933145,0.40410204365794444,0.03764693613537007,0.012747738929148567,0.06417150489109003,0.999
eb_vs_trailing_bucketed,low,380,239,2000,True,0.13888378356912778,-0.05941913022740791,0.1983029137965357,0.07809560408508395,0.32197329958091436,1.0
eb_vs_trailing_bucketed,medium,280,238,2000,True,0.1926377527681173,0.14313721345789282,0.04950053931022447,-0.018496527615289464,0.11767050378933061,0.923
eb_vs_trailing_bucketed,high,489,318,2000,True,0.5088911233771176,0.4895888863925277,0.019302236984589938,0.0009254189629796352,0.03788110977519673,0.9795
eb_vs_trailing_bucketed,all,1149,604,2000,True,0.4102793594008359,0.3603625223461905,0.04991683705464539,0.026437640134113424,0.07453850281763424,1.0
eb_vs_trailing_raw,low,380,239,2000,True,0.13888378356912778,0.041589889211782104,0.09729389435734567,0.006784717349110209,0.18932766128031933,0.9825
eb_vs_trailing_raw,medium,280,238,2000,True,0.1926377527681173,0.12230642630504315,0.07033132646307413,0.001591321367379908,0.13853150359985034,0.977
eb_vs_trailing_raw,high,489,318,2000,True,0.5088911233771176,0.4899349747809177,0.01895614859619993,0.0006331684276468435,0.03777462330121753,0.978
eb_vs_trailing_raw,all,1149,604,2000,True,0.4102793594008359,0.3492700100976697,0.06100934930316615,0.03616341232812707,0.08499228491590718,1.0
