observed_purity,null_mean,null_ci95,p_value,n_permutations,attribute,stratum
0.6449430676490289,0.5063576021433356,"[0.49611520428667116, 0.5173492967180174]",0.000999000999000999,1000,stand,all
0.5751515151515151,0.5240409090909091,"[0.5039318181818183, 0.5439469696969697]",0.000999000999000999,1000,stand,high
0.6451428571428571,0.49949314285714286,"[0.4851392857142857, 0.5144428571428572]",0.000999000999000999,1000,stand,low
0.5946004319654427,0.5113302375809935,"[0.4926565874730022, 0.5291576673866091]",0.000999000999000999,1000,stand,medium
0.573945077026122,0.33280897521768255,"[0.32297387809778966, 0.34273442732752846]",0.000999000999000999,1000,power_tercile,all
0.6078787878787879,0.4000130303030303,"[0.37999999999999995, 0.42060606060606065]",0.000999000999000999,1000,power_tercile,high
0.5594285714285715,0.36768271428571425,"[0.3542821428571428, 0.381875]",0.000999000999000999,1000,power_tercile,low
0.5943844492440605,0.34745464362850975,"[0.3295896328293737, 0.3658801295896328]",0.000999000999000999,1000,power_tercile,medium
0.5434025452109845,0.3327239785666444,"[0.3229688546550569, 0.34186369725385135]",0.000999000999000999,1000,contact_tercile,all
0.5160606060606061,0.36806060606060614,"[0.34606060606060607, 0.3900075757575757]",0.000999000999000999,1000,contact_tercile,high
0.5507142857142857,0.347263,"[0.33299285714285715, 0.36243214285714287]",0.000999000999000999,1000,contact_tercile,low
0.5419006479481642,0.33445896328293734,"[0.31684665226781855, 0.3526997840172786]",0.000999000999000999,1000,contact_tercile,medium
