exhibit_column,model,n_hitters,rank_corr_within_stand,rank_corr_ci_low,rank_corr_ci_high,rank_ceiling_mc_spearman,rank_ceiling_mc_standard_error,rank_fraction_of_ceiling,rank_fraction_ci_low,rank_fraction_ci_high,pa_weighted_rmse,rmse_ci_low,rmse_ci_high,rmse_noise_floor,rmse_deconvolved,rmse_fraction_of_floor,rmse_fraction_ci_low,rmse_fraction_ci_high,reference_model,n_boot,mc_ceiling_draws,rank_ceiling_analytic_pearson,build,population,post_selection_descriptive,rank_paired_diff_vs_reference,rank_paired_ci_low,rank_paired_ci_high,rank_paired_share_favouring_this_model,rmse_paired_diff_vs_reference,rmse_paired_ci_low,rmse_paired_ci_high,rmse_paired_share_favouring_this_model
pooled,model_v1_model,545,0.1626334134811194,0.062019583421482956,0.25478710457852255,0.3093063192544132,0.0024243912567460083,0.5258004875980203,0.2005118536568601,0.8237371457288364,0.06350031732906722,0.059452420485034164,0.06737413315592615,0.06386295578792259,0.0,1.0057108133330441,0.9478853796919727,1.0741859669783953,model_v1_model,2000,300,0.2964517824970523,pre_hyperparameter_tuning,M.6 intersection,True,,,,,,,,
pooled,eb_bivariate,545,0.14582642711091456,0.048406580524643396,0.23955927634057475,0.3093063192544132,0.0024243912567460083,0.4714628122129254,0.1565004576735712,0.7745049532710337,0.06417205793375338,0.06027848852588508,0.06798845484172894,0.06386295578792259,0.006290937726829433,0.9951832284052681,0.9393205940124666,1.0594651151629035,model_v1_model,2000,300,0.2964517824970523,pre_hyperparameter_tuning,M.6 intersection,True,-0.05433767538509493,-0.33141553939006047,0.24225692222437228,0.362,-0.010527584927776057,-0.02773985983447353,0.005732360815520527,0.0935
pooled,gbm_full,545,0.1412976147889645,0.04687922167550123,0.23289162473464434,0.3093063192544132,0.0024243912567460083,0.45682097646619113,0.15156244395039903,0.7529481625077449,0.06506325258833758,0.06114854541192849,0.06909256848894844,0.06386295578792259,0.012439843865726805,0.9815518475842362,0.9243100551130567,1.0443904324740418,model_v1_model,2000,300,0.2964517824970523,pre_hyperparameter_tuning,M.6 intersection,True,-0.06897951113182921,-0.38430330227302606,0.26559800940789524,0.345,-0.024158965748807937,-0.04821325730260067,-0.001999859914865882,0.0175
low,model_v1_model,207,0.1792224155194817,0.036303272178189246,0.30788638183175404,0.26316198738451885,0.004429787537237586,0.6810345874824659,0.13795028886578806,1.1699500558258293,0.07847088880044459,0.07043244535444063,0.08726564585399033,0.07750071251293056,0.01230121738365066,0.9876364814730054,0.8881010591797133,1.100355271252048,model_v1_model,2000,300,0.25309070684961116,pre_hyperparameter_tuning,M.6 intersection,True,,,,,,,,
low,eb_bivariate,207,0.19737665798869397,0.049242054624158635,0.344871932652738,0.26316198738451885,0.004429787537237586,0.750019636005778,0.18711689751836635,1.3104929632136757,0.07893438921887679,0.07105429215960607,0.08766248231953003,0.07750071251293056,0.014975892672733082,0.9818371090201156,0.8840807431215582,1.0907252772125882,model_v1_model,2000,300,0.25309070684961116,pre_hyperparameter_tuning,M.6 intersection,True,0.06898504852331211,-0.48527833935115344,0.6215132332220101,0.5865,-0.005799372452889862,-0.0286158111668434,0.014526557130821129,0.2925
low,gbm_full,207,0.23600403635465694,0.08745864960530829,0.3764140786101672,0.26316198738451885,0.004429787537237586,0.8968013910376041,0.33233769996393203,1.430351253808439,0.08065506945010667,0.0724948127529243,0.08918108579260312,0.07750071251293056,0.0223356170272867,0.9608907789841108,0.869026339207889,1.0690518337783323,model_v1_model,2000,300,0.25309070684961116,pre_hyperparameter_tuning,M.6 intersection,True,0.21576680355513822,-0.5198538864765301,0.9240806846725053,0.726,-0.02674570248889463,-0.06448999761067836,0.008140171606581197,0.0625
medium,model_v1_model,167,0.14392366041769372,-0.037981219647029094,0.3116185255914593,0.32087925490774494,0.004951247408354195,0.4485290283383162,-0.11836608028134746,0.9711395200074615,0.058511137749815846,0.05130079001760595,0.06574862087904941,0.06107714063052678,0.0,1.0438549476115597,0.928949380442272,1.190569201947293,model_v1_model,2000,300,0.3113085080273513,pre_hyperparameter_tuning,M.6 intersection,True,,,,,,,,
medium,eb_bivariate,167,0.036464204791714194,-0.13769238502534045,0.20883212003521373,0.32087925490774494,0.004951247408354195,0.11363839897408734,-0.4291096508090808,0.6508121570378691,0.06010235812282733,0.05350521690251277,0.06674819611464675,0.06107714063052678,0.0,1.0162187065224186,0.9150380712254851,1.1415174849549747,model_v1_model,2000,300,0.3113085080273513,pre_hyperparameter_tuning,M.6 intersection,True,-0.33489062936422886,-0.8304127120197303,0.15429432549486644,0.098,-0.02763624108914109,-0.06547232002082616,0.0018337641886024551,0.0355
medium,gbm_full,167,0.06161695281134194,-0.11485255441088008,0.22166018820315345,0.32087925490774494,0.004951247408354195,0.1920253549237929,-0.35793075636472976,0.6907900240134948,0.06099063817490083,0.05422934395055759,0.06799784947833541,0.06107714063052678,0.0,1.00141829071173,0.8982216511124573,1.1262747468642165,model_v1_model,2000,300,0.3113085080273513,pre_hyperparameter_tuning,M.6 intersection,True,-0.2565036734145233,-0.8386281112313749,0.2732179344984371,0.179,-0.04243665689982978,-0.08974614776490117,-0.005260790125679406,0.012
high,model_v1_model,171,0.1257432935274337,-0.0474169726449528,0.309912753011666,0.31793940737105836,0.004378265421211113,0.39549452069237256,-0.149138394126821,0.9747541381366901,0.05685057264541998,0.05058273686880233,0.06316746546953235,0.056477758760901296,0.0065000288812905906,0.993442214085618,0.8940956921588423,1.1165421694636457,model_v1_model,2000,300,0.32478509350772594,pre_hyperparameter_tuning,M.6 intersection,True,,,,,,,,
