batter,in_e5,in_f5,in_intersection,denom_L,denom_R,stand,stratum,pooled_denom,post_selection_descriptive
444482,True,True,True,26.0,234.0,L,high,260,True
453568,True,True,True,114.0,383.0,L,high,497,True
455117,True,True,True,43.0,101.0,R,high,144,True
456781,True,True,True,118.0,191.0,R,high,309,True
457705,True,True,True,141.0,373.0,R,high,514,True
457759,True,True,True,139.0,398.0,R,high,537,True
467793,True,True,True,161.0,430.0,L,high,591,True
493329,True,True,True,27.0,38.0,R,high,65,True
500743,True,True,True,114.0,221.0,R,high,335,True
501303,False,True,False,,,,,28,True
502054,True,True,True,119.0,359.0,R,high,478,True
502110,True,True,True,138.0,353.0,R,high,491,True
502671,True,True,True,163.0,485.0,R,high,648,True
514888,True,True,True,169.0,511.0,R,high,680,True
516782,True,True,True,112.0,254.0,R,high,366,True
518595,True,True,True,77.0,264.0,R,high,341,True
518692,True,True,True,223.0,406.0,L,high,629,True
518735,True,True,True,59.0,181.0,L,high,240,True
518792,True,True,True,22.0,233.0,L,high,255,True
518934,True,True,True,85.0,142.0,R,high,227,True
519203,True,True,True,97.0,278.0,L,high,375,True
519317,True,True,True,138.0,319.0,R,high,457,True
521692,True,True,True,154.0,488.0,R,high,642,True
527038,True,True,True,107.0,134.0,R,high,241,True
541645,True,True,True,39.0,12.0,R,high,51,True
542194,True,True,True,51.0,94.0,R,medium,145,True
542303,True,True,True,162.0,523.0,R,high,685,True
542364,False,True,False,,,,,17,True
542932,True,True,True,29.0,44.0,R,medium,73,True
543063,True,True,True,11.0,69.0,L,high,80,True
543228,True,True,True,17.0,78.0,R,high,95,True
543257,True,True,True,126.0,119.0,R,high,245,True
543305,True,True,True,17.0,46.0,L,high,63,True
543309,True,True,True,85.0,177.0,R,medium,262,True
543510,True,True,True,84.0,149.0,R,high,233,True
543685,True,True,True,34.0,204.0,R,high,238,True
543760,True,True,True,173.0,543.0,R,high,716,True
543807,True,True,True,145.0,468.0,R,high,613,True
543877,True,True,True,94.0,216.0,R,high,310,True
545121,True,True,True,127.0,171.0,L,medium,298,True
545341,True,True,True,184.0,95.0,R,high,279,True
545361,True,True,True,17.0,108.0,R,high,125,True
547180,True,True,True,224.0,395.0,L,high,619,True
547989,True,True,True,37.0,83.0,R,high,120,True
553869,True,True,True,101.0,248.0,R,high,349,True
553882,False,True,False,,,,,68,True
553993,True,True,True,194.0,446.0,R,high,640,True
570482,True,True,True,106.0,354.0,R,high,460,True
571448,True,True,True,154.0,478.0,R,high,632,True
571466,True,True,True,32.0,62.0,L,high,94,True
571657,True,True,True,117.0,124.0,R,high,241,True
571745,True,True,True,145.0,278.0,R,high,423,True
571771,True,True,True,144.0,248.0,R,high,392,True
571912,True,True,True,47.0,106.0,R,medium,153,True
571970,True,True,True,76.0,214.0,L,high,290,True
572138,True,True,True,82.0,323.0,L,low,405,True
572191,True,True,True,103.0,193.0,R,high,296,True
572233,True,True,True,156.0,392.0,R,high,548,True
572761,True,True,True,19.0,137.0,L,high,156,True
573262,True,True,True,95.0,377.0,L,high,472,True
575929,True,True,True,89.0,267.0,R,high,356,True
578428,True,True,True,100.0,190.0,R,high,290,True
592178,True,True,True,40.0,115.0,R,high,155,True
592192,True,True,True,127.0,333.0,R,high,460,True
592200,True,True,True,49.0,74.0,R,high,123,True
592206,True,True,True,168.0,489.0,R,high,657,True
592273,True,True,True,80.0,280.0,R,high,360,True
592325,True,True,True,18.0,80.0,L,high,98,True
592348,False,True,False,,,,,32,True
592450,True,True,True,175.0,508.0,R,high,683,True
592518,True,True,True,142.0,495.0,R,high,637,True
592626,True,True,True,42.0,399.0,L,high,441,True
592663,True,True,True,122.0,290.0,R,high,412,True
592669,True,True,True,126.0,298.0,R,high,424,True
592696,True,True,True,33.0,284.0,L,high,317,True
592885,True,True,True,98.0,212.0,L,high,310,True
593160,True,True,True,120.0,211.0,R,high,331,True
593428,True,True,True,108.0,355.0,R,high,463,True
593871,True,True,True,130.0,336.0,L,high,466,True
593934,True,True,True,21.0,74.0,R,high,95,True
594807,True,True,True,123.0,207.0,R,high,330,True
595281,True,True,True,56.0,218.0,L,high,274,True
595777,True,True,True,171.0,488.0,L,high,659,True
595879,True,True,True,65.0,223.0,R,high,288,True
595909,True,True,True,41.0,303.0,L,medium,344,True
595978,True,True,True,64.0,79.0,R,high,143,True
596019,True,True,True,170.0,519.0,L,high,689,True
596103,True,True,True,142.0,70.0,R,high,212,True
596115,True,True,True,19.0,85.0,R,high,104,True
596117,True,True,True,58.0,128.0,L,low,186,True
596129,False,True,False,,,,,79,True
596142,True,True,True,119.0,161.0,R,high,280,True
596146,True,True,True,82.0,316.0,L,high,398,True
600869,True,True,True,147.0,315.0,L,high,462,True
602104,True,True,True,83.0,218.0,R,medium,301,True
605113,True,True,True,87.0,138.0,R,high,225,True
605131,True,True,True,42.0,112.0,R,high,154,True
605137,True,True,True,196.0,401.0,L,high,597,True
605141,True,True,True,160.0,354.0,R,high,514,True
605170,True,True,True,64.0,209.0,L,medium,273,True
605204,True,True,True,55.0,102.0,R,high,157,True
605346,True,True,True,19.0,51.0,R,low,70,True
605361,True,True,True,34.0,128.0,L,low,162,True
606115,True,True,True,146.0,454.0,R,high,600,True
606192,True,True,True,168.0,480.0,R,high,648,True
606466,True,True,True,206.0,370.0,L,high,576,True
606992,True,True,True,22.0,47.0,R,medium,69,True
607043,True,True,True,170.0,492.0,L,high,662,True
607054,False,True,False,,,,,26,True
607208,True,True,True,168.0,371.0,R,high,539,True
607680,True,True,True,125.0,188.0,R,high,313,True
607732,True,True,True,100.0,179.0,R,medium,279,True
608070,True,True,True,174.0,495.0,L,high,669,True
608324,True,True,True,180.0,453.0,R,high,633,True
608336,True,True,True,64.0,196.0,L,high,260,True
608348,True,True,True,49.0,264.0,R,high,313,True
608369,True,True,True,152.0,370.0,L,high,522,True
608385,True,True,True,104.0,400.0,L,high,504,True
608596,True,True,True,16.0,22.0,R,high,38,True
608671,True,True,True,13.0,194.0,L,medium,207,True
608701,True,True,True,143.0,161.0,R,high,304,True
608841,True,True,True,96.0,216.0,R,medium,312,True
609280,True,True,True,61.0,258.0,R,medium,319,True
613564,False,True,False,,,,,30,True
