exhibit_column,model,n_hitters,rank_corr_within_stand,rank_corr_ci_low,rank_corr_ci_high,rank_ceiling_mc_spearman,rank_ceiling_mc_standard_error,rank_fraction_of_ceiling,rank_fraction_ci_low,rank_fraction_ci_high,pa_weighted_rmse,rmse_ci_low,rmse_ci_high,rmse_noise_floor,rmse_deconvolved,rmse_fraction_of_floor,rmse_fraction_ci_low,rmse_fraction_ci_high,reference_model,n_boot,mc_ceiling_draws,rank_ceiling_analytic_pearson,build,population,post_selection_descriptive,rank_paired_diff_vs_reference,rank_paired_ci_low,rank_paired_ci_high,rank_paired_share_favouring_this_model,rmse_paired_diff_vs_reference,rmse_paired_ci_low,rmse_paired_ci_high,rmse_paired_share_favouring_this_model
pooled,model_v1_model,545,0.1766184765973642,0.07824196404862764,0.2696890184555197,0.3093063192544132,0.0024243912567460083,0.5710147695110313,0.252959474727936,0.8719156437075339,0.0632721807875086,0.05924318345598919,0.06711981000472039,0.06386295578792259,0.0,1.0093370418572742,0.9514770048281013,1.077979812400955,model_v1_model,2000,300,0.2964517824970523,clean_dim64,M.6 intersection,True,,,,,,,,
pooled,eb_bivariate,545,0.14582642711091456,0.048406580524643396,0.23955927634057475,0.3093063192544132,0.0024243912567460083,0.4714628122129254,0.1565004576735712,0.7745049532710337,0.06417205793375338,0.06027848852588508,0.06798845484172894,0.06386295578792259,0.006290937726829433,0.9951832284052681,0.9393205940124666,1.0594651151629035,model_v1_model,2000,300,0.2964517824970523,clean_dim64,M.6 intersection,True,-0.09955195729810584,-0.35932551041456984,0.16678511974325416,0.2325,-0.01415381345200617,-0.030559065518915157,0.0011701574552198982,0.038
pooled,gbm_full,545,0.1412976147889645,0.04687922167550123,0.23289162473464434,0.3093063192544132,0.0024243912567460083,0.45682097646619113,0.15156244395039903,0.7529481625077449,0.06506325258833758,0.06114854541192849,0.06909256848894844,0.06386295578792259,0.012439843865726805,0.9815518475842362,0.9243100551130567,1.0443904324740418,model_v1_model,2000,300,0.2964517824970523,clean_dim64,M.6 intersection,True,-0.11419379304484012,-0.41207953416997994,0.20126559319685453,0.25,-0.02778519427303805,-0.05385389112675582,-0.00337944879330876,0.0115
low,model_v1_model,207,0.15574696760528814,0.010557819700971886,0.29206435593973046,0.26316198738451885,0.004429787537237586,0.5918292727350422,0.04011909092913689,1.1098272924690333,0.0784536528538748,0.070580044421885,0.0872744459942025,0.07750071251293056,0.012190783654235956,0.9878534611674594,0.8880115093263244,1.0980541759038571,model_v1_model,2000,300,0.25309070684961116,clean_dim64,M.6 intersection,True,,,,,,,,
low,eb_bivariate,207,0.19737665798869397,0.049242054624158635,0.344871932652738,0.26316198738451885,0.004429787537237586,0.750019636005778,0.18711689751836635,1.3104929632136757,0.07893438921887679,0.07105429215960607,0.08766248231953003,0.07750071251293056,0.014975892672733082,0.9818371090201156,0.8840807431215582,1.0907252772125882,model_v1_model,2000,300,0.25309070684961116,clean_dim64,M.6 intersection,True,0.15819036327073588,-0.3627689515446772,0.6800922728294686,0.6975,-0.006016352147343862,-0.025728057496220105,0.011791839654664892,0.265
low,gbm_full,207,0.23600403635465694,0.08745864960530829,0.3764140786101672,0.26316198738451885,0.004429787537237586,0.8968013910376041,0.33233769996393203,1.430351253808439,0.08065506945010667,0.0724948127529243,0.08918108579260312,0.07750071251293056,0.0223356170272867,0.9608907789841108,0.869026339207889,1.0690518337783323,model_v1_model,2000,300,0.25309070684961116,clean_dim64,M.6 intersection,True,0.304972118302562,-0.3720803750699519,0.9899749621036558,0.8025,-0.02696268218334863,-0.06772664259219799,0.014142130072457884,0.088
medium,model_v1_model,167,0.18134956564060378,-0.00861246635818937,0.33513995354935644,0.32087925490774494,0.004951247408354195,0.5651645061714665,-0.026840209288897517,1.044442569669116,0.05809667567714008,0.050987550291083594,0.06504670377379221,0.06107714063052678,0.0,1.0513018157863283,0.9389736464268802,1.1978834103980789,model_v1_model,2000,300,0.3113085080273513,clean_dim64,M.6 intersection,True,,,,,,,,
medium,eb_bivariate,167,0.036464204791714194,-0.13769238502534045,0.20883212003521373,0.32087925490774494,0.004951247408354195,0.11363839897408734,-0.4291096508090808,0.6508121570378691,0.06010235812282733,0.05350521690251277,0.06674819611464675,0.06107714063052678,0.0,1.0162187065224186,0.9150380712254851,1.1415174849549747,model_v1_model,2000,300,0.3113085080273513,clean_dim64,M.6 intersection,True,-0.4515261071973792,-0.9323372568693141,0.05414077076132173,0.047,-0.03508310926390967,-0.0683722739954173,-0.007080502022186098,0.005
medium,gbm_full,167,0.06161695281134194,-0.11485255441088008,0.22166018820315345,0.32087925490774494,0.004951247408354195,0.1920253549237929,-0.35793075636472976,0.6907900240134948,0.06099063817490083,0.05422934395055759,0.06799784947833541,0.06107714063052678,0.0,1.00141829071173,0.8982216511124573,1.1262747468642165,model_v1_model,2000,300,0.3113085080273513,clean_dim64,M.6 intersection,True,-0.3731391512476736,-0.8938729733155039,0.15576383930266754,0.0885,-0.04988352507459837,-0.09821988222899472,-0.010722728115707101,0.005
high,model_v1_model,171,0.1754791458833871,-0.01121815717552801,0.35026401644453337,0.31793940737105836,0.004378265421211113,0.5519263790996194,-0.03528394692651486,1.101669086385853,0.056592277756784555,0.050516870715762864,0.06278735315414243,0.056477758760901296,0.0035984256344252594,0.99797642009789,0.8995085144336132,1.1179979670292295,model_v1_model,2000,300,0.32478509350772594,clean_dim64,M.6 intersection,True,,,,,,,,
