bin,n_hitters,pa,mean_pred,mean_obs,gap
0,252,18052.0,0.2657095664425205,0.27740339020607135,-0.011693823763550881
1,166,18096.0,0.28513831429252307,0.28560869805481875,-0.0004703837622956897
2,132,18083.0,0.2961704157798358,0.29444135375767294,0.001729062022162886
3,112,18015.0,0.30561061059329214,0.2989649736330835,0.006645636960208645
4,109,18103.0,0.31521165380924504,0.30349726564657786,0.011714388162667178
5,87,18070.0,0.3212817494100001,0.31296657443276144,0.00831517497723866
6,74,18079.0,0.3293420050579119,0.31561474639084025,0.01372725866707164
7,73,18047.0,0.33808954706131866,0.32679702997728155,0.011292517084037113
8,71,17816.0,0.3479157943724037,0.3326568814548719,0.015258912917531842
9,73,18411.0,0.37026928936751163,0.35703704307207645,0.01323224629543518
