batter,delta_obs,delta_pred,denom_L,denom_R,prior_pa,stand,weight,stratum,delta_route_a,s2_L,s2_R,sampling_var,sampling_var_league,fell_back_L,fell_back_R
444482,-0.0198290598290598,-0.0403716288767717,26.0,234.0,846.0,L,46.8,high,-0.0264673923516238,0.24080449889830827,0.27517011723707857,0.010437652168042107,0.01041313229358011,True,False
453568,-0.013989464522926,-0.0340240464854882,114.0,383.0,1619.0,L,175.7022132796781,high,-0.0264673923516238,0.23384993168762616,0.2688180004511093,0.0027531898650494085,0.002815799190873776,False,False
455117,-0.1158268478010591,0.0145428551363396,43.0,101.0,880.0,R,60.31944444444444,high,0.0149401447610766,0.26628528803612195,0.22200317643564357,0.00839073236895717,0.008733311849463792,True,False
456781,0.0407134617091135,0.0171400727597269,118.0,191.0,583.0,R,145.87702265372167,high,0.0149401447610766,0.269428726640591,0.24631474813998347,0.0035729003047684322,0.0036001298732355642,False,False
457705,-0.0183031011731599,0.0132180567571547,141.0,373.0,1282.0,R,204.64202334630352,high,0.0149401447610766,0.27204605572441737,0.2792567272045893,0.0026780822033550997,0.002576493729142548,False,False
457759,0.0040191243989733,0.0120954066408091,139.0,398.0,1360.0,R,206.0409683426443,high,0.0149401447610766,0.24886407569596494,0.2304726579243826,0.0023694660637446807,0.0025604544212024776,False,False
467793,0.0920246858298425,-0.004553477004393,161.0,430.0,1624.0,L,234.28087986463623,high,-0.0264673923516238,0.3818741954968944,0.24090732167290077,0.002932138998310005,0.0021222672490388696,False,False
493329,-0.1642846003898635,0.0117387551920034,27.0,38.0,1103.0,R,31.56923076923077,high,0.0149401447610766,0.26628528803612195,0.25660370396681237,0.016615147127170146,0.016615147127170146,True,True
500743,-0.0354951178852107,0.0179971025142547,114.0,221.0,921.0,R,150.41194029850746,high,0.0149401447610766,0.2338665179319981,0.250153229329494,0.003183375748453358,0.003496938592847486,False,False
502054,-0.0002232859717703,0.0187693273368745,119.0,359.0,1084.0,R,178.7489539748954,high,0.0149401447610766,0.2653569236575986,0.226397252408148,0.0028605231298342152,0.002952465044755939,False,False
502110,0.065263825594285,0.0178923450739267,138.0,353.0,1231.0,R,198.42769857433808,high,0.0149401447610766,0.2962623275150746,0.25717085586209115,0.002875357796973969,0.0026565262106205845,False,False
502671,0.0689222313579153,0.0175772276992547,163.0,485.0,1250.0,R,243.99691358024688,high,0.0149401447610766,0.28185460455956973,0.27193448186930225,0.0022898590064649622,0.0021627318758346663,False,False
514888,0.097879282993087,0.0199918174685019,169.0,511.0,1374.0,R,253.99705882352944,high,0.0149401447610766,0.27949805966469426,0.26129706799432095,0.002165179228334036,0.002077812482275728,False,False
516782,0.0796020106861642,0.0138341417791443,112.0,254.0,1076.0,R,155.45355191256832,high,0.0149401447610766,0.261114475466538,0.22968558203915218,0.0032356531902729786,0.003387798017627178,False,False
518595,0.0828625541125541,0.0189650196263553,77.0,264.0,612.0,R,119.2258064516129,high,0.0149401447610766,0.41287230109364315,0.26208218798248645,0.006354713496820801,0.004430234221122626,False,False
518692,-0.0560371225341845,-0.0385852049628023,223.0,406.0,1584.0,L,287.879173290938,high,-0.0264673923516238,0.2713537383751464,0.29370841932129166,0.0019402526595347534,0.0017434675672911458,False,False
518735,-0.0640559977525985,-0.0100653014138644,59.0,181.0,896.0,L,88.99166666666667,high,-0.0264673923516238,0.1794536540035067,0.3048875772866789,0.0047260491089567164,0.005570009348324665,False,False
518792,-0.0949574717128365,-0.0338998266388045,22.0,233.0,847.0,L,40.20392156862745,high,-0.0264673923516238,0.24080449889830827,0.29090874330324107,0.01219419441981606,0.012102021558484432,True,False
518934,-0.0567884838442419,0.0154569421635636,85.0,142.0,1375.0,R,106.34361233480176,high,0.0149401447610766,0.15536919103641456,0.1851507901808011,0.003131751639812673,0.004939836432337065,False,False
519203,-0.0428302306608321,-0.0361689632454682,97.0,278.0,1352.0,L,143.81866666666667,high,-0.0264673923516238,0.1575357878006873,0.2477981615977975,0.002515440580122281,0.0034517021417780876,False,False
519317,-0.0423150015901139,0.0222079543996379,138.0,319.0,884.0,R,192.65645514223195,high,0.0149401447610766,0.27421328937903305,0.3599293431123203,0.0031153579724095166,0.0027340038624084095,False,False
521692,0.0277049978709815,0.0086334319163162,154.0,488.0,1103.0,R,234.11838006230528,high,0.0149401447610766,0.33577912350394695,0.28328604560793746,0.0027608881106763426,0.002254952509214879,False,False
527038,0.0038234063328219,0.0093403201134875,107.0,134.0,1178.0,R,118.98755186721992,high,0.0149401447610766,0.23201628495856108,0.2020404468634272,0.0036761410237713694,0.004403600566417162,False,False
541645,0.1662564102564102,0.0087906917480596,39.0,12.0,951.0,R,18.352941176470587,high,0.0149401447610766,0.26628528803612195,0.25660370396681237,0.028211469895596464,0.028211469895596464,True,True
542194,0.0503813099707968,0.0168118791505437,51.0,94.0,301.0,R,66.12413793103448,medium,0.0149401447610766,0.30736641960784306,0.24330868496911456,0.008615182806959134,0.007951106795515831,False,False
542303,-0.0015848853952741,0.0209658574167576,162.0,523.0,987.0,R,247.37518248175184,high,0.0149401447610766,0.2793919730465455,0.35378689646381395,0.0024010985899308493,0.002134374403199908,False,False
542932,-0.0638581504702194,0.0125140250316325,29.0,44.0,437.0,R,34.95890410958904,medium,0.0149401447610766,0.26628528803612195,0.25660370396681237,0.015014153674472511,0.015014153674472511,True,True
543063,0.0134334650856389,-0.0321270492301442,11.0,69.0,1232.0,L,18.975,high,-0.0264673923516238,0.24080449889830827,0.20584495822676896,0.024874578345820457,0.025796136438374116,True,False
543228,-0.1121395173453997,0.0107898032717554,17.0,78.0,890.0,R,27.915789473684217,high,0.0149401447610766,0.26628528803612195,0.21143965318015312,0.018374605257073993,0.018953631549210648,True,False
543257,0.0815210084033613,-0.0118519492371197,126.0,119.0,1040.0,R,122.40000000000002,high,0.0149401447610766,0.23897788799999994,0.1488237601481271,0.003147269737939443,0.00426970894865392,False,False
543305,0.094121483375959,0.0028112949118461,17.0,46.0,898.0,L,24.825396825396822,high,-0.0264673923516238,0.24080449889830827,0.2694324666129713,0.020022198058494492,0.020022198058494492,True,True
543309,-0.00325975407112,0.018960931901184,85.0,177.0,272.0,R,114.8473282442748,medium,0.0149401447610766,0.3975927288515407,0.32855246539548016,0.006533790133954039,0.004582506535033077,False,False
543510,-0.024994886545222,0.0184492505611648,84.0,149.0,947.0,R,107.4334763948498,high,0.0149401447610766,0.29569341939185306,0.2479814388717577,0.0051844647135357745,0.004892235462655354,False,False
543685,-0.0017009803921568,0.011496805247937,34.0,204.0,896.0,R,58.28571428571428,high,0.0149401447610766,0.26628528803612195,0.17174007039022504,0.008673783326504689,0.00908978153031149,True,False
543760,0.0417908429938577,0.0142487427213225,173.0,543.0,1517.0,R,262.3994413407821,high,0.0149401447610766,0.26530341558005105,0.2613348108159534,0.0020148253327279156,0.002011787992099903,False,False
543807,-0.0381717948717948,0.0119590999621689,145.0,468.0,1275.0,R,221.40293637846656,high,0.0149401447610766,0.20319466111111106,0.2706120841706473,0.0019795734395040353,0.0023847487750676814,False,False
543877,-0.0144217888100866,0.0148217775086593,94.0,216.0,742.0,R,130.99354838709678,high,0.0149401447610766,0.24374686993822922,0.2146686490094746,0.003586888145860329,0.0040208023241076985,False,False
545121,0.0206452548694571,-0.0024760807710454,127.0,171.0,321.0,L,145.751677852349,medium,-0.0264673923516238,0.2005645403074616,0.1831464043343653,0.0026502799531721846,0.003471726876247091,False,False
545341,0.0531732265446224,0.0171645084760367,184.0,95.0,1238.0,R,125.30465949820788,high,0.0149401447610766,0.2998508182466144,0.37475072295632683,0.005574368464381723,0.0041482942730735155,False,False
545361,-0.1753796296296296,0.0098243287332679,17.0,108.0,1080.0,R,29.376,high,0.0149401447610766,0.26628528803612195,0.42802528444098303,0.019627037550870304,0.018039800694627985,True,False
547180,0.0135248982820977,-0.0447315910254544,224.0,395.0,1479.0,L,285.8804523424879,high,-0.0264673923516238,0.3066271242592889,0.3356384980145216,0.002218588806935714,0.0017571275947800332,False,False
547989,0.0124754151742103,0.0113652533385544,37.0,83.0,1279.0,R,51.18333333333334,high,0.0149401447610766,0.26628528803612195,0.17048470555392292,0.00925093227368716,0.010288510567818359,True,False
553869,-0.040604958479719,0.0172790310942481,101.0,248.0,664.0,R,143.54154727793696,high,0.0149401447610766,0.2087671421782178,0.24705612065756824,0.003063195442614676,0.0036711803550625315,False,False
553993,0.0085792381304608,0.0142041660737367,194.0,446.0,1236.0,R,270.3875,high,0.0149401447610766,0.30144465626836175,0.31231208082329825,0.0022540897366673893,0.001947949205234062,False,False
570482,-0.0959783605159364,0.0137962172726613,106.0,354.0,679.0,R,163.1478260869565,high,0.0149401447610766,0.1489266332434861,0.254517728493462,0.0021239448723084173,0.003236994579076572,False,False
571448,-0.0463209259359886,0.0153742101566299,154.0,478.0,1320.0,R,232.94936708860757,high,0.0149401447610766,0.25979123164417284,0.24222863284299537,0.0021937105116521206,0.0022659530795543577,False,False
571466,-0.1533508064516129,-0.0303511250768727,32.0,62.0,551.0,L,42.212765957446805,high,-0.0264673923516238,0.24080449889830827,0.16603190719196187,0.01020307457753926,0.011870825535942639,True,False
571657,0.0794263165150261,0.0094974426172099,117.0,124.0,551.0,R,120.39834024896264,high,0.0149401447610766,0.26749713719422336,0.20863383759506943,0.003968831266246679,0.004345327342197144,False,False
571745,-0.086326668320516,0.0218430958834122,145.0,278.0,754.0,R,190.59101654846336,high,0.0149401447610766,0.19064401408045975,0.25812122187881464,0.002243279907883799,0.0027594851686735225,False,False
571771,0.0169377240143369,0.0194451556829052,144.0,248.0,1342.0,R,182.20408163265307,high,0.0149401447610766,0.2839642323232323,0.2376025244710722,0.002930048531025874,0.0028838957438446244,False,False
571912,0.0793719389803291,0.0145380961334382,47.0,106.0,306.0,R,65.12418300653594,medium,0.0149401447610766,0.26628528803612195,0.14539561374663076,0.0070373011597592485,0.008086434086364735,True,False
571970,-0.0557736104279389,-0.0346270139064264,76.0,214.0,861.0,L,112.1655172413793,high,-0.0264673923516238,0.34202406508771926,0.31186605644772053,0.005957634666674784,0.004427510466479574,False,False
572138,-0.1324101034508796,-0.0287874622588873,82.0,323.0,36.0,L,130.79506172839504,low,-0.0264673923516238,0.20190344414333028,0.26888412878103185,0.0032946957267364,0.003770796473850986,False,False
572191,0.0370420544292972,0.0145698588477233,103.0,193.0,888.0,R,134.31756756756758,high,0.0149401447610766,0.24893341690462586,0.18015005661701208,0.0033502492728077387,0.00391484692889749,False,False
572233,-0.0185909863945578,0.0121750383335713,156.0,392.0,751.0,R,223.18248175182484,high,0.0149401447610766,0.24970514623655912,0.3300625370256798,0.00244267028225957,0.002361558260220149,False,False
572761,0.0036646177487514,-0.0354793292998434,19.0,137.0,918.0,L,33.371794871794876,high,-0.0264673923516238,0.24080449889830827,0.2565026832331473,0.014546203354013841,0.01464058133488847,True,False
573262,-0.0245928521569174,-0.0323756476909473,95.0,377.0,512.0,L,151.7584745762712,high,-0.0264673923516238,0.21092809899216125,0.3190144056239065,0.0030664878362226975,0.0032494591766828004,False,False
575929,0.0130449438202246,0.0143996700846568,89.0,267.0,850.0,R,133.5,high,0.0149401447610766,0.3071108858529111,0.29000719092675503,0.0045368533651141876,0.003953032090169207,False,False
578428,0.1069215789473684,0.0128709568291727,100.0,190.0,930.0,R,131.03448275862067,high,0.0149401447610766,0.25774696757575755,0.2332670360345308,0.0038051909180445796,0.004013398690712863,False,False
592178,-0.1782684782608695,0.0170937987950187,40.0,115.0,1031.0,R,59.354838709677416,high,0.0149401447610766,0.26628528803612195,0.22164546300533944,0.008584484053123393,0.008888468757136201,True,False
592192,0.0416062755669054,0.0140332367366461,127.0,333.0,1197.0,R,183.87391304347827,high,0.0149401447610766,0.23197484764404444,0.21150134995839212,0.0024617127925606534,0.0028673162450595585,False,False
592200,0.0065311638168781,0.0144343632858869,49.0,74.0,461.0,R,58.95934959349594,high,0.0149401447610766,0.26628528803612195,0.18564684265087003,0.007943134750293894,0.008902011254563384,True,False
