slice,n_groups,nominal,z,interval,empirical,ci_low,ci_high,gap,mean_half_width
low,380,0.5,0.6744897501960817,seed_only,0.021052631578947368,0.010705458151925223,0.040986349402304535,-0.4789473684210526,0.0016956080975703417
low,380,0.5,0.6744897501960817,seed_plus_target_noise,0.46842105263157896,0.41881613088857933,0.5186580542248864,-0.03157894736842104,0.046496041232160785
low,380,0.8,1.2815515655446004,seed_only,0.034210526315789476,0.020099951952667547,0.05764427847095151,-0.7657894736842106,0.0032217082785315197
low,380,0.8,1.2815515655446004,seed_plus_target_noise,0.7368421052631579,0.6903558863500594,0.7785877252989479,-0.06315789473684219,0.08834392874818232
low,380,0.95,1.959963984540054,seed_only,0.05263157894736842,0.034326010317853525,0.07989161212291054,-0.8973684210526316,0.004927177621552024
low,380,0.95,1.959963984540054,seed_plus_target_noise,0.8710526315789474,0.8336066839808043,0.901071640935974,-0.07894736842105254,0.1351103796792046
medium,280,0.5,0.6744897501960817,seed_only,0.04285714285714286,0.024683400152458883,0.0734046625864023,-0.45714285714285713,0.0023511068050937937
medium,280,0.5,0.6744897501960817,seed_plus_target_noise,0.4607142857142857,0.40325588874940466,0.5192360541422163,-0.03928571428571431,0.037017219199162156
medium,280,0.8,1.2815515655446004,seed_only,0.08571428571428572,0.05827502771289647,0.12436727914419649,-0.7142857142857143,0.004467176270587629
medium,280,0.8,1.2815515655446004,seed_plus_target_noise,0.7142857142857143,0.6587508840848159,0.764020336506343,-0.08571428571428574,0.07033387120116016
medium,280,0.95,1.959963984540054,seed_only,0.09642857142857143,0.06711925421718709,0.13666161366946383,-0.8535714285714285,0.0068319565426327765
medium,280,0.95,1.959963984540054,seed_plus_target_noise,0.8892857142857142,0.8471356040151664,0.9208987800587721,-0.06071428571428572,0.10756637356919162
high,489,0.5,0.6744897501960817,seed_only,0.022494887525562373,0.01260632635158316,0.03982728765996813,-0.4775051124744376,0.0021366268544264176
high,489,0.5,0.6744897501960817,seed_plus_target_noise,0.3946830265848671,0.3523432001365952,0.43866464192590976,-0.10531697341513291,0.027536812957049243
high,489,0.8,1.2815515655446004,seed_only,0.06339468302658487,0.04501738968532301,0.08857822740875065,-0.7366053169734151,0.004059657673787905
high,489,0.8,1.2815515655446004,seed_plus_target_noise,0.6871165644171779,0.6446965264133194,0.7266196376892206,-0.1128834355828221,0.05232080360740269
high,489,0.95,1.959963984540054,seed_only,0.09202453987730061,0.06948699292476815,0.12092202632707116,-0.8579754601226993,0.006208710631791615
high,489,0.95,1.959963984540054,seed_plus_target_noise,0.852760736196319,0.818606708873574,0.8814155677131814,-0.09723926380368098,0.080017763989953
all,1149,0.5,0.6744897501960817,seed_only,0.026979982593559618,0.01907140895645508,0.0380409184298683,-0.4730200174064404,0.0020430387417906966
all,1149,0.5,0.6744897501960817,seed_plus_target_noise,0.4351610095735422,0.4067575010186893,0.4639966266543209,-0.0648389904264578,0.036117335578749854
all,1149,0.8,1.2815515655446004,seed_only,0.05918189730200174,0.04695075453023709,0.07435079803861809,-0.7408181026979983,0.0038818373403731936
all,1149,0.8,1.2815515655446004,seed_plus_target_noise,0.7101827676240209,0.6832845500684089,0.7356802575419,-0.08981723237597916,0.06862406425122197
all,1149,0.95,1.959963984540054,seed_only,0.08006962576153177,0.06573994140581545,0.09719786533549281,-0.8699303742384682,0.005936757899976541
all,1149,0.95,1.959963984540054,seed_plus_target_noise,0.8677110530896431,0.8468899661977451,0.8860815916298139,-0.08228894691035682,0.1049514494939586
low_cold_start,162,0.5,0.6744897501960817,seed_only,0.018518518518518517,0.006317629845478453,0.05302494281805918,-0.4814814814814815,0.0010134779494819627
low_cold_start,162,0.5,0.6744897501960817,seed_plus_target_noise,0.47530864197530864,0.3998735697286879,0.5518875878438012,-0.024691358024691357,0.05127473067415815
low_cold_start,162,0.8,1.2815515655446004,seed_only,0.030864197530864196,0.013253938107826307,0.07020805576946676,-0.7691358024691358,0.0019256397186554104
low_cold_start,162,0.8,1.2815515655446004,seed_plus_target_noise,0.7407407407407407,0.6682353386442115,0.8020933750240196,-0.059259259259259345,0.097423587755399
low_cold_start,162,0.95,1.959963984540054,seed_only,0.05555555555555555,0.029500040999932677,0.10220079530487128,-0.8944444444444444,0.0029450118100870894
low_cold_start,162,0.95,1.959963984540054,seed_plus_target_noise,0.8950617283950617,0.8383776426456437,0.9334438361945305,-0.05493827160493825,0.1489965198272111
low_trained,218,0.5,0.6744897501960817,seed_only,0.022935779816513763,0.009835660528271735,0.05255781134247377,-0.47706422018348627,0.002202512152571798
low_trained,218,0.5,0.6744897501960817,seed_plus_target_noise,0.463302752293578,0.39831700217124033,0.5295594187418938,-0.03669724770642202,0.04294490504131871
low_trained,218,0.8,1.2815515655446004,seed_only,0.03669724770642202,0.018710261500564394,0.07072955252775576,-0.763302752293578,0.004184841795503674
low_trained,218,0.8,1.2815515655446004,seed_plus_target_noise,0.7339449541284404,0.67160370344992,0.788184113228849,-0.06605504587155964,0.0815966592107094
low_trained,218,0.95,1.959963984540054,seed_only,0.05045871559633028,0.02840580744281379,0.08808034874308102,-0.8995412844036696,0.006400163224567249
low_trained,218,0.95,1.959963984540054,seed_plus_target_noise,0.8532110091743119,0.8001252817134102,0.8940641669976724,-0.09678899082568804,0.1247913214040806
