balls,strikes,draw_gap_ball,delta_bb,delta_k
1,0,0.014783988781557688,0.0006394270679038472,-0.00041799957722338243
2,2,0.008375629703179926,0.00029796031498821596,-0.0007481373372757172
1,2,0.009796696454816848,0.00019479767865711317,-0.0009563114198792855
3,0,0.004867320257464379,0.00011062617138410391,-2.235512939779971e-05
2,0,0.0025100330882216236,8.405262406593894e-05,-1.9823463371759775e-05
3,2,0.00080732627199758,4.458004594438958e-05,-6.568460512113017e-05
1,1,0.000721084668033779,1.7766884635117552e-05,-2.0777252477066632e-05
3,1,-4.8479672676275665e-05,-2.455890191085941e-06,-4.910340191122131e-07
0,2,-0.0030295229788813087,-2.2945796024770315e-05,0.00020603268238059136
0,1,-0.002702450965046312,-4.182525456507269e-05,0.0001270356148282692
2,1,-0.004408075673602247,-0.00011680806231602336,9.404122394474079e-05
0,0,-0.004049013210831568,-0.0002728595802318906,0.0002671904832415306
