min_eval_pa,opponent,stratum,n_hitters,n_batters,rmse_a,rmse_b,rmse_difference,ci_low_rmse,ci_high_rmse,favours_a_share_rmse,n_draws,weighted,rank_a,rank_b,rank_difference,ci_low_rank,ci_high_rank,favours_a_share_rank,rmse_favours_model_v1,rank_favours_model_v1
10,gbm_full,low,380,239,0.0583085802579168,0.05867962487235527,-0.00037104461443847325,-0.0034276341843466943,0.0023964860553191934,0.609,2000,True,0.259334768008471,0.16650078485938694,0.09283398314908406,-0.05253280976857108,0.2478566962690081,0.8915,False,False
10,gbm_full,medium,280,238,0.047116682991223506,0.049488485344163766,-0.0023718023529402596,-0.004444689984727335,-0.0003473439725541479,0.9915,2000,True,0.350634030257863,0.2615319790480802,0.08910205120978282,-0.015620088661209624,0.1862904946732616,0.958,True,False
10,gbm_full,high,489,318,0.042677518672424974,0.040806922984289215,0.0018705956881357594,0.0005508980323661166,0.003227682208714261,0.0045,2000,True,0.481160386559373,0.5238435916195114,-0.04268320506013845,-0.09927323854728298,0.012395388503404846,0.064,False,False
10,gbm_full,all,1149,604,0.04678603764195768,0.04634174207058626,0.00044429557137141973,-0.0006248990453889406,0.0015567673919500854,0.2205,2000,True,0.44679196275463967,0.4417489797933145,0.00504298296132516,-0.03027451355644032,0.04213771932343148,0.586,False,False
10,eb_bivariate,low,380,239,0.0583085802579168,0.061758664127155666,-0.003450083869238868,-0.007411496560218088,0.0005669451658062836,0.9565,2000,True,0.259334768008471,0.13888378356912778,0.12045098443934321,-0.051594917871672696,0.2923018609168525,0.9225,False,False
10,eb_bivariate,medium,280,238,0.047116682991223506,0.050619000883100104,-0.003502317891876598,-0.005914278123658205,-0.0008757941967779992,0.9945,2000,True,0.350634030257863,0.1926377527681173,0.1579962774897457,0.012392664267234548,0.2940205140183878,0.983,True,True
10,eb_bivariate,high,489,318,0.042677518672424974,0.04104868446300824,0.0016288342094167366,9.335422828766694e-06,0.003254659740574077,0.0225,2000,True,0.481160386559373,0.5088911233771176,-0.027730736817744628,-0.0936255802657601,0.03586650220805498,0.2055,False,False
10,eb_bivariate,all,1149,604,0.04678603764195768,0.047434740917984,-0.0006487032760263203,-0.002109563458029793,0.0007601789261194068,0.807,2000,True,0.44679196275463967,0.4102793594008359,0.036512603353803796,-0.016928518798253835,0.09277404997414206,0.907,False,False
25,gbm_full,low,294,204,0.05525635969111394,0.055100574256420835,0.00015578543469310646,-0.003041896430258495,0.003180236180357038,0.4815,2000,True,0.2650799226350978,0.1619717365627581,0.10310818607233968,-0.051443800016803036,0.2581498124959452,0.9055,False,False
25,gbm_full,medium,250,218,0.044960949883306,0.047372174731803364,-0.002411224848497366,-0.004620529793400242,-0.00018367434864645038,0.982,2000,True,0.35092674191946477,0.2575642976845163,0.0933624442349485,-0.011436898939789216,0.2014171592811859,0.9595,True,False
