model,stratum,target,n_hitters,pa,scoring_pa,pa_weighted_rmse,noise_floor,model_rmse,rank_corr,rank_corr_weighted
eb_bivariate,low,woba,380,33003.0,32781.0,0.061758664127155666,0.05104423255256524,0.03476519693444097,0.1139616446795439,0.13888378356912778
eb_bivariate,medium,woba,280,37072.0,36877.0,0.050619000883100104,0.04271879195804831,0.02715489024187496,0.2508706153879467,0.1926377527681173
eb_bivariate,high,woba,489,111752.0,111114.0,0.04104868446300824,0.033382869207523966,0.023886785878743964,0.4850362371640803,0.5088911233771176
eb_bivariate,all,woba,1149,181827.0,180772.0,0.047434740917984,0.03911196566129376,0.0268385690390908,0.32831371902275586,0.4102793594008359
eb_bivariate,low,xwoba,380,33003.0,32701.0,0.04831493404971408,,,0.1645892366318944,0.2236756257554618
eb_bivariate,medium,xwoba,280,37072.0,36817.0,0.03914855399806227,,,0.3253215693348858,0.23801936357234932
eb_bivariate,high,xwoba,489,111752.0,110883.0,0.034213515946778884,,,0.5769881179868107,0.5708281533923454
eb_bivariate,all,xwoba,1149,181827.0,180401.0,0.03814979241835291,,,0.41952236506982865,0.4864396629690145
eb_book_rho_reference,low,woba,380,33003.0,32781.0,0.061981234549551074,0.05104423255256524,0.03515906368784731,0.10294813813562315,0.12595119233042476
eb_book_rho_reference,medium,woba,280,37072.0,36877.0,0.05017130300466315,0.04271879195804831,0.026310919003917528,0.2683056093023178,0.20157584316803823
eb_book_rho_reference,high,woba,489,111752.0,111114.0,0.04100030858044055,0.033382869207523966,0.02380355744767355,0.49187090907971365,0.5066432320693934
eb_book_rho_reference,all,woba,1149,181827.0,180772.0,0.047364586560613695,0.03911196566129376,0.02671438193497363,0.331935278989584,0.4095977066296318
eb_book_rho_reference,low,xwoba,380,33003.0,32701.0,0.04847030003648179,,,0.152235644769651,0.21458593449486063
eb_book_rho_reference,medium,xwoba,280,37072.0,36817.0,0.038527384062189654,,,0.34671816149258466,0.2529911640943463
eb_book_rho_reference,high,xwoba,489,111752.0,110883.0,0.034248824171143576,,,0.580136882269754,0.5646812800427687
eb_book_rho_reference,all,xwoba,1149,181827.0,180401.0,0.03807586033211558,,,0.42221729301792227,0.4856289936078053
trailing_raw,low,woba,380,33003.0,32781.0,0.10542046491477165,0.05104423255256524,0.09223860767577881,0.11379883168660469,0.041589889211782104
trailing_raw,medium,woba,280,37072.0,36877.0,0.0638019182869957,0.04271879195804831,0.047389762509907805,0.15438858213987874,0.12230642630504315
trailing_raw,high,woba,489,111752.0,111114.0,0.04312209804820664,0.033382869207523966,0.027296508633019256,0.444641292099662,0.4899349747809177
trailing_raw,all,woba,1149,181827.0,180772.0,0.06315608379630264,0.03911196566129376,0.04958775113468424,0.27623402874068514,0.3492700100976697
