batter,delta_obs,delta_pred,denom_L,denom_R,prior_pa,stand,weight,stratum,delta_route_a
444482,-0.019829059829059803,-0.040371628876771704,26.0,234.0,846.0,L,46.8,high,-0.02646739235162382
453568,-0.013989464522926098,-0.034024046485488235,114.0,383.0,1619.0,L,175.7022132796781,high,-0.02646739235162382
455117,-0.11582684780105919,0.014542855136339683,43.0,101.0,880.0,R,60.31944444444444,high,0.014940144761076635
456781,0.04071346170911355,0.0171400727597269,118.0,191.0,583.0,R,145.87702265372167,high,0.014940144761076635
457705,-0.01830310117315992,0.013218056757154761,141.0,373.0,1282.0,R,204.64202334630352,high,0.014940144761076635
457759,0.004019124398973339,0.012095406640809103,139.0,398.0,1360.0,R,206.0409683426443,high,0.014940144761076635
467793,0.09202468582984258,-0.0045534770043930695,161.0,430.0,1624.0,L,234.28087986463623,high,-0.02646739235162382
493329,-0.16428460038986356,0.011738755192003403,27.0,38.0,1103.0,R,31.56923076923077,high,0.014940144761076635
500743,-0.03549511788521076,0.017997102514254792,114.0,221.0,921.0,R,150.41194029850746,high,0.014940144761076635
502054,-0.00022328597177034837,0.01876932733687453,119.0,359.0,1084.0,R,178.74895397489541,high,0.014940144761076635
502110,0.06526382559428501,0.017892345073926785,138.0,353.0,1231.0,R,198.42769857433808,high,0.014940144761076635
502671,0.06892223135791536,0.01757722769925474,163.0,485.0,1250.0,R,243.99691358024688,high,0.014940144761076635
514888,0.09787928299308701,0.019991817468501927,169.0,511.0,1374.0,R,253.99705882352944,high,0.014940144761076635
516782,0.07960201068616424,0.013834141779144382,112.0,254.0,1076.0,R,155.45355191256832,high,0.014940144761076635
518595,0.08286255411255411,0.01896501962635533,77.0,264.0,612.0,R,119.2258064516129,high,0.014940144761076635
518692,-0.056037122534184525,-0.03858520496280238,223.0,406.0,1584.0,L,287.879173290938,high,-0.02646739235162382
518735,-0.06405599775259857,-0.010065301413864414,59.0,181.0,896.0,L,88.99166666666667,high,-0.02646739235162382
518792,-0.09495747171283653,-0.03389982663880459,22.0,233.0,847.0,L,40.20392156862745,high,-0.02646739235162382
518934,-0.05678848384424193,0.015456942163563692,85.0,142.0,1375.0,R,106.34361233480176,high,0.014940144761076635
519203,-0.042830230660832136,-0.0361689632454682,97.0,278.0,1352.0,L,143.81866666666667,high,-0.02646739235162382
519317,-0.042315001590113976,0.022207954399637908,138.0,319.0,884.0,R,192.65645514223195,high,0.014940144761076635
521692,0.027704997870981518,0.00863343191631627,154.0,488.0,1103.0,R,234.11838006230528,high,0.014940144761076635
527038,0.0038234063328219103,0.00934032011348751,107.0,134.0,1178.0,R,118.98755186721993,high,0.014940144761076635
541645,0.16625641025641028,0.008790691748059687,39.0,12.0,951.0,R,18.352941176470587,high,0.014940144761076635
542194,0.05038130997079682,0.016811879150543718,51.0,94.0,301.0,R,66.12413793103448,medium,0.014940144761076635
542303,-0.0015848853952741826,0.020965857416757605,162.0,523.0,987.0,R,247.37518248175184,high,0.014940144761076635
542932,-0.06385815047021942,0.012514025031632514,29.0,44.0,437.0,R,34.95890410958904,medium,0.014940144761076635
543063,0.013433465085638974,-0.0321270492301442,11.0,69.0,1232.0,L,18.975,high,-0.02646739235162382
543228,-0.11213951734539972,0.010789803271755438,17.0,78.0,890.0,R,27.915789473684214,high,0.014940144761076635
543257,0.08152100840336135,-0.011851949237119741,126.0,119.0,1040.0,R,122.40000000000002,high,0.014940144761076635
543305,0.09412148337595908,0.002811294911846174,17.0,46.0,898.0,L,24.825396825396826,high,-0.02646739235162382
543309,-0.0032597540711200024,0.01896093190118403,85.0,177.0,272.0,R,114.8473282442748,medium,0.014940144761076635
543510,-0.024994886545222084,0.018449250561164865,84.0,149.0,947.0,R,107.43347639484979,high,0.014940144761076635
543685,-0.0017009803921568811,0.011496805247937003,34.0,204.0,896.0,R,58.28571428571428,high,0.014940144761076635
543760,0.04179084299385777,0.014248742721322538,173.0,543.0,1517.0,R,262.3994413407821,high,0.014940144761076635
543807,-0.03817179487179484,0.011959099962168984,145.0,468.0,1275.0,R,221.40293637846656,high,0.014940144761076635
543877,-0.014421788810086683,0.014821777508659317,94.0,216.0,742.0,R,130.99354838709678,high,0.014940144761076635
545121,0.02064525486945712,-0.0024760807710454413,127.0,171.0,321.0,L,145.751677852349,medium,-0.02646739235162382
545341,0.05317322654462242,0.01716450847603679,184.0,95.0,1238.0,R,125.30465949820787,high,0.014940144761076635
545361,-0.17537962962962964,0.009824328733267995,17.0,108.0,1080.0,R,29.376,high,0.014940144761076635
547180,0.013524898282097741,-0.04473159102545449,224.0,395.0,1479.0,L,285.8804523424879,high,-0.02646739235162382
547989,0.012475415174210358,0.011365253338554482,37.0,83.0,1279.0,R,51.18333333333334,high,0.014940144761076635
553869,-0.04060495847971901,0.01727903109424811,101.0,248.0,664.0,R,143.54154727793696,high,0.014940144761076635
553993,0.008579238130460853,0.014204166073736701,194.0,446.0,1236.0,R,270.3875,high,0.014940144761076635
570482,-0.09597836051593645,0.013796217272661393,106.0,354.0,679.0,R,163.1478260869565,high,0.014940144761076635
571448,-0.04632092593598869,0.015374210156629986,154.0,478.0,1320.0,R,232.94936708860757,high,0.014940144761076635
571466,-0.1533508064516129,-0.03035112507687271,32.0,62.0,551.0,L,42.212765957446805,high,-0.02646739235162382
571657,0.07942631651502619,0.009497442617209972,117.0,124.0,551.0,R,120.39834024896265,high,0.014940144761076635
571745,-0.086326668320516,0.02184309588341221,145.0,278.0,754.0,R,190.59101654846336,high,0.014940144761076635
571771,0.016937724014336908,0.019445155682905224,144.0,248.0,1342.0,R,182.20408163265307,high,0.014940144761076635
571912,0.07937193898032918,0.014538096133438205,47.0,106.0,306.0,R,65.12418300653594,medium,0.014940144761076635
571970,-0.05577361042793899,-0.034627013906426474,76.0,214.0,861.0,L,112.1655172413793,high,-0.02646739235162382
572138,-0.13241010345087967,-0.028787462258887397,82.0,323.0,36.0,L,130.79506172839504,low,-0.02646739235162382
572191,0.0370420544292972,0.014569858847723383,103.0,193.0,888.0,R,134.31756756756758,high,0.014940144761076635
572233,-0.018590986394557807,0.012175038333571364,156.0,392.0,751.0,R,223.18248175182484,high,0.014940144761076635
572761,0.0036646177487514864,-0.03547932929984349,19.0,137.0,918.0,L,33.371794871794876,high,-0.02646739235162382
573262,-0.024592852156917477,-0.03237564769094736,95.0,377.0,512.0,L,151.7584745762712,high,-0.02646739235162382
575929,0.013044943820224697,0.014399670084656868,89.0,267.0,850.0,R,133.5,high,0.014940144761076635
578428,0.10692157894736842,0.012870956829172775,100.0,190.0,930.0,R,131.03448275862067,high,0.014940144761076635
592178,-0.17826847826086956,0.017093798795018766,40.0,115.0,1031.0,R,59.354838709677416,high,0.014940144761076635
592192,0.04160627556690544,0.014033236736646193,127.0,333.0,1197.0,R,183.87391304347827,high,0.014940144761076635
592200,0.006531163816878127,0.014434363285886986,49.0,74.0,461.0,R,58.95934959349594,high,0.014940144761076635
592206,0.040357215892491916,0.015237331570866042,168.0,489.0,1196.0,R,250.08219178082194,high,0.014940144761076635
592273,-0.03800714285714285,0.017841607145000493,80.0,280.0,829.0,R,124.44444444444443,high,0.014940144761076635
592325,0.005975000000000008,-0.04206592980187479,18.0,80.0,513.0,L,29.38775510204082,high,-0.02646739235162382
592450,0.0327116985376828,0.022715066937325723,175.0,508.0,874.0,R,260.3221083455344,high,0.014940144761076635
592518,0.0021167875942523784,0.016473402965227812,142.0,495.0,1423.0,R,220.69073783359497,high,0.014940144761076635
592626,-0.04545488721804508,-0.042022350424748,42.0,399.0,596.0,L,76.0,high,-0.02646739235162382
592663,0.02204578858111933,0.014334156815188293,122.0,290.0,1110.0,R,171.74757281553397,high,0.014940144761076635
