grouping,balls,strikes,n_pitches,observed,predicted,gap,relative_gap,stand,p_throws,in_zone,all
count,0,0,180133,0.3150672003464107,0.30774848389157217,-0.007318716454838559,-0.0232290649321534,,,,
count,0,1,92243,0.4883622605509361,0.4894400280523997,0.0010777675014636001,0.002206901696801342,,,,
count,0,2,48696,0.5044356826022671,0.5151243726370686,0.01068869003480144,0.02118940115350476,,,,
count,1,0,67644,0.43072556324285965,0.43093243739029374,0.0002068741474340885,0.00048029224426933973,,,,
count,1,1,71099,0.5432003263055739,0.5452993088163525,0.0020989825107785576,0.0038641039210233984,,,,
count,1,2,70047,0.5753137179322455,0.5800823920734598,0.004768674141214291,0.008288823979990506,,,,
count,2,0,22441,0.42671895191836373,0.4304664227194458,0.0037474708010820645,0.008782058505334442,,,,
count,2,1,36244,0.5774473016223375,0.5811799292234847,0.0037326276011472315,0.00646401427569307,,,,
count,2,2,59237,0.6430778061009167,0.6499548883269279,0.006877082226011244,0.01069401270074626,,,,
count,3,0,6807,0.0987219039224328,0.09682216097464688,-0.0018997429477859151,-0.019243378341635003,,,,
count,3,1,14895,0.5508559919436052,0.5543187144855876,0.0034627225419823215,0.006286075839466993,,,,
count,3,2,35858,0.7038596686931786,0.7179805050637165,0.014120836370537848,0.020062005252773334,,,,
handedness,,,53106,0.46699054720747185,0.4681516231764341,0.0011610759689622552,0.00248629437127861,L,L,,
handedness,,,249830,0.4713044870511948,0.4724233330459272,0.001118845994732387,0.0023739345274063853,L,R,,
handedness,,,136118,0.48342614496245906,0.4843469349282206,0.0009207899657615592,0.0019047169363027813,R,L,,
handedness,,,266290,0.48363813887115553,0.4855310545343472,0.0018929156631916633,0.003913908997354629,R,R,,
zone,,,356440,0.2840421950398384,0.29352942787841746,0.009487232838579052,0.033400786940293914,,,0.0,
zone,,,348904,0.6760971499323596,0.6691868041719196,-0.006910345760440029,-0.010220936090518022,,,1.0,
count_x_zone,0,0,83358,0.1552340507209866,0.15638644115246572,0.0011523904314791333,0.007423567356046182,,,0.0,
count_x_zone,0,0,96775,0.4527408938258848,0.4381255147223284,-0.01461537910355637,-0.03228199463063559,,,1.0,
count_x_zone,0,1,50850,0.2799016715830875,0.28717923245255894,0.0072775608694714555,0.026000419462701017,,,0.0,
count_x_zone,0,1,41393,0.7444495446089918,0.7379110607451715,-0.006538483863820277,-0.00878297785413314,,,1.0,
count_x_zone,0,2,32893,0.3305262517860943,0.3481639830013287,0.01763773121523443,0.053362572927033315,,,0.0,
count_x_zone,0,2,15803,0.8664177687780801,0.8626424449200775,-0.0037753238580026105,-0.004357394312592408,,,1.0,
count_x_zone,1,0,30314,0.22101999076334367,0.22884479740700647,0.007824806643662807,0.03540316247701408,,,0.0,
count_x_zone,1,0,37330,0.6010179480310742,0.5950386446888035,-0.005979303342270703,-0.00994862692846164,,,1.0,
count_x_zone,1,1,35668,0.30977346641247056,0.3228300763017598,0.01305660988928925,0.042148896871315865,,,0.0,
count_x_zone,1,1,35431,0.7781885919110384,0.769256650842558,-0.008931941068480387,-0.011477861743701167,,,1.0,
count_x_zone,1,2,43421,0.3851592547384906,0.39582854581215987,0.010669291073669263,0.027700985871190686,,,0.0,
count_x_zone,1,2,26626,0.885412754450537,0.880558853371135,-0.004853901079401979,-0.005482077206369336,,,1.0,
count_x_zone,2,0,9214,0.20968092033861516,0.21615775963376388,0.006476839295148723,0.030889025499741374,,,0.0,
count_x_zone,2,0,13227,0.577908822862327,0.5797550007546368,0.001846177892309786,0.003194583330923802,,,1.0,
count_x_zone,2,1,15995,0.3196623944982807,0.3306463934670173,0.010983998968736586,0.03436124848522231,,,0.0,
count_x_zone,2,1,20249,0.7810756086720332,0.7790802652610518,-0.0019953434109813983,-0.002554609808356243,,,1.0,
count_x_zone,2,2,31544,0.4224258179051484,0.43966979378497545,0.017243975879827067,0.04082131145615497,,,0.0,
count_x_zone,2,2,27693,0.894413750767342,0.8894823148329527,-0.004931435934389272,-0.005513595838792124,,,1.0,
count_x_zone,3,0,2469,0.03523693803159174,0.04211163207240455,0.006874694040812812,0.1950990757099636,,,0.0,
count_x_zone,3,0,4338,0.13485477178423236,0.12796100280489958,-0.006893768979332776,-0.051119948431359974,,,1.0,
count_x_zone,3,1,5689,0.27069783793285285,0.278707353105268,0.00800951517241516,0.02958839728303237,,,0.0,
count_x_zone,3,1,9206,0.7239843580273735,0.7246373148432498,0.0006529568158762933,0.0009018935404286805,,,1.0,
count_x_zone,3,2,15025,0.44785357737104825,0.4696386304929951,0.02178505312194684,0.048643249094553614,,,0.0,
count_x_zone,3,2,20833,0.8884942159074545,0.8970875307165312,0.008593314809076769,0.009671773496353123,,,1.0,
overall,,,705344,0.4779752858179839,0.4793513264389894,0.0013760406210055476,0.0028788949174446497,,,,all
trained_hitters,,,659783,0.47777829983494574,0.47895982096289386,0.0011815211279481153,0.0024729484958950334,,,,trained
