p_throws,stand,balls,strikes,n_pitchers,take_mass_drawn,take_mass_exact,take_mass_gap,share
L,L,0,0,200,0.7351919448220012,0.7500582021631678,-0.014866257341166533,0.07624542359733422
L,L,0,1,200,0.5355185386076297,0.5620912084167867,-0.026572669809157068,0.07624542359733422
L,L,0,2,200,0.5164457117543279,0.52453235093408,-0.008086639179752164,0.07624542359733422
L,L,1,0,200,0.609831154758304,0.6212317448723044,-0.011400590114000408,0.07624542359733422
L,L,1,1,200,0.5041769998172603,0.49156292749780395,0.012614072319456326,0.07624542359733422
L,L,1,2,200,0.4775198041474684,0.4312590327692267,0.046260771378241694,0.07624542359733422
L,L,2,0,200,0.6211000137843357,0.6276753084257005,-0.006575294641364859,0.07624542359733422
L,L,2,1,200,0.46507553319794026,0.4577043062951114,0.007371226902828876,0.07624542359733422
L,L,2,2,200,0.3788300150334133,0.36905034310631746,0.009779671927095834,0.07624542359733422
L,L,3,0,200,0.9308086120139014,0.9384557232275151,-0.007647111213613722,0.07624542359733422
L,L,3,1,200,0.5073485074629206,0.5012355137400386,0.0061129937228819875,0.07624542359733422
L,L,3,2,200,0.3093893716601945,0.30043924866480753,0.008950122995386944,0.07624542359733422
L,R,0,0,200,0.7269219089385168,0.7266890943296775,0.0002328146088392824,0.19643020936796504
L,R,0,1,200,0.5296309876962438,0.5302043577412147,-0.0005733700449708223,0.19643020936796504
L,R,0,2,200,0.49481943865054995,0.5138442957062943,-0.01902485705574436,0.19643020936796504
L,R,1,0,200,0.5839701444988714,0.5711411869055272,0.012828957593344237,0.19643020936796504
L,R,1,1,200,0.4790740411535064,0.47067016350084556,0.008403877652660818,0.19643020936796504
L,R,1,2,200,0.44081861334638844,0.4367837260567608,0.004034887289627642,0.19643020936796504
L,R,2,0,200,0.5707348247050346,0.5907992284398343,-0.020064403734799785,0.19643020936796504
L,R,2,1,200,0.4258049781458155,0.42604311551928326,-0.00023813737346772834,0.19643020936796504
L,R,2,2,200,0.35566831663706105,0.36876352882307795,-0.013095212186016891,0.19643020936796504
L,R,3,0,200,0.9113207311593514,0.910749872360787,0.0005708587985644442,0.19643020936796504
L,R,3,1,200,0.4558062572779371,0.4561012282591419,-0.0002949709812047896,0.19643020936796504
L,R,3,2,200,0.3016288495815809,0.2986989938846424,0.0029298556969385436,0.19643020936796504
R,L,0,0,200,0.7539543652467816,0.7424452982907318,0.011509066956049807,0.33440760318363005
R,L,0,1,200,0.5583330514133802,0.5477364408714918,0.01059661054188843,0.33440760318363005
R,L,0,2,200,0.5156637625566984,0.5271350791265533,-0.011471316569854895,0.33440760318363005
R,L,1,0,200,0.5865662583279607,0.6002291857827866,-0.01366292745482589,0.33440760318363005
R,L,1,1,200,0.48769941275107975,0.4841217703063745,0.0035776424447052646,0.33440760318363005
R,L,1,2,200,0.44749073559624475,0.4438853203072436,0.003605415289001157,0.33440760318363005
R,L,2,0,200,0.6010156299521883,0.5962730289236092,0.004742601028579041,0.33440760318363005
R,L,2,1,200,0.4331745102658534,0.43844387901605664,-0.005269368750203229,0.33440760318363005
R,L,2,2,200,0.36621929254005336,0.3734832391319228,-0.007263946591869408,0.33440760318363005
R,L,3,0,200,0.9182339433212796,0.922841165513431,-0.004607222192151372,0.33440760318363005
R,L,3,1,200,0.46329703851841003,0.46801811040751434,-0.004721071889104311,0.33440760318363005
R,L,3,2,200,0.29472441567157953,0.2933518614538246,0.001372554217754951,0.33440760318363005
R,R,0,0,200,0.7041575377266402,0.7127588076286738,-0.008601269902033581,0.39291676385107066
R,R,0,1,200,0.5413928495522874,0.5416993917766685,-0.00030654222438109,0.39291676385107066
R,R,0,2,200,0.5081617357628527,0.5158826221483825,-0.007720886385529813,0.39291676385107066
R,R,1,0,200,0.5798117410077159,0.5849668093822036,-0.005155068374487648,0.39291676385107066
R,R,1,1,200,0.4640785283274034,0.4725750150546295,-0.008496486727226138,0.39291676385107066
R,R,1,2,200,0.43060979186570647,0.443780319388029,-0.013170527522322506,0.39291676385107066
R,R,2,0,200,0.590891792815208,0.5855902647953309,0.005301528019877044,0.39291676385107066
R,R,2,1,200,0.43790265926037286,0.4342709317676117,0.0036317274927611387,0.39291676385107066
R,R,2,2,200,0.3397542463391702,0.3689766637159296,-0.029222417376759402,0.39291676385107066
R,R,3,0,200,0.9056810285207003,0.9057890006046083,-0.00010797208390800339,0.39291676385107066
R,R,3,1,200,0.46855081969704987,0.4536477718047947,0.014903047892255161,0.39291676385107066
R,R,3,2,200,0.2752850151213953,0.2702007390252027,0.005084276096192608,0.39291676385107066
