balls,strikes,take_mass_drawn,take_mass_exact,take_mass_gap
0,0,0.7276478171821562,0.7282664330873463,-0.0006186159051901185
0,1,0.5442995075408447,0.5430150376501391,0.0012844698907055572
0,2,0.508681255605323,0.5199046426618674,-0.011223387056544475
1,0,0.5851761819414028,0.5901199295436457,-0.004943747602243014
1,1,0.47798042834096366,0.47750990884084776,0.0004705195001159248
1,2,0.4418369024963431,0.4414863993985979,0.00035050309774524446
2,0,0.5926210820650152,0.5933946521408343,-0.0007735700758190489
2,1,0.4360169875371479,0.4358368929540398,0.00018009458310813773
2,2,0.3547097117043468,0.3704474483840622,-0.01573773667971539
3,0,0.9129024898896301,0.9149565273824937,-0.002054037492863503
3,1,0.4672486443994661,0.46256360280076325,0.004685041598702883
3,2,0.2895607244960935,0.285846116532654,0.0037146079634394523
