bin,n_hitters,pa,mean_pred,mean_obs,gap
0,247,18080.0,0.263713295483771,0.2819409845132744,-0.01822768902950339
1,159,18083.0,0.284984747565205,0.29261604822208703,-0.007631300656882056
2,151,18004.0,0.29528316869014193,0.288258164852255,0.007025003837886901
3,110,18159.0,0.30464570803581403,0.304001872349799,0.0006438356860150596
4,97,17942.0,0.31309038216992224,0.30781323152379897,0.005277150646123274
5,104,18140.0,0.3218801307772999,0.31021929437706725,0.011660836400232633
6,71,18046.0,0.32931880246065237,0.32452975728693345,0.00478904517371892
7,75,18180.0,0.3368720601397281,0.33106182618261826,0.005810233957109834
8,78,18209.0,0.34916687666665147,0.32893058377725304,0.020236292889398433
9,65,18125.0,0.37247709226895553,0.36412115862068967,0.008355933648265867
