balls,strikes,draw_gap_ball,delta_bb,delta_k
2,0,0.004263958189684991,0.00013069146801343579,-4.6272803737368307e-05
2,1,0.003064019222501312,8.172175295884099e-05,-6.240515057204243e-05
0,1,0.005323333282578863,7.506155408777693e-05,-0.00034827874970935757
1,2,0.0036265250128342244,7.269630955085427e-05,-0.0003568066978225093
3,1,0.0013982433917853262,3.6512377376132776e-05,-1.5412358404687243e-05
1,1,0.0006447036339137712,1.6813061682940944e-05,-1.1604157104549984e-05
3,0,0.00026903556348888526,3.6464009836867373e-06,-1.987957096993842e-06
0,2,-0.0007648336337526635,-5.859912035707793e-06,6.054823127926712e-05
0,0,-0.0005111165079205156,-2.9252602316315324e-05,6.2481929977376e-05
2,2,-0.0018139136838019126,-6.48933713513905e-05,0.00014659958666871087
1,0,-0.0057435998079968425,-0.00025113466115443683,0.00014774762978964073
3,2,-0.00808458234283529,-0.00044978407840125245,0.00045152583022911585
