min_eval_pa,opponent,stratum,n_hitters,n_batters,rmse_a,rmse_b,rmse_difference,ci_low_rmse,ci_high_rmse,favours_a_share_rmse,n_draws,weighted,rank_a,rank_b,rank_difference,ci_low_rank,ci_high_rank,favours_a_share_rank,rmse_favours_model_v1,rank_favours_model_v1
10,gbm_full,low,384,246,0.062312439931696426,0.060882648339536875,0.0014297915921595503,-0.0014045198040986296,0.0042226719715431306,0.163,2000,True,0.14972562910698287,0.12361533312827964,0.02611029597870322,-0.08938766790844843,0.1410158770386629,0.6875,False,False
10,gbm_full,medium,280,236,0.0456441758921457,0.047889563291813084,-0.002245387399667384,-0.004453259305175392,-8.427297924972252e-05,0.9785,2000,True,0.42006508526996644,0.27952849879765074,0.1405365864723157,0.01399888055073346,0.2635201707232624,0.9845,True,True
10,gbm_full,high,493,321,0.03961092146072891,0.038531929055476984,0.0010789924052519231,-0.00041246610365555035,0.002533983623353942,0.077,2000,True,0.5043708234609047,0.4914093302471435,0.012961493213761166,-0.045444120343962446,0.07145685673297693,0.66,False,False
10,gbm_full,all,1157,618,0.04574059150478576,0.04530465567118646,0.0004359358335992991,-0.000699864161405263,0.0015785343805861977,0.2085,2000,True,0.468272478929551,0.4206336570713547,0.04763882185819629,0.007855554156826202,0.08963043057979504,0.991,False,True
10,eb_bivariate,low,384,246,0.062312439931696426,0.06195027900461877,0.00036216092707765796,-0.003641136240950538,0.004330147294728763,0.4315,2000,True,0.14972562910698287,0.1290260380614709,0.020699591045511972,-0.10595626680128031,0.14862608042347136,0.6245,False,False
10,eb_bivariate,medium,280,236,0.0456441758921457,0.0492084696073572,-0.0035642937152114973,-0.0061407396388045675,-0.0010390724792847656,0.9995,2000,True,0.42006508526996644,0.22292758930013606,0.19713749596983038,0.06931335862254202,0.32380922679103946,0.999,True,True
10,eb_bivariate,high,493,321,0.03961092146072891,0.03874969187641732,0.0008612295843115833,-0.0007304237782138307,0.002419579157181789,0.15,2000,True,0.5043708234609047,0.4819196879225459,0.022451135538358757,-0.042448152891389236,0.08472927024402559,0.751,False,False
10,eb_bivariate,all,1157,618,0.04574059150478576,0.04596756858331905,-0.00022697707853329419,-0.001713393324068872,0.0012619234561979961,0.6235,2000,True,0.468272478929551,0.4024249448232275,0.06584753410632349,0.01178913075360821,0.12384810507838181,0.989,False,True
25,gbm_full,low,299,208,0.058462943801797874,0.05627783349804222,0.0021851103037556566,-0.0010582847788217409,0.005036547368115333,0.089,2000,True,0.1558047560631038,0.1175509711643709,0.03825378489873289,-0.07711522263858751,0.1502404739846177,0.7425,False,False
25,gbm_full,medium,245,211,0.044104503325771365,0.0464134023667209,-0.0023088990409495386,-0.004518894707974484,-0.00011988730246692743,0.9795,2000,True,0.4209697092678545,0.2774464823109422,0.14352322695691228,0.023673808525409613,0.2615345439596897,0.9885,True,True
25,gbm_full,high,473,309,0.03904392668760626,0.03796164250804799,0.0010822841795582738,-0.00041369258586659906,0.0025423397028811368,0.0635,2000,True,0.504639569027207,0.49094889543368075,0.013690673593526215,-0.04055628957966986,0.07074444490848256,0.6765,False,False
25,gbm_full,all,1017,570,0.04406288297939057,0.043469965750733676,0.0005929172286568973,-0.000571841300937068,0.0017160988245592617,0.1635,2000,True,0.4676260489476092,0.4194072956675617,0.04821875328004749,0.007441139221936076,0.0899451285524223,0.9905,False,True
25,eb_bivariate,low,299,208,0.058462943801797874,0.05656552633013048,0.0018974174716673911,-0.00257637901907351,0.005953163026750806,0.211,2000,True,0.1558047560631038,0.14162626820686566,0.014178487856238126,-0.11631940294640207,0.15189073564867953,0.6045,False,False
25,eb_bivariate,medium,245,211,0.044104503325771365,0.04772009407166105,-0.003615590745889685,-0.006244647837266383,-0.0010286026597881826,0.996,2000,True,0.4209697092678545,0.22583264644883386,0.19513706281902063,0.05773914259112937,0.3254319804500824,0.9975,True,True
25,eb_bivariate,high,473,309,0.03904392668760626,0.038201623515390755,0.0008423031722155083,-0.0007782859213430004,0.0024742872019165737,0.153,2000,True,0.504639569027207,0.4812290351851034,0.023410533842103565,-0.038869747516700186,0.08756544466298799,0.776,False,False
25,eb_bivariate,all,1017,570,0.04406288297939057,0.04395562756201,0.00010725541738057509,-0.0014704310438678027,0.0016212018517216102,0.451,2000,True,0.4676260489476092,0.40474243104990487,0.0628836178977043,0.003289845552835971,0.12179582132195128,0.9805,False,True
50,gbm_full,low,211,163,0.055215402863680846,0.05199036570144526,0.003225037162235586,-0.00011450187131308054,0.006480458620120017,0.035,2000,True,0.16174222281415115,0.09429993828823863,0.06744228452591253,-0.06835681988023473,0.20069058210328966,0.8335,False,False
50,gbm_full,medium,210,181,0.0425845590993124,0.044995938433068226,-0.0024113793337558267,-0.004663980926191205,-0.00017267441653434892,0.9845,2000,True,0.41940242097255365,0.27071140346244,0.14869101751011365,0.019881167864237607,0.2741480481767962,0.9895,True,True
50,gbm_full,high,437,295,0.037766099587884856,0.03682135684092769,0.0009447427469571681,-0.0005467273002096793,0.0023890015310036187,0.0975,2000,True,0.5032458202093854,0.4887722807671954,0.014473539442189931,-0.04589321097665871,0.07227351631642812,0.6845,False,False
50,gbm_full,all,858,508,0.042052060200754714,0.041374512929866276,0.0006775472708884372,-0.0005505198588558607,0.0018870017022596687,0.1415,2000,True,0.4683761922383044,0.417263094129011,0.051113098109293376,0.009370038358727404,0.09422996235879684,0.9915,False,True
50,eb_bivariate,low,211,163,0.055215402863680846,0.05130392895231525,0.003911473911365593,-0.0011257070567906302,0.008748097795230421,0.071,2000,True,0.16174222281415115,0.15119730052003452,0.010544922294116632,-0.14346977962940838,0.16542863131465677,0.5755,False,False
50,eb_bivariate,medium,210,181,0.0425845590993124,0.04616421389511609,-0.0035796547958036884,-0.0062856986240485335,-0.000955164556882055,0.997,2000,True,0.41940242097255365,0.2300312388225109,0.18937118215004276,0.05551197653153705,0.3210253443469275,0.9975,True,True
50,eb_bivariate,high,437,295,0.037766099587884856,0.037024064606724104,0.0007420349811607524,-0.0009242714001691393,0.0024323869644965255,0.192,2000,True,0.5032458202093854,0.47943154528278575,0.0238142749265996,-0.04124761275214616,0.08765299729219156,0.7725,False,False
50,eb_bivariate,all,858,508,0.042052060200754714,0.0416164406903104,0.00043561951044431696,-0.0011651919550181799,0.0020399986398630257,0.3035,2000,True,0.4683761922383044,0.4075423004941946,0.0608338917441098,0.004343217207717181,0.11812165552000724,0.983,False,True
