model,stratum,target,n_hitters,pa,scoring_pa,pa_weighted_rmse,noise_floor,model_rmse,rank_corr,rank_corr_weighted
eb_bivariate,low,woba,384,32750.0,32561.0,0.06195027900461877,0.05153512293418807,0.034379764003091,0.05627518832041632,0.1290260380614709
eb_bivariate,medium,woba,280,37853.0,37596.0,0.0492084696073572,0.04243660924372465,0.024911998655138455,0.21052861749201782,0.22292758930013606
eb_bivariate,high,woba,493,111557.0,110811.0,0.03874969187641732,0.03343467488451469,0.01958726974042287,0.4665940326614671,0.4819196879225459
eb_bivariate,all,woba,1157,182160.0,180968.0,0.04596756858331905,0.03919813585330008,0.024010903920685108,0.2946271250397432,0.4024249448232275
eb_bivariate,low,xwoba,384,32750.0,32488.0,0.049067211479452276,,,0.11302158114432548,0.22249756393364623
eb_bivariate,medium,xwoba,280,37853.0,37481.0,0.04221603046374253,,,0.32103580038375124,0.2804322311372398
eb_bivariate,high,xwoba,493,111557.0,110567.0,0.03327680963234013,,,0.5486491937785659,0.5389834535938013
eb_bivariate,all,xwoba,1157,182160.0,180536.0,0.03848939910794164,,,0.397178941696145,0.48668487775023744
eb_book_rho_reference,low,woba,384,32750.0,32561.0,0.06191688469279094,0.05153512293418807,0.03431955294316189,0.0632950967961307,0.13295666453769694
eb_book_rho_reference,medium,woba,280,37853.0,37596.0,0.049375012098067335,0.04243660924372465,0.025239374310384942,0.1935779593338433,0.22003646427360768
eb_book_rho_reference,high,woba,493,111557.0,110811.0,0.038767731416369265,0.03343467488451469,0.01962293338261503,0.4682652023159825,0.48180326002599394
eb_book_rho_reference,all,woba,1157,182160.0,180968.0,0.04600587204417515,0.03919813585330008,0.02408415263552463,0.2912850318241943,0.4017089443341028
eb_book_rho_reference,low,xwoba,384,32750.0,32488.0,0.0490872882331093,,,0.11741094817235298,0.225422407408986
eb_book_rho_reference,medium,xwoba,280,37853.0,37481.0,0.042391100403186346,,,0.30285025501418567,0.2708054876442917
eb_book_rho_reference,high,xwoba,493,111557.0,110567.0,0.033363541891964145,,,0.5495557334629114,0.5373032779884404
eb_book_rho_reference,all,xwoba,1157,182160.0,180536.0,0.038579831753079954,,,0.39232447417866195,0.48376661521079733
trailing_raw,low,woba,384,32750.0,32561.0,0.0908261239503369,0.05153512293418807,0.07478981144514328,0.10443773250894331,0.08256358583360578
trailing_raw,medium,woba,280,37853.0,37596.0,0.058909360632404296,0.04243660924372465,0.040858866430850585,0.19917159999443157,0.17071005270919265
trailing_raw,high,woba,493,111557.0,110811.0,0.04151513693039368,0.03343467488451469,0.02460953290324991,0.4173563692424665,0.468267124938359
trailing_raw,all,woba,1157,182160.0,180968.0,0.05710153431703506,0.03919813585330008,0.04152217921768755,0.2833608198447815,0.3625919863321046
trailing_raw,low,xwoba,384,32750.0,32488.0,0.0830060938975421,,,0.09484205241027603,0.10812183999685267
trailing_raw,medium,xwoba,280,37853.0,37481.0,0.05317603998554763,,,0.2930547583515096,0.21329464287112807
trailing_raw,high,xwoba,493,111557.0,110567.0,0.03557414308749713,,,0.5011419876293186,0.5312140441973309
trailing_raw,all,xwoba,1157,182160.0,180536.0,0.05100966357547342,,,0.36153850539354393,0.4381008032666345
trailing_bucketed,low,woba,384,32750.0,32561.0,0.06364112173249345,0.05153512293418807,0.037340641123689525,0.059956147150145855,0.04262044303441522
trailing_bucketed,medium,woba,280,37853.0,37596.0,0.055374980620288006,0.04243660924372465,0.03557418550849331,0.16833646794050514,0.1442784626207408
trailing_bucketed,high,woba,493,111557.0,110811.0,0.04150586976898627,0.03343467488451469,0.024593896410427755,0.4187226883889011,0.46842403946552297
trailing_bucketed,all,woba,1157,182160.0,180968.0,0.04920011850944702,0.03919813585330008,0.029734791187594745,0.2681724837426326,0.36318612841748843
trailing_bucketed,low,xwoba,384,32750.0,32488.0,0.051593396868463856,,,-0.0026190005519797282,0.015875961357083933
trailing_bucketed,medium,xwoba,280,37853.0,37481.0,0.04940817874481092,,,0.2529511127146301,0.1880958170286256
trailing_bucketed,high,xwoba,493,111557.0,110567.0,0.035468249923763025,,,0.5043534335040322,0.5328660770448541
trailing_bucketed,all,xwoba,1157,182160.0,180536.0,0.04190784216237486,,,0.3407482148671407,0.4401991859700087
trailing_xwoba,low,woba,384,32750.0,32561.0,0.06398984260275474,0.05153512293418807,0.03793192666453219,0.03762752667027625,0.10330114549220698
trailing_xwoba,medium,woba,280,37853.0,37596.0,0.04861766171716141,0.04243660924372465,0.023723642779720108,0.28081825410080646,0.3480953433015649
trailing_xwoba,high,woba,493,111557.0,110811.0,0.041472157894178935,0.03343467488451469,0.024536959790620167,0.4480521314398418,0.466075464465531
trailing_xwoba,all,woba,1157,182160.0,180968.0,0.04775938632132562,0.03919813585330008,0.027284888261010998,0.30304723169651954,0.4104973420328937
