model,stratum,target,n_hitters,pa,scoring_pa,pa_weighted_rmse,noise_floor,model_rmse,rank_corr,rank_corr_weighted,skill_vs_no_info
eb_bivariate,low,woba,384,32750.0,32561.0,0.06195027900461877,0.05153512293418807,0.034379764003091,0.05627518832041632,0.1290260380614709,0.1396583032832961
eb_bivariate,medium,woba,280,37853.0,37596.0,0.0492084696073572,0.04243660924372465,0.024911998655138455,0.21052861749201782,0.22292758930013606,0.16133815536718077
eb_bivariate,high,woba,493,111557.0,110811.0,0.03874969187641732,0.03343467488451469,0.01958726974042287,0.4665940326614671,0.4819196879225459,0.613886761329052
eb_bivariate,all,woba,1157,182160.0,180968.0,0.04596756858331905,0.03919813585330008,0.024010903920685108,0.2946271250397432,0.4024249448232275,0.42882215016441694
eb_book_rho_reference,low,woba,384,32750.0,32561.0,0.06191688469279094,0.05153512293418807,0.03431955294316189,0.0632950967961307,0.13295666453769694,0.14266918629106162
eb_book_rho_reference,medium,woba,280,37853.0,37596.0,0.049375012098067335,0.04243660924372465,0.025239374310384942,0.1935779593338433,0.22003646427360768,0.13915113668393342
eb_book_rho_reference,high,woba,493,111557.0,110811.0,0.038767731416369265,0.03343467488451469,0.01962293338261503,0.4682652023159825,0.48180326002599394,0.6124794451829471
eb_book_rho_reference,all,woba,1157,182160.0,180968.0,0.04600587204417515,0.03919813585330008,0.02408415263552463,0.2912850318241943,0.4017089443341028,0.4253319142226719
trailing_raw,low,woba,384,32750.0,32561.0,0.0908261239503369,0.05153512293418807,0.07478981144514328,0.10443773250894331,0.08256358583360578,-3.071459001079379
trailing_raw,medium,woba,280,37853.0,37596.0,0.058909360632404296,0.04243660924372465,0.040858866430850585,0.19917159999443157,0.17071005270919265,-1.2560170038767215
trailing_raw,high,woba,493,111557.0,110811.0,0.04151513693039368,0.03343467488451469,0.02460953290324991,0.4173563692424665,0.468267124938359,0.39050011816533947
trailing_raw,all,woba,1157,182160.0,180968.0,0.05710153431703506,0.03919813585330008,0.04152217921768755,0.2833608198447815,0.3625919863321046,-0.7081051991936762
trailing_bucketed,low,woba,384,32750.0,32561.0,0.06364112173249345,0.05153512293418807,0.037340641123689525,0.059956147150145855,0.04262044303441522,-0.014912800230149514
trailing_bucketed,medium,woba,280,37853.0,37596.0,0.055374980620288006,0.04243660924372465,0.03557418550849331,0.16833646794050514,0.1442784626207408,-0.7101715303297471
trailing_bucketed,high,woba,493,111557.0,110811.0,0.04150586976898627,0.03343467488451469,0.024593896410427755,0.4187226883889011,0.46842403946552297,0.3912744045219487
trailing_bucketed,all,woba,1157,182160.0,180968.0,0.04920011850944702,0.03919813585330008,0.029734791187594745,0.2681724837426326,0.36318612841748843,0.12404030557078338
