batter,delta_obs,delta_pred,denom_L,denom_R,prior_pa,stand,weight,stratum,delta_route_a
455117,0.12888423831070892,0.023436803436908737,51.0,104.0,923.0,R,68.43870967741935,high,0.014857842364673413
456781,-0.17986024371667933,0.02262207375589048,101.0,78.0,701.0,R,88.02234636871509,high,0.014857842364673413
457705,0.0176729724635446,0.0211796799459697,147.0,397.0,1423.0,R,214.55514705882354,high,0.014857842364673413
457759,0.13939539046766614,0.017268135766316528,109.0,82.0,1499.0,R,93.59162303664921,high,0.014857842364673413
467793,0.014442009932807531,0.005034046682552196,147.0,326.0,1785.0,L,202.63002114164905,high,-0.026253501145267144
493329,-0.011264957264957243,0.017261792460082914,27.0,13.0,1130.0,R,17.55,high,0.014857842364673413
500743,0.11078845993496206,0.022913417013133597,134.0,179.0,1035.0,R,153.26517571884983,high,0.014857842364673413
502054,-0.02545015337423312,0.028886383638231594,120.0,326.0,1203.0,R,175.42600896860986,high,0.014857842364673413
502671,0.1386102350893204,0.029302015445878626,163.0,363.0,1413.0,R,224.97718631178708,high,0.014857842364673413
514888,0.012661649245063855,0.025811558474220286,123.0,525.0,1543.0,R,199.30555555555554,high,0.014857842364673413
516782,-0.009963205171571399,0.018210374676720376,147.0,181.0,1188.0,R,162.23780487804876,high,0.014857842364673413
518595,-0.01035177595628417,0.023225409116210294,48.0,183.0,689.0,R,76.05194805194806,high,0.014857842364673413
518692,-0.007372532343693616,-0.037662131415145905,174.0,446.0,1807.0,L,250.33548387096775,high,-0.026253501145267144
518792,0.15393699186991872,-0.03538762821949165,12.0,82.0,869.0,L,20.93617021276596,high,-0.026253501145267144
518934,-0.05556733462615815,0.021886857085375022,51.0,91.0,1460.0,R,65.36619718309859,high,0.014857842364673413
519317,0.0011925412541253788,0.0316014655623274,75.0,202.0,1022.0,R,109.38628158844766,high,0.014857842364673413
521692,-0.09317919443639522,0.006825677363212712,140.0,493.0,1257.0,R,218.07266982622434,high,0.014857842364673413
527038,-0.014837599762268616,0.015027267923716892,151.0,312.0,1285.0,R,203.5075593952484,high,0.014857842364673413
542303,-0.005520575539568362,0.0266922133690638,139.0,450.0,1149.0,R,212.3938879456706,high,0.014857842364673413
542932,-0.03664458874458876,0.018761154930283408,30.0,77.0,466.0,R,43.177570093457945,high,0.014857842364673413
543309,-0.00785081692501044,0.024105972494258276,110.0,217.0,357.0,R,145.99388379204893,medium,0.014857842364673413
543510,0.03111353506920006,0.026359233860810904,49.0,87.0,1031.0,R,62.691176470588246,high,0.014857842364673413
543760,-0.00860491452991452,0.022485431759295682,144.0,390.0,1690.0,R,210.3370786516854,high,0.014857842364673413
543807,-0.0669491557820962,0.017075790156862725,146.0,430.0,1420.0,R,217.98611111111111,high,0.014857842364673413
543877,-0.06913549783549786,0.017455005990149652,60.0,154.0,836.0,R,86.35514018691589,high,0.014857842364673413
545121,-0.0003450226244343657,-0.001084839621643019,52.0,68.0,448.0,L,58.93333333333332,medium,-0.026253501145267144
545341,0.02978831168831164,0.02613301172390925,182.0,110.0,1422.0,R,137.12328767123287,high,0.014857842364673413
545361,-0.061585884988797635,0.014012409787659108,103.0,442.0,1097.0,R,167.0678899082569,high,0.014857842364673413
547180,-0.015603784570596801,-0.042784615605672593,229.0,345.0,1703.0,L,275.2787456445993,high,-0.026253501145267144
553869,-0.03117610484608349,0.025310917502932795,85.0,193.0,765.0,R,118.02158273381295,high,0.014857842364673413
553993,-0.0632359335926646,0.022080111004183667,183.0,472.0,1430.0,R,263.7435114503817,high,0.014857842364673413
570482,0.0041774008050603495,0.01836245549170412,47.0,148.0,785.0,R,71.34358974358975,high,0.014857842364673413
571448,0.03494594824892783,0.021109212272397537,109.0,323.0,1474.0,R,162.99537037037035,high,0.014857842364673413
571657,0.08770001377979883,0.015198574041386026,123.0,177.0,668.0,R,145.14,high,0.014857842364673413
571771,0.0380306122448979,0.026859454215839906,108.0,147.0,1486.0,R,124.51764705882353,high,0.014857842364673413
571912,-0.08517983193277312,0.02117498009640001,17.0,35.0,353.0,R,22.884615384615387,medium,0.014857842364673413
571970,-0.1432937908496732,-0.034721328522015704,80.0,306.0,937.0,L,126.83937823834198,high,-0.026253501145267144
572191,0.02804251918158568,0.022553480477042698,136.0,184.0,991.0,R,156.4,high,0.014857842364673413
572233,-0.013112381208535029,0.020597405901809196,132.0,507.0,907.0,R,209.46478873239437,high,0.014857842364673413
573262,-0.154665016109153,-0.03220985161731471,103.0,449.0,607.0,L,167.56159420289856,high,-0.026253501145267144
575929,0.03636985795978598,0.02001761355482201,143.0,417.0,939.0,R,212.96785714285716,high,0.014857842364673413
578428,0.04607037037037037,0.016808286649957704,135.0,204.0,1030.0,R,162.47787610619469,high,0.014857842364673413
592178,-0.04593131868131867,0.025800369826274594,13.0,28.0,1071.0,R,17.756097560975608,high,0.014857842364673413
592192,0.05956677018633541,0.02186316117246251,69.0,56.0,1324.0,R,61.824,high,0.014857842364673413
592206,-0.006938080331087171,0.019888324209014596,188.0,401.0,1364.0,R,255.98641765704585,high,0.014857842364673413
592450,0.038329279433595986,0.02702205271176772,139.0,504.0,1049.0,R,217.90357698289267,high,0.014857842364673413
592518,0.009119498669032777,0.021138491873488097,184.0,490.0,1565.0,R,267.53709198813056,high,0.014857842364673413
592626,0.1722822966507177,-0.043678408890901355,19.0,286.0,638.0,L,35.632786885245906,high,-0.026253501145267144
592663,-0.06353217817865336,0.020528750226341597,165.0,383.0,1232.0,R,230.63868613138686,high,0.014857842364673413
592669,0.10226839826839826,0.02649941947092882,42.0,66.0,1104.0,R,51.333333333333336,high,0.014857842364673413
592885,-0.0733154847068101,-0.039250553694950396,205.0,433.0,1523.0,L,278.26018808777434,high,-0.026253501145267144
593428,0.022310776942355837,0.02346119359358534,168.0,380.0,1457.0,R,232.99270072992704,high,0.014857842364673413
593871,0.03406359939988257,-0.006637408308119264,113.0,407.0,1210.0,L,176.88846153846154,high,-0.026253501145267144
595777,-0.017520320022656466,0.005339889903513917,107.0,264.0,1063.0,L,152.28032345013477,high,-0.026253501145267144
595879,0.056249579914994574,0.018347344341291705,134.0,302.0,1082.0,R,185.63302752293578,high,0.014857842364673413
595978,0.008602272727272708,0.019460193142128157,88.0,88.0,682.0,R,88.0,high,0.014857842364673413
596019,-0.06805526313484728,0.0037019880909898717,227.0,503.0,1839.0,L,312.82465753424657,high,-0.026253501145267144
596103,0.08009139784946237,0.027209555265307328,93.0,66.0,766.0,R,77.20754716981132,high,0.014857842364673413
596115,-0.005395383880333726,0.021449103516151202,169.0,483.0,1029.0,R,250.38957055214723,high,0.014857842364673413
596142,-0.0968833736884584,0.026168154932993404,42.0,59.0,885.0,R,49.069306930693074,high,0.014857842364673413
596146,-0.031919182473951424,-0.041713794935930915,76.0,394.0,1079.0,L,127.42127659574469,high,-0.026253501145267144
600869,0.12279850746268653,0.005677900148327697,24.0,67.0,930.0,L,35.34065934065934,high,-0.026253501145267144
602104,0.044326317750046584,0.021109898944959238,118.0,273.0,474.0,R,164.7774936061381,high,0.014857842364673413
605137,-0.09687831715210357,-0.013023839613070631,120.0,412.0,1318.0,L,185.86466165413532,high,-0.026253501145267144
605141,0.00405170338405636,0.02215817345624488,185.0,476.0,1510.0,R,266.4447806354009,high,0.014857842364673413
605170,0.005666965352449205,-0.010614847569022812,62.0,324.0,465.0,L,104.08290155440415,high,-0.026253501145267144
606115,0.019872287522603976,0.02094884209174286,56.0,158.0,807.0,R,82.69158878504673,high,0.014857842364673413
606192,0.008888680531878634,0.01910265066400918,126.0,419.0,1006.0,R,193.7394495412844,high,0.014857842364673413
606466,-0.004679279279279247,0.017570130581381516,180.0,370.0,1435.0,L,242.18181818181816,high,-0.026253501145267144
606992,-0.1206276923076923,0.017904717270457504,26.0,50.0,366.0,R,34.21052631578947,medium,0.014857842364673413
607043,-0.014869911193176821,-0.02911728999107549,204.0,446.0,1074.0,L,279.95076923076925,high,-0.026253501145267144
607208,0.016005850727387694,0.026232139289375844,204.0,434.0,1275.0,R,277.5423197492163,high,0.014857842364673413
607732,-0.1345090909090909,0.021473972343995895,40.0,88.0,481.0,R,55.0,high,0.014857842364673413
608070,0.01694588744588743,0.007186461321728288,189.0,462.0,1717.0,L,268.2580645161291,high,-0.026253501145267144
