p_throws,stand,balls,strikes,n_pitchers,n_exact_pitches,n_league_pitches,sampled_ball,sampled_called_strike,sampled_hbp,sampled_in_zone,exact_ball,exact_called_strike,exact_hbp,exact_in_zone,league_ball,league_called_strike,league_hbp,league_in_zone,backoff_exact,backoff_strikes,backoff_stand,backoff_empty,draw_gap_ball,pool_gap_ball,draw_gap_called_strike,pool_gap_called_strike,draw_gap_hbp,pool_gap_hbp,draw_gap_in_zone,pool_gap_in_zone
L,L,0,0,575,127750,693701,0.46738360401961665,0.5285677990603372,0.004048596920046183,0.5411206886131534,0.46769335008881574,0.5278452620230978,0.004461387888086528,0.5386636356567903,0.48553531339504336,0.512086888648188,0.0023777979567686427,0.5103019888972338,5460,1148,292,4,-0.00030974606919909053,-0.017841963306227615,0.0007225370372394568,0.015758373374909818,-0.0004127909680403446,0.002083589931317885,0.002457052956363115,0.028361646759556547
L,L,0,1,575,65306,340710,0.5477722151971633,0.4468456520660158,0.0053821327368209475,0.46089364422175155,0.5493949483779078,0.4461700139375124,0.004435037684579065,0.4537620280622769,0.5683193538891963,0.42821690425577075,0.0034637418550328026,0.4301135863344193,5460,1148,292,4,-0.0016227331807444623,-0.01892440551128849,0.0006756381285034085,0.01795310968174163,0.0009470950522418829,0.000971295829546262,0.007131616159474663,0.023648441727857572
L,L,0,2,575,33844,173472,0.6624152955324971,0.33573588488639333,0.0018488195811094657,0.34442140724576775,0.676540376722751,0.32073911945817757,0.0027205038190715853,0.3263467062279314,0.6798130962184135,0.3162159277346999,0.00397097604688652,0.32298007747648033,5460,1148,292,4,-0.014125081190253908,-0.003272719495662435,0.014996765428215764,0.004523191723477649,-0.0008716842379621196,-0.0012504722278149348,0.01807470101783637,0.0033666287514510507
L,L,1,0,575,49281,281622,0.4540036706422659,0.5417709603733383,0.004225368984395913,0.5592464845163716,0.45075324284493135,0.5458167900233317,0.0034299671317362806,0.5569728500118003,0.4688644955267042,0.5292445231632273,0.0018909813100683904,0.5282222269567008,5460,1148,292,4,0.003250427797334532,-0.018111252681772827,-0.004045829649993449,0.01657226686010438,0.0007954018526596324,0.0015389858216678903,0.002273634504571298,0.028750623055099456
L,L,1,1,575,51170,281543,0.49654184671184765,0.5005473034718517,0.0029108498163006365,0.5143068825053095,0.49901803689810453,0.49697532975616054,0.004006633345734279,0.5065002794633615,0.5203273411850586,0.4768976630835116,0.0027749957314297836,0.47983789332357757,5460,1148,292,4,-0.002476190186256888,-0.0213093042869541,0.003571973715691179,0.02007766667264893,-0.0010957835294336422,0.0012316376143044951,0.007806603041948024,0.026662386139783945
L,L,1,2,575,49279,260646,0.6082766172068119,0.3876319265393466,0.004091456253841592,0.39074892937463246,0.6141970756358164,0.3823727892207447,0.0034301351434419423,0.3901461483193065,0.6281800918860535,0.3681035851665005,0.0037163229474460836,0.37375597553770246,5460,1148,292,4,-0.00592045842900446,-0.013983016250237124,0.005259137318601892,0.0142692040542442,0.0006613211103996498,-0.0002861878040041413,0.0006027810553259627,0.01639017278160404
L,L,2,0,575,16596,99150,0.428922732192467,0.5665372972210896,0.004539970586443407,0.5811364449194089,0.41114875156219355,0.5857460723060548,0.0031051761317525744,0.5967350187479061,0.43221560984784596,0.5662699034220444,0.0015144867301094688,0.5646898638426626,5460,1148,292,4,0.017773980630273467,-0.021066858285652412,-0.019208775084965213,0.01947616888401038,0.0014347944546908324,0.0015906894016431057,-0.015598573828497275,0.03204515490524351
L,L,2,1,575,26200,151014,0.46247460528361395,0.5346307952107796,0.0028945995056063314,0.5557727735862874,0.4391322377491943,0.5577532683524822,0.00311449389832228,0.5708480499969801,0.45581246955951965,0.542384497602105,0.00180303283837543,0.5448766339544678,5460,1148,292,4,0.02334236753441965,-0.016680231810325352,-0.02312247314170257,0.015368770750377125,-0.00021989439271594873,0.00131146105994685,-0.015075276410692728,0.025971416042512296
L,L,2,2,575,41239,229038,0.5209377773997781,0.47474704823562797,0.004315174364593747,0.48516553720400935,0.5262066817847645,0.47043931689857954,0.0033540013166561237,0.48089907262843407,0.5430082841520144,0.4539828008844732,0.003008914963512358,0.45988001990936,5460,1148,292,4,-0.005268904384986395,-0.016801602367249924,0.004307731337048426,0.01645651601410636,0.0009611730479376236,0.0003450863531437656,0.0042664645755752795,0.02101905271907406
L,L,3,0,575,5050,31651,0.3835335696428436,0.6131061919783387,0.003360238378817804,0.6251040762332188,0.37548263073439136,0.6218207394872828,0.002696629778326108,0.6321213080738878,0.3889839966703312,0.6098954051155234,0.0011205982141452935,0.6073425800132697,5460,1148,292,4,0.00805093890845221,-0.013501365935939813,-0.00871454750894407,0.011925334371759355,0.0006636086004916963,0.0015760315641808144,-0.007017231840668936,0.024778728060618094
