balls,strikes,share,sampled_ball,sampled_in_zone,exact_ball,exact_in_zone,league_ball,league_in_zone,draw_gap_ball,pool_gap_ball
0,0,1.0,0.47240319483870286,0.5265775411824062,0.4729143113466233,0.5228395904759231,0.4729448626251732,0.5228186308265471,-0.0005111165079204616,-3.0551278549895144e-05
0,1,1.0,0.5665722505983862,0.4269049631657704,0.5612489173158073,0.4342404717186851,0.5602197559473927,0.43544408181824634,0.005323333282578946,0.0010291613684145773
0,2,1.0,0.6842155904252172,0.3189776112374526,0.6849804240589699,0.3153235639266386,0.6800339547472434,0.3207360923042405,-0.0007648336337526818,0.004946469311726487
1,0,1.0,0.4528625514587918,0.5435398866698267,0.4586061512667887,0.5384137211531143,0.46039421267640945,0.5365262308855481,-0.005743599807996935,-0.0017880614096207337
1,1,1.0,0.5124152626566716,0.4850234565714262,0.5117705590227579,0.4861843932484159,0.5124239825899598,0.4855420612239258,0.000644703633913668,-0.0006534235672018829
1,2,1.0,0.6325176510399286,0.3650626632881332,0.6288911260270944,0.3711069711671029,0.6271384088070191,0.37309907785806085,0.0036265250128342252,0.001752717220075306
2,0,1.0,0.4219638886340177,0.576899275610856,0.41769993044433273,0.5800453109240904,0.42241158404204737,0.5749747998641953,0.0042639581896849466,-0.004711653597714638
2,1,1.0,0.450804879514184,0.5447815924964544,0.4477408602916827,0.550909067906526,0.4496958376352451,0.5487735283065673,0.003064019222501324,-0.001954977343562425
2,2,1.0,0.5394958780152656,0.4637800763246041,0.5413097916990676,0.45907929561501215,0.540866009899769,0.4596803059808894,-0.0018139136838020153,0.00044378179929860373
3,0,1.0,0.37235775848498115,0.625635480391289,0.3720887229214923,0.6272294086324466,0.3799834805692437,0.6193392379886444,0.0002690355634888397,-0.007894757647751383
3,1,1.0,0.3908251152020586,0.6133971660650748,0.38942687181027325,0.61182769866633,0.39359979054018474,0.6072700105481129,0.0013982433917853476,-0.00417291872991149
3,2,1.0,0.42209096982840616,0.5853036071669869,0.43017555217124154,0.5742201153315414,0.4304360073586493,0.5740573735458938,-0.008084582342835378,-0.00026045518740774876
