p_throws,stand,balls,strikes,n_pitchers,take_mass_drawn,take_mass_exact,take_mass_gap,share
L,L,0,0,200,0.7088685484945493,0.7039252578103015,0.004943290684247814,0.07627821345251146
L,L,0,1,200,0.5384527995191162,0.5473913914136699,-0.008938591894553705,0.07627821345251146
L,L,0,2,200,0.5583003055008373,0.5427410076830543,0.01555929781778298,0.07627821345251146
L,L,1,0,200,0.5948655180401557,0.5856165498171446,0.009248968223011134,0.07627821345251146
L,L,1,1,200,0.4776046399192336,0.4901556524300028,-0.012551012510769233,0.07627821345251146
L,L,1,2,200,0.4616031044503719,0.4600534216394876,0.0015496828108843008,0.07627821345251146
L,L,2,0,200,0.582954904090244,0.5763319688657198,0.0066229352245241735,0.07627821345251146
L,L,2,1,200,0.4361555967783807,0.44936807319398575,-0.013212476415605023,0.07627821345251146
L,L,2,2,200,0.39166964425509043,0.3879746215866732,0.0036950226684172582,0.07627821345251146
L,L,3,0,200,0.9431895605617469,0.9476483977096452,-0.004458837147898298,0.07627821345251146
L,L,3,1,200,0.46273862950297645,0.48162187147230506,-0.018883241969328612,0.07627821345251146
L,L,3,2,200,0.32470123476903434,0.31953833378654334,0.005162900982491003,0.07627821345251146
L,R,0,0,200,0.7042336131191452,0.6943506534296906,0.009882959689454629,0.19598160328301992
L,R,0,1,200,0.5207182818370243,0.5248874017941909,-0.004169119957166623,0.19598160328301992
L,R,0,2,200,0.522958731397948,0.521274788500063,0.0016839428978849824,0.19598160328301992
L,R,1,0,200,0.5549632728244158,0.5702577606783688,-0.015294487853952932,0.19598160328301992
L,R,1,1,200,0.4599920102537904,0.4735075594769774,-0.01351554922318704,0.19598160328301992
L,R,1,2,200,0.4638019284725319,0.4479619112297042,0.015840017242827686,0.19598160328301992
L,R,2,0,200,0.5520564522251467,0.5632800418191304,-0.01122358959398373,0.19598160328301992
L,R,2,1,200,0.44573905057960284,0.42573410250061855,0.020004948078984286,0.19598160328301992
L,R,2,2,200,0.40221919197404776,0.3793840406599624,0.022835151314085367,0.19598160328301992
L,R,3,0,200,0.9319770906570848,0.9301653851022013,0.0018117055548835248,0.19598160328301992
L,R,3,1,200,0.45736850583609184,0.45092164175905936,0.006446864077032488,0.19598160328301992
L,R,3,2,200,0.311900313863097,0.31691231150365995,-0.005011997640562926,0.19598160328301992
R,L,0,0,200,0.7213454205797252,0.7075432281740494,0.013802192405675817,0.3358741836954587
R,L,0,1,200,0.5640209088735687,0.5478770481435031,0.016143860730065573,0.3358741836954587
R,L,0,2,200,0.5256400910218276,0.5272731584232939,-0.0016330674014662927,0.3358741836954587
R,L,1,0,200,0.5719280853909943,0.56779708063923,0.004131004751764311,0.3358741836954587
R,L,1,1,200,0.4840508785672546,0.48024596742838777,0.003804911138866829,0.3358741836954587
R,L,1,2,200,0.45251722303697184,0.4590348233204349,-0.006517600283463043,0.3358741836954587
R,L,2,0,200,0.556236343911868,0.5632558980369637,-0.007019554125095695,0.3358741836954587
R,L,2,1,200,0.42105251918561326,0.42277221288452227,-0.0017196936989090084,0.3358741836954587
R,L,2,2,200,0.40102150700639894,0.38521968232983667,0.01580182467656227,0.3358741836954587
R,L,3,0,200,0.9302628724954742,0.930896574211128,-0.0006337017156538005,0.3358741836954587
R,L,3,1,200,0.4475979682476036,0.444847727921444,0.0027502403261596142,0.3358741836954587
R,L,3,2,200,0.3296522126500609,0.3065868065230917,0.023065406126969168,0.3358741836954587
R,R,0,0,200,0.6910543504628064,0.6919426370842592,-0.000888286621452794,0.3918659995690099
R,R,0,1,200,0.5300343176829714,0.5402225354548216,-0.010188217771850194,0.3918659995690099
R,R,0,2,200,0.5660082277362759,0.5351281027665048,0.030880124969771106,0.3918659995690099
R,R,1,0,200,0.5723565281637968,0.5671347654309252,0.00522176273287156,0.3918659995690099
R,R,1,1,200,0.47783119703896354,0.4744090700864748,0.0034221269524887243,0.3918659995690099
R,R,1,2,200,0.4702639883698856,0.4676084276671977,0.002655560702687909,0.3918659995690099
R,R,2,0,200,0.579660672827403,0.5547374534742082,0.024923219353194748,0.3918659995690099
R,R,2,1,200,0.4105049952244119,0.4238774655670774,-0.013372470342665477,0.3918659995690099
R,R,2,2,200,0.4014168346937209,0.3908640255645587,0.010552809129162233,0.3918659995690099
R,R,3,0,200,0.9250859170853325,0.9243372687531455,0.0007486483321870185,0.3918659995690099
R,R,3,1,200,0.4483879538383154,0.4439559269651573,0.004432026873158135,0.3918659995690099
R,R,3,2,200,0.3026640329043987,0.3034820235806132,-0.0008179906762145195,0.3918659995690099
