bin,n_hitters,pa,mean_pred,mean_obs,gap
0,227,18087.0,0.2711864941538556,0.27993044728257865,-0.008743953128723059
1,191,18045.0,0.28808632315764177,0.29159451371571077,-0.003508190558069002
2,144,18085.0,0.29598732681568035,0.2917171136300802,0.004270213185600169
3,120,18135.0,0.3048921526853441,0.30554447201543977,-0.0006523193300956853
4,100,17962.0,0.3132136339201112,0.3040244961585569,0.009189137761554278
5,96,18213.0,0.32119054265391933,0.31076236753966946,0.010428175114249871
6,71,17988.0,0.3287896500327298,0.32797881921280847,0.0008108308199213377
7,73,17864.0,0.33654868021158146,0.327586486789073,0.00896219342250848
8,73,18062.0,0.3474121940248988,0.33473690621193664,0.012675287812962177
9,62,18527.0,0.37139617574896716,0.3591178280347601,0.01227834771420705
