balls,strikes,draw_gap_ball,delta_bb,delta_k
2,0,0.0061334927258811026,0.00018860254225172568,-6.590004871925847e-05
3,0,0.007299444997972974,0.00015270873756065284,-3.722501562475333e-05
3,2,0.00217820204644755,0.00012144878425342231,-0.00012140692881609794
0,1,0.0014387054194851194,2.6464564307729366e-05,-9.975035957593414e-06
1,2,0.0011937083072787384,2.3974712485455574e-05,-0.00012122351660531772
0,2,0.0029122854736225294,2.236018104671833e-05,-0.00018735849816667316
2,1,-0.0008322544186307088,-2.2322521993758948e-05,1.669576225407643e-05
1,1,-0.0029958594480398153,-7.801607178084535e-05,5.5002698240796954e-05
3,1,-0.004254339989415374,-0.00011616882841401777,4.262278324138058e-05
2,2,-0.010043603773866946,-0.0003599796264119465,0.000848390701083751
1,0,-0.012185501724252088,-0.0005211014255431801,0.00034684467144818765
0,0,-0.008200961021302737,-0.0005260553099815796,0.0006678507655684951
