balls,strikes,share,sampled_ball,sampled_in_zone,exact_ball,exact_in_zone,league_ball,league_in_zone,draw_gap_ball,pool_gap_ball
0,0,1.0,0.4652232314912056,0.5303605517394943,0.47342419251250834,0.5223817554669603,0.4734522855783709,0.5223696336624363,-0.008200961021302744,-2.8093065862544453e-05
0,1,1.0,0.5634712719682242,0.4322933824105223,0.5620325665487391,0.4335546142315093,0.5609487728936069,0.4348187841459009,0.001438705419485098,0.0010837936551322258
0,2,1.0,0.6888516817845178,0.3167424053607426,0.6859393963108952,0.3144759483091939,0.6808701888953383,0.32000647468207755,0.0029122854736226556,0.005069207415556831
1,0,1.0,0.4470516766865276,0.5541015577514254,0.45923717841077977,0.5378549074662946,0.46099623894607605,0.536006810571344,-0.012185501724252146,-0.0017590605352962863
1,1,1.0,0.5094827222319533,0.4877081813875659,0.5124785816799932,0.485525922963043,0.5130867802851503,0.48494024956128756,-0.002995859448039817,-0.0006081986051571509
1,2,1.0,0.6308933682957948,0.37341116662414536,0.6296996599885161,0.37034841821759157,0.6278770611448875,0.3724217126545881,0.001193708307278718,0.0018225988436285645
2,0,1.0,0.4242306506261088,0.5714769641756683,0.4180971579002276,0.5797508909762121,0.4227975505916942,0.5747010331327351,0.006133492725881207,-0.004700392691466604
2,1,1.0,0.447521873490529,0.5481281286752,0.44835412790915974,0.5503857439210231,0.450277915931404,0.5482732386379614,-0.0008322544186307179,-0.0019237880222442438
2,2,1.0,0.5320353836011921,0.4697230120096182,0.542078987375059,0.458334394998067,0.5415822568458742,0.45899359272730533,-0.010043603773866927,0.0004967305291847524
3,0,1.0,0.3797182981458619,0.6154831263048997,0.37241885314788886,0.6269274511325268,0.3803064968689524,0.6190450306114281,0.007299444997973026,-0.007887643721063542
3,1,1.0,0.3854066447084063,0.613636204238474,0.3896609846978216,0.611728499453313,0.3938388719507913,0.6071797194889849,-0.004254339989415323,-0.004177887252969692
3,2,1.0,0.43280425584615045,0.5727443585737725,0.430626053799703,0.5737594857862982,0.43087239809481026,0.5736166395109197,0.002178202046447475,-0.0002463442951072814
