take surface shrink alpha 0.3643
classes ('ball', 'called_strike', 'hit_by_pitch')
  count             ball   called_strike    hit_by_pitch
  0-0            0.9317          1.0966          0.6996
  0-1            1.1200          0.6632          1.0086
  0-2            1.0721          0.4338          1.5653
  1-0            0.8889          1.1989          0.6688
  1-1            1.0513          0.8577          0.9429
  1-2            1.0589          0.5760          1.5115
  2-0            0.8066          1.3175          0.6116
  2-1            0.9962          1.0120          0.8430
  2-2            1.0441          0.7398          1.7138
  3-0            0.6745          1.2745          0.3304
  3-1            0.9461          1.0991          0.7651
  3-2            1.0217          0.9030          1.5332
wrote results/model_v1/model_v1_take_count_offsets.json
