stage,config,seed,status,seconds,best_val_loss,reference,best_epoch,lr,warmup_steps,data_dir,finished_at
screen,log,0,ok,873.0,1.07581,1.07581,17,0.001,0,,2026-08-03 23:36
screen,log,1,ok,435.5,1.07582,1.07582,9,0.001,0,,2026-08-03 23:43
screen,rps,0,ok,879.9,0.93410,1.19737,20,0.001,0,,2026-08-03 23:58
screen,rps,1,ok,773.6,0.93360,1.19693,15,0.001,0,,2026-08-04 00:11
early,baseline,0,ok,785.9,1.07581,1.07581,17,0.001,0,,2026-08-04 00:24
early,baseline,1,ok,503.2,1.07582,1.07582,9,0.001,0,,2026-08-04 00:33
early,baseline,2,ok,906.7,1.07630,1.07630,20,0.001,0,,2026-08-04 00:48
early,baseline,3,ok,559.7,1.07624,1.07624,11,0.001,0,,2026-08-04 00:57
early,baseline,4,ok,695.9,1.07534,1.07534,14,0.001,0,,2026-08-04 01:09
presplit,baseline,0,ok,1227.9,1.07581,1.07581,17,0.001,0,,2026-08-04 08:44
presplit,baseline,1,ok,543.5,1.07582,1.07582,9,0.001,0,,2026-08-04 08:53
presplit,baseline,2,ok,1249.6,1.07630,1.07630,20,0.001,0,,2026-08-04 09:14
presplit,baseline,3,ok,1328.5,1.07624,1.07624,11,0.001,0,,2026-08-04 09:36
presplit,baseline,4,ok,1271.4,1.07534,1.07534,14,0.001,0,,2026-08-04 09:58
presplit,dim16,0,ok,903.8,1.07622,1.07622,17,0.001,0,,2026-08-04 10:13
presplit,dim16,1,ok,836.3,1.07666,1.07666,17,0.001,0,,2026-08-04 10:27
presplit,dim16,2,ok,969.5,1.07630,1.07630,20,0.001,0,,2026-08-04 10:43
presplit,dim16,3,ok,717.8,1.07618,1.07618,15,0.001,0,,2026-08-04 10:55
presplit,dim16,4,ok,751.4,1.07632,1.07632,16,0.001,0,,2026-08-04 11:07
presplit,dim64,0,ok,834.0,1.07573,1.07573,17,0.001,0,,2026-08-04 11:21
presplit,dim64,1,ok,510.7,1.07553,1.07553,9,0.001,0,,2026-08-04 11:30
presplit,dim64,2,ok,639.7,1.07563,1.07563,12,0.001,0,,2026-08-04 11:40
presplit,dim64,3,ok,634.7,1.07576,1.07576,11,0.001,0,,2026-08-04 11:51
presplit,dim64,4,ok,666.2,1.07580,1.07580,13,0.001,0,,2026-08-04 12:02
presplit,bilinear,0,ok,763.9,1.07590,1.07590,17,0.001,0,,2026-08-04 12:15
presplit,bilinear,1,ok,478.8,1.07600,1.07600,9,0.001,0,,2026-08-04 12:23
presplit,bilinear,2,ok,705.4,1.07610,1.07610,16,0.001,0,,2026-08-04 12:34
presplit,bilinear,3,ok,558.4,1.07590,1.07590,11,0.001,0,,2026-08-04 12:44
presplit,bilinear,4,ok,1111.5,1.07602,1.07602,11,0.001,0,,2026-08-04 13:02
presplit,meanweight,0,ok,1416.7,9.66974,1.07750,11,0.001,0,,2026-08-04 13:26
presplit,meanweight,1,ok,1071.4,9.66939,1.07716,14,0.001,0,,2026-08-04 13:44
presplit,meanweight,2,ok,1208.7,9.66964,1.07749,12,0.001,0,,2026-08-04 14:04
presplit,meanweight,3,ok,830.9,9.67173,1.07759,14,0.001,0,,2026-08-04 14:18
presplit,meanweight,4,ok,1655.3,9.66833,1.07717,13,0.001,0,,2026-08-04 14:45
presplit,invfreq,0,ok,2506.0,1.03447,1.10640,17,0.001,0,,2026-08-04 15:27
presplit,invfreq,1,ok,1927.1,1.03430,1.10538,13,0.001,0,,2026-08-04 15:59
presplit,invfreq,2,ok,875.0,1.03425,1.10556,12,0.001,0,,2026-08-04 16:14
presplit,invfreq,3,ok,801.1,1.03493,1.10521,11,0.001,0,,2026-08-05 01:16
presplit,invfreq,4,ok,831.8,1.03410,1.10460,15,0.001,0,,2026-08-05 01:30
splithead,baseline,0,ok,1148.0,1.02644,1.02644,17,0.001,0,data/processed/phase_d_split,2026-08-08 17:54
splithead,baseline,1,ok,1099.4,1.02656,1.02656,20,0.001,0,data/processed/phase_d_split,2026-08-08 18:12
splithead,baseline,2,ok,753.9,1.02733,1.02733,17,0.001,0,data/processed/phase_d_split,2026-08-08 18:25
splithead,baseline,3,ok,1073.2,1.02656,1.02656,17,0.001,0,data/processed/phase_d_split,2026-08-08 18:43
splithead,baseline,4,ok,883.0,1.02642,1.02642,13,0.001,0,data/processed/phase_d_split,2026-08-08 18:57
splithead,dim16,0,ok,1032.3,1.02724,1.02724,17,0.001,0,data/processed/phase_d_split,2026-08-08 19:14
splithead,dim16,1,ok,1158.6,1.02746,1.02746,19,0.001,0,data/processed/phase_d_split,2026-08-08 19:34
splithead,dim16,2,ok,1973.6,1.02697,1.02697,25,0.001,0,data/processed/phase_d_split,2026-08-08 20:07
splithead,dim16,3,ok,1130.1,1.02758,1.02758,11,0.001,0,data/processed/phase_d_split,2026-08-08 20:26
splithead,dim16,4,ok,1054.1,1.02733,1.02733,14,0.001,0,data/processed/phase_d_split,2026-08-08 20:43
splithead,dim64,0,ok,1057.8,1.02694,1.02694,17,0.001,0,data/processed/phase_d_split,2026-08-08 21:01
splithead,dim64,1,ok,763.4,1.02675,1.02675,9,0.001,0,data/processed/phase_d_split,2026-08-08 21:13
splithead,dim64,2,ok,938.9,1.02660,1.02660,12,0.001,0,data/processed/phase_d_split,2026-08-08 21:29
splithead,dim64,3,ok,765.9,1.02672,1.02672,11,0.001,0,data/processed/phase_d_split,2026-08-08 21:42
splithead,dim64,4,ok,613.9,1.02677,1.02677,9,0.001,0,data/processed/phase_d_split,2026-08-08 21:52
splithead,bilinear,0,ok,983.7,1.02687,1.02687,17,0.001,0,data/processed/phase_d_split,2026-08-08 22:08
splithead,bilinear,1,ok,828.1,1.02699,1.02699,15,0.001,0,data/processed/phase_d_split,2026-08-08 22:22
splithead,bilinear,2,ok,884.2,1.02691,1.02691,12,0.001,0,data/processed/phase_d_split,2026-08-08 22:37
splithead,bilinear,3,ok,933.9,1.02704,1.02704,15,0.001,0,data/processed/phase_d_split,2026-08-08 22:53
