batter,name,stand,stratum,prior_pa,delta_pred,delta_eb,rank_model,rank_eb,rank_gap,rank_model_pooled,rank_eb_pooled
444482,David Peralta,L,high,846.0,-0.0390624451032118,-0.02903290106673606,180,121,59,504,445
453568,Charlie Blackmon,L,high,1619.0,-0.0282587302444429,-0.008400432949917658,67,54,13,391,378
455117,Martín Maldonado,R,high,880.0,0.0147811563730808,0.04282179345406156,106,3,103,106,3
456781,Donovan Solano,R,high,583.0,0.0177706311705188,0.016535563073671544,34,243,-209,34,255
457705,Andrew Mccutchen,R,high,1282.0,0.0128940354134883,0.03430808746863584,217,23,194,218,26
457759,Justin Turner,R,high,1360.0,0.0113586272452501,0.010161375929692129,262,282,-20,265,312
467793,Carlos Santana,L,high,1624.0,0.0007495026375523,0.0246215216610699,11,8,3,333,87
493329,Yuli Gurriel,R,high,1103.0,0.0117524595823215,0.023894083808961686,252,90,162,255,98
500743,Miguel Rojas,R,high,921.0,0.0192277247242437,0.034608619543126995,20,22,-2,20,24
502054,Tommy Pham,R,high,1084.0,0.0173649788479168,0.017597342401872385,41,233,-192,41,245
502110,J. D. Martinez,R,high,1231.0,0.0175451179483553,0.01637754053317353,36,244,-208,36,256
502671,Paul Goldschmidt,R,high,1250.0,0.0210451423160371,0.032291487583390455,8,32,-24,8,36
514888,José Altuve,R,high,1374.0,0.0195485295236831,0.007807153741147543,18,296,-278,18,328
516782,Starling Marte,R,high,1076.0,0.0133762309527047,0.010695666634565226,204,280,-76,205,310
518595,Travis D'Arnaud,R,high,612.0,0.0166234977408081,0.032164429443914455,55,33,22,55,37
518692,Freddie Freeman,L,high,1584.0,-0.0354402378616547,-0.035105292473826266,139,170,-31,463,494
518735,Yasmani Grandal,L,high,896.0,-0.013356533898206,0.02909334516493156,48,5,43,372,52
518792,Jason Heyward,L,high,847.0,-0.0331031883137186,-0.028491808797219964,99,116,-17,423,440
518934,Dj Lemahieu,R,high,1375.0,0.01596082149544,0.01530887303605899,74,250,-176,74,263
519203,Anthony Rizzo,L,high,1352.0,-0.0307971241118865,0.009541117230209784,79,32,47,403,319
519317,Giancarlo Stanton,R,high,884.0,0.0302215226793,0.01799316331295653,1,227,-226,1,238
521692,Salvador Pérez,R,high,1103.0,0.0083081319855112,0.02135624942425912,309,122,187,314,131
527038,Wilmer Flores,R,high,1178.0,0.0083383731418469,0.013778246864576738,308,264,44,313,281
541645,Avisaíl García,R,high,951.0,0.0077176888132223,0.023572447124782514,314,93,221,319,101
542194,Christian Bethancourt,R,medium,301.0,0.0147373306757622,0.02032048995219171,107,138,-31,107,148
542303,Marcell Ozuna,R,high,987.0,0.0234006369112559,0.0005456217068924851,2,316,-314,2,361
542932,Jon Berti,R,medium,437.0,0.0083809758292862,0.015787838952011857,307,247,60,312,259
