name,stand,stratum,prior_pa,delta_pred,delta_eb,rank_model,rank_eb,rank_gap
Robbie Grossman,R,high,1040.0,-0.0118519492371197,0.05026149620711212,324,1,323
Aaron Judge,R,high,874.0,0.0227150669373257,-0.003917747621277612,1,322,-321
Marcell Ozuna,R,high,987.0,0.0209658574167576,0.0005456217068924851,5,316,-311
Vladimir Guerrero,R,high,624.0,0.0186130302526237,-0.000702943108412124,25,317,-292
Jordan Walker,R,medium,119.0,0.0190260824635036,0.00577363216131177,16,305,-289
José Altuve,R,high,1374.0,0.0199918174685019,0.007807153741147543,9,296,-287
Nick Allen,R,medium,190.0,0.01018918924373,0.04229748332942812,291,5,286
Kyle Farmer,R,high,551.0,0.0094974426172099,0.0364295406131786,300,16,284
Luis Robert,R,medium,322.0,0.0076135625005614,0.030949999822720897,317,41,276
Eloy Jiménez,R,medium,432.0,0.0179159437973637,0.005367687903113705,38,306,-268
Royce Lewis,R,low,65.0,0.0183185332451331,0.007612063762466703,30,297,-267
Chas Mccormick,R,medium,343.0,0.0108887255853086,0.036862575802929065,280,14,266
Pete Alonso,R,high,794.0,0.0180349461832561,0.008171976692724736,36,295,-259
Noelvi Marte,R,low,35.0,0.0201789476056094,0.013488946428150017,8,266,-258
Mauricio Dubón,R,medium,361.0,0.0115862863488137,0.036691296902199855,270,15,255
Yan Gomes,R,high,890.0,0.0107898032717554,0.03263061842601367,282,29,253
James Mccann,R,high,947.0,0.0184492505611648,0.012031028592186854,29,276,-247
Carson Kelly,R,high,483.0,0.0121140728217902,0.0369648839483247,259,13,246
Charles Leblanc,R,low,50.0,0.0203018239810505,0.016117741038639388,7,245,-238
Zach Remillard,R,low,41.0,0.009265022526335,0.02593491952074739,304,70,234
