batter,embedding_index,swing,contact,split_inplay,ev,la,spray
112526,1,0.44814512,0.46279338,0.38625243,79.2854,-0.025377274,8.675363
116338,2,0.5378906,0.6716443,0.40509915,84.171265,12.29697,3.8225172
120074,3,0.4855148,0.6628112,0.41914096,86.86514,13.85964,8.528266
121347,4,0.45152456,0.5907636,0.39193043,84.95717,8.684098,4.5319815
133380,5,0.5496864,0.7132053,0.41299954,83.24397,17.677248,4.9878607
134181,6,0.49487507,0.7154112,0.4511676,84.882965,11.901625,4.531336
136860,7,0.48735768,0.7004663,0.42854345,83.78084,10.362809,10.042976
150029,8,0.38465673,0.664652,0.4194828,84.66099,14.560903,3.2558234
150212,9,0.5009174,0.64720994,0.40485087,82.892426,9.288948,3.4954
150229,10,0.61328435,0.763054,0.46385133,83.12202,8.238038,2.8861144
150359,11,0.41429034,0.50316185,0.3559671,77.69376,-1.8659277,4.8327847
217100,12,0.5362288,0.6729295,0.3919937,80.05628,14.243196,-0.6396196
276519,13,0.43122333,0.6648419,0.39429024,80.12888,15.194305,11.11158
285078,14,0.5740629,0.632094,0.42322075,82.21862,9.924786,8.488951
285079,15,0.69512266,0.80155224,0.4194144,73.574776,-0.34542328,-7.3343077
346874,16,0.5507523,0.6609077,0.3888954,82.95804,11.757305,1.0956563
400085,17,0.45051453,0.7567686,0.47737974,80.00576,3.5272899,-0.9144565
400121,18,0.48785976,0.73572093,0.4365915,84.003624,13.307691,4.955502
400284,19,0.42631245,0.70608425,0.46008715,81.85054,9.435113,4.150666
405395,20,0.48395312,0.7325128,0.4536107,84.90492,13.330465,8.805616
407781,21,0.61640966,0.62030494,0.3434675,83.47678,13.325125,2.0218897
407793,22,0.47773317,0.5323559,0.36717647,80.33942,2.2700055,2.6757734
407812,23,0.49858958,0.6727627,0.38828295,87.327095,9.587699,-2.5719573
407822,24,0.54795676,0.58309835,0.34235463,74.832535,-2.6642983,-11.7309065
407862,25,0.47701797,0.73192346,0.4005063,82.71881,17.247108,-2.908893
407893,26,0.46023563,0.65787697,0.39256245,82.67292,8.510278,13.599707
408042,27,0.45176503,0.7431789,0.378819,76.699196,19.967796,-1.545325
