anchor,anchor_name,method,rank,batter,name,stand,stratum,log_prior_pa,woba_level,obs_platoon_diff,similarity_or_distance
545361,Mike Trout,embedding,1,553993,Eugenio Suárez,R,high,8.52456594574565,0.3404833200953137,0.0338248935445409,0.6274954676628113
545361,Mike Trout,embedding,2,518755,Matt Hague,R,low,2.70805020110221,0.3159285714285714,0.2707916666666666,0.5688605904579163
545361,Mike Trout,embedding,3,596847,Ji Man Choi,L,medium,7.513709247839705,0.3294825327510917,0.0822525481141677,0.5473282933235168
545361,Mike Trout,embedding,4,624413,Pete Alonso,R,high,7.963807953231451,0.3630125260960334,-0.0053232234547568,0.5455146431922913
545361,Mike Trout,embedding,5,663697,Jonathan India,R,medium,7.370860166536716,0.3377153652392947,-0.0166007024332967,0.5349850058555603
545361,Mike Trout,embedding,6,523253,Logan Forsythe,R,high,7.798933310041217,0.3158153467377924,0.0214175558978668,0.5288293361663818
545361,Mike Trout,embedding,7,457708,Justin Upton,R,high,8.10832229017324,0.3367982535380909,-0.0201988462289671,0.511902391910553
545361,Mike Trout,embedding,8,457706,Austin Jackson,R,high,7.256297239690681,0.3099364406779661,0.0260388673678035,0.5062050819396973
545361,Mike Trout,stats,1,502671,Paul Goldschmidt,R,high,8.629628620746026,0.3845861637468716,0.0576236552486187,2.087045864749067
545361,Mike Trout,stats,2,670541,Yordan Álvarez,L,high,7.607381425639791,0.4079184890656063,0.0157726924967409,2.10256892807666
545361,Mike Trout,stats,3,665742,Juan Soto,L,high,8.104099056143582,0.3999860901118838,0.0598193585896473,2.408894429937299
545361,Mike Trout,stats,4,656248,Sean Bouchard,R,low,4.948759890378168,0.4217785714285714,0.0069313658201784,2.4637049429119293
545361,Mike Trout,stats,5,605141,Mookie Betts,R,high,8.614501373883236,0.3817313974591652,0.009832459045584,2.4873798198966264
545361,Mike Trout,stats,6,430832,José Bautista,R,high,7.72356247227797,0.34114203539823,-0.0290455276519829,2.5264052233454626
545361,Mike Trout,stats,7,671213,Triston Casas,L,medium,6.39024066706535,0.3636268907563025,0.0224620663362561,2.624797578066254
545361,Mike Trout,stats,8,656555,Rhys Hoskins,R,high,7.96032362914884,0.3605062849162011,0.0414125684837916,2.636302045506761
665742,Juan Soto,embedding,1,668904,Royce Lewis,R,low,5.638354669333745,0.3894857142857142,-0.0354747763864043,0.6174145340919495
665742,Juan Soto,embedding,2,682626,Francisco Álvarez,R,medium,6.082218910376446,0.3105903890160183,-0.0711763157894737,0.5886269807815552
665742,Juan Soto,embedding,3,547379,Roberto Pérez,R,high,7.404279118037268,0.2871638246041412,0.0622713020090925,0.5388385057449341
665742,Juan Soto,embedding,4,431145,Russell Martin,R,high,7.601901959875166,0.3206111944027986,0.012572018584727,0.5302284359931946
665742,Juan Soto,embedding,5,571970,Max Muncy,L,high,8.09559870137819,0.3526672766087221,0.0081971537510482,0.5175302028656006
665742,Juan Soto,embedding,6,661388,William Contreras,R,medium,7.071573364211532,0.353339847068819,0.1061911846934678,0.5023213624954224
665742,Juan Soto,embedding,7,641470,Zack Collins,L,low,6.135564891081739,0.2810889370932755,0.0534809847015729,0.48761120438575745
665742,Juan Soto,embedding,8,120074,David Ortiz,L,medium,7.098375638590786,0.3991414392059553,0.0912228665521191,0.48271602392196655
665742,Juan Soto,stats,1,663457,Lars Nootbaar,L,medium,6.876264611890766,0.3399245867768595,0.0240997064220183,1.9215941196083668
665742,Juan Soto,stats,2,502054,Tommy Pham,R,high,8.264878262801748,0.3405607621009269,0.0270980838165524,1.9539369637541861
665742,Juan Soto,stats,3,673548,Seiya Suzuki,R,medium,6.931471805599453,0.3479990224828934,0.0185918024767148,2.0711773184546427
665742,Juan Soto,stats,4,607043,Brandon Nimmo,L,high,8.018954683155718,0.361577872900889,0.0293967603483397,2.0744651054723304
665742,Juan Soto,stats,5,592885,Christian Yelich,L,high,8.534443544822764,0.3654201730239874,0.0411494673586451,2.2856834879132593
665742,Juan Soto,stats,6,545361,Mike Trout,R,high,8.34924780056679,0.4224439185991481,-0.0272743619175437,2.408894429937299
665742,Juan Soto,stats,7,425783,Shin-Soo Choo,L,high,7.98514393119862,0.3502431880108992,0.0497234747250227,2.4944264513704164
665742,Juan Soto,stats,8,666397,Edouard Julien,L,low,6.0112671744041615,0.366046683046683,0.185886025998143,2.497426623501456
592626,Joc Pederson,embedding,1,444432,Mark Trumbo,R,high,7.697575346802343,0.3264595821980018,-0.0134610790107799,0.614790678024292
592626,Joc Pederson,embedding,2,650391,Eloy Jiménez,R,medium,7.4821189235521155,0.343592676056338,-0.0235209040015443,0.5696748495101929
592626,Joc Pederson,embedding,3,571506,Justin Bour,L,medium,7.519149957669823,0.3381438653637351,0.0725087947741745,0.5553756952285767
592626,Joc Pederson,embedding,4,594953,Daniel Palka,L,low,6.29156913955832,0.3023283858998145,0.078986349509921,0.5386292934417725
592626,Joc Pederson,embedding,5,642133,Rowdy Tellez,L,medium,7.531552381407289,0.3174375335120643,0.0205206654569813,0.5147862434387207
592626,Joc Pederson,embedding,6,475582,Ryan Zimmerman,R,high,7.703910209616312,0.3338289711191335,0.0915922975235745,0.505873441696167
592626,Joc Pederson,embedding,7,656941,Kyle Schwarber,L,high,8.27664912542186,0.3520921119592875,0.0573357716982523,0.5029621124267578
592626,Joc Pederson,embedding,8,656541,Sam Hilliard,L,medium,6.5722825426940075,0.306750700280112,0.0164247921390778,0.4979250431060791
592626,Joc Pederson,stats,1,518626,Josh Donaldson,R,high,8.330140460246382,0.367870477568741,0.0214097522555283,1.0936086719891451
592626,Joc Pederson,stats,2,683002,Gunnar Henderson,L,medium,6.6240652277998935,0.3453736702127659,0.1052795702911379,1.190023119478939
592626,Joc Pederson,stats,3,669221,Sean Murphy,R,high,7.436027816351848,0.3380731563421829,7.796420935113346e-05,1.2546752228714804
592626,Joc Pederson,stats,4,571745,Mitch Haniger,R,high,7.884576510596324,0.3390331450094162,0.0217682324115326,1.2655753599544883
592626,Joc Pederson,stats,5,121347,Alex Rodriguez,R,medium,6.755768921984255,0.3318333333333333,0.033937520823249,1.3061237754825503
592626,Joc Pederson,stats,6,519048,Mitch Moreland,L,high,7.928766321626696,0.3292003603603603,0.0386502360889485,1.3360222209339778
592626,Joc Pederson,stats,7,642133,Rowdy Tellez,L,medium,7.531552381407289,0.3174375335120643,0.0205206654569813,1.3583457752932036
592626,Joc Pederson,stats,8,624585,Jorge Soler,R,high,8.116417072794205,0.3382514934289127,0.0374588423270497,1.3834346561327278
594807,Adam Duvall,embedding,1,687952,Christian Encarnacion-Strand,R,low,5.488937726156687,0.3462821576763485,-0.0531693370165745,0.6061089038848877
594807,Adam Duvall,embedding,2,664119,Austin Allen,L,low,4.8283137373023015,0.2279435483870967,0.1154180451127819,0.598473072052002
594807,Adam Duvall,embedding,3,425549,Clint Barmes,R,low,5.393627546352362,0.2747534246575342,0.0269293233082706,0.5958120822906494
594807,Adam Duvall,embedding,4,680777,Ryan Jeffers,R,medium,6.825460036255307,0.3213152173913043,0.0585160333067588,0.5890991687774658
594807,Adam Duvall,embedding,5,571431,Matt Adams,L,medium,7.396335293800808,0.3184235727440147,0.043072707229778,0.5739520788192749
594807,Adam Duvall,embedding,6,665804,Miguel Amaya,R,low,5.049856007249537,0.3103935483870967,0.0095494505494505,0.5517222881317139
594807,Adam Duvall,embedding,7,467143,Héctor Gómez,R,low,4.890349128221754,0.2310227272727272,0.0455454545454545,0.5461639165878296
594807,Adam Duvall,embedding,8,592669,Hunter Renfroe,R,high,8.07837810362652,0.3283478125969594,0.0484781254412213,0.5458414554595947
594807,Adam Duvall,stats,1,600524,Renato Núñez,R,medium,7.057897937411856,0.3222403100775193,-0.0115844865937637,1.327721268568958
594807,Adam Duvall,stats,2,571431,Matt Adams,L,medium,7.396335293800808,0.3184235727440147,0.043072707229778,1.5037524127044426
594807,Adam Duvall,stats,3,662139,Daulton Varsho,L,medium,7.374629015218945,0.3091405269761605,0.0333235285658978,1.5185653926713374
594807,Adam Duvall,stats,4,621438,Tyrone Taylor,R,medium,6.879355804460439,0.3191668383110195,0.0061356817637191,1.5304474469558913
594807,Adam Duvall,stats,5,592669,Hunter Renfroe,R,high,8.07837810362652,0.3283478125969594,0.0484781254412213,1.5627997095428967
594807,Adam Duvall,stats,6,621514,Christin Stewart,L,low,6.369900982828227,0.2896963979416809,-0.0021242877067144,1.5724864379784207
594807,Adam Duvall,stats,7,596059,Rougned Odor,L,high,8.291045131081729,0.3032738901429646,0.0089784803400637,1.5746391836916322
594807,Adam Duvall,stats,8,657557,Paul Dejong,R,high,7.939515260662406,0.3070795008912655,-0.0219404595407476,1.6194768743176602
656941,Kyle Schwarber,embedding,1,680777,Ryan Jeffers,R,medium,6.825460036255307,0.3213152173913043,0.0585160333067588,0.5339764356613159
656941,Kyle Schwarber,embedding,2,664247,Kyle Garlick,R,medium,5.926926025970411,0.3048395721925134,0.0652512945124244,0.5220000743865967
656941,Kyle Schwarber,embedding,3,435063,Mike Napoli,R,high,7.372118028337787,0.3241119496855346,0.051473228663446,0.5108361840248108
656941,Kyle Schwarber,embedding,4,592626,Joc Pederson,L,high,8.239857411018601,0.3427663674762407,0.0767776992817615,0.5029621124267578
656941,Kyle Schwarber,embedding,5,519317,Giancarlo Stanton,R,high,8.231908243564177,0.3613661522086215,0.0538614501365022,0.4892653226852417
656941,Kyle Schwarber,embedding,6,596129,Dan Vogelbach,L,medium,7.534762657037537,0.3294371993586317,0.1337612679098567,0.48347342014312744
656941,Kyle Schwarber,embedding,7,628356,Jung Ho Kang,R,medium,6.93537044601511,0.3422648490749757,-0.0659862186325307,0.4793148934841156
656941,Kyle Schwarber,embedding,8,596142,Gary Sánchez,R,high,7.980707820869669,0.3305696202531645,0.0094675868597111,0.4788687229156494
656941,Kyle Schwarber,stats,1,624585,Jorge Soler,R,high,8.116417072794205,0.3382514934289127,0.0374588423270497,1.3529964149208535
656941,Kyle Schwarber,stats,2,656305,Matt Chapman,R,high,8.185071477532283,0.3383806469604015,0.010710110077249,1.4606148822828564
656941,Kyle Schwarber,stats,3,592626,Joc Pederson,L,high,8.239857411018601,0.3427663674762407,0.0767776992817615,1.4865910511581986
656941,Kyle Schwarber,stats,4,518626,Josh Donaldson,R,high,8.330140460246382,0.367870477568741,0.0214097522555283,1.5300656291646333
656941,Kyle Schwarber,stats,5,596142,Gary Sánchez,R,high,7.980707820869669,0.3305696202531645,0.0094675868597111,1.5465108224857103
656941,Kyle Schwarber,stats,6,430832,José Bautista,R,high,7.72356247227797,0.34114203539823,-0.0290455276519829,1.6522242178986368
656941,Kyle Schwarber,stats,7,671213,Triston Casas,L,medium,6.39024066706535,0.3636268907563025,0.0224620663362561,1.658990234539737
656941,Kyle Schwarber,stats,8,669261,Jack Suwinski,L,medium,6.806829360392176,0.3289767441860465,0.0999918443696221,1.6667458689519692
