component,explained_variance_ratio,cumulative_explained_variance
1,0.07828851782843074,0.07828851782843074
2,0.07357509124910971,0.15186360907754046
3,0.06684759558084294,0.2187112046583834
4,0.06153131878813576,0.2802425234465192
5,0.056566112854727506,0.3368086363012467
6,0.04817697576932292,0.3849856120705696
7,0.04468450123983667,0.4296701133104063
8,0.0411505173274007,0.470820630637807
9,0.03735717394723092,0.5081778045850379
10,0.03568735671673511,0.543865161301773
11,0.03194122510618317,0.5758063864079561
12,0.029145762829051645,0.6049521492370078
13,0.027817367082113742,0.6327695163191216
14,0.026274681034251866,0.6590441973533735
15,0.025247974677259914,0.6842921720306334
16,0.02468869616782038,0.7089808681984537
17,0.024435709185685314,0.733416577384139
18,0.023100226252655995,0.756516803636795
19,0.022834777989024984,0.77935158162582
20,0.021675580401683492,0.8010271620275035
21,0.020836467104224963,0.8218636291317284
22,0.020376723193257843,0.8422403523249863
23,0.019916755738493316,0.8621571080634796
24,0.01854706459198261,0.8807041726554622
25,0.018016976435078318,0.8987211490905405
26,0.0173102218541543,0.9160313709446948
27,0.015765036111952267,0.931796407056647
28,0.014828140299250442,0.9466245473558974
29,0.014228224729085318,0.9608527720849828
30,0.013878611048364485,0.9747313831333473
31,0.013348384020985893,0.9880797671543332
32,0.011920232845666706,0.9999999999999999
