batter,stand,stratum,dim,gradient
457705,R,high,0,0.00027754535251290046
467793,L,high,0,0.0025189561146589964
502671,R,high,0,-0.0022173350579377036
545121,L,medium,0,0.0002937562392788762
545361,R,high,0,-0.0002928897022763122
571745,R,high,0,-0.0016129822551126279
592325,L,high,0,0.001311985658920707
592626,L,high,0,-0.0018885413158527015
593871,L,high,0,-0.0007606050161192
595978,R,high,0,-0.0006599781564863221
605131,R,high,0,0.000281355391637672
605170,L,medium,0,0.00013106826373230772
605346,R,low,0,0.0007173316726558462
608336,L,high,0,-0.0011675065504443626
624428,L,high,0,0.0006397063635512531
650859,L,high,0,-0.003091619175565627
656555,R,high,0,-0.00035921710320876754
656941,L,high,0,-0.0002870742660376504
660707,R,medium,0,0.0007478109734574128
662139,L,medium,0,0.0006043399364606396
664761,R,high,0,0.000230711841845781
665742,L,high,0,0.0008066165251851493
665926,L,medium,0,-0.0005057805730813062
667472,R,low,0,-0.0005857936168642671
668709,L,medium,0,0.0010927928382231653
669289,R,medium,0,0.0015342730609072088
669394,R,medium,0,-0.002249771490571702
676113,L,low,0,0.0
677347,R,low,0,0.000870507677835954
680474,R,low,0,0.0
680718,L,low,0,0.0
680776,L,medium,0,-0.00029571223692500805
680869,R,low,0,-0.0007066786853680264
681146,R,low,0,-7.189701728073065e-05
682177,L,low,0,0.0
682626,R,medium,0,-0.0024538271622801975
686527,L,low,0,0.0018045131240422793
686894,R,medium,0,-0.0012514624402744055
691718,L,low,0,0.0023152297062631597
700250,L,low,0,0.0
457705,R,high,1,-0.001127931121610225
467793,L,high,1,-0.0006397532220408528
502671,R,high,1,0.00020402383462023163
545121,L,medium,1,-0.0007755822860167744
545361,R,high,1,0.0005393223352451526
571745,R,high,1,0.00016055133222011902
592325,L,high,1,0.0022500004134176294
592626,L,high,1,0.001238303047054714
593871,L,high,1,0.0005761678093773842
595978,R,high,1,0.0032243752053655946
605131,R,high,1,0.0003573850360644969
605170,L,medium,1,-0.0006791416199457402
605346,R,low,1,0.003300734834996792
608336,L,high,1,0.0017554194291230889
624428,L,high,1,0.002487744591642151
650859,L,high,1,0.0011539412572015612
656555,R,high,1,0.0011908732365742986
656941,L,high,1,0.0009410701248659763
660707,R,medium,1,0.00143068094160385
662139,L,medium,1,0.0011235348547625158
664761,R,high,1,0.0019820648376465176
665742,L,high,1,0.000918293958854217
665926,L,medium,1,0.002249680317120313
667472,R,low,1,0.001473607238520236
668709,L,medium,1,0.0025766022343685618
669289,R,medium,1,0.0020554466940248275
669394,R,medium,1,0.0017193142518197669
676113,L,low,1,0.0
677347,R,low,1,0.0005985832132892833
680474,R,low,1,0.0
680718,L,low,1,0.0
680776,L,medium,1,0.0006895037515991428
680869,R,low,1,0.002369287938475334
681146,R,low,1,0.0011883371717103005
682177,L,low,1,0.0
682626,R,medium,1,0.0005721887656215752
686527,L,low,1,0.00387324675258578
686894,R,medium,1,-0.0016729009342980553
691718,L,low,1,0.0035234564828821686
700250,L,low,1,0.0
457705,R,high,2,-4.0060399565757426e-05
467793,L,high,2,0.0015804735615599405
502671,R,high,2,-0.001387778588427686
545121,L,medium,2,-0.0013498231745936917
545361,R,high,2,-0.0012130298033707068
571745,R,high,2,0.001642325914000213
592325,L,high,2,-0.001995765093867603
592626,L,high,2,-0.001454181622240785
593871,L,high,2,-0.0025009526190460816
595978,R,high,2,-0.00020692169346090862
605131,R,high,2,-9.17471891036776e-05
605170,L,medium,2,-0.0036862921861660646
