anchor,anchor_name,p_throws,quantity,anchor_value,league_value,delta
545361,Mike Trout,L,p_swing,0.39120013089076366,0.46520168858003436,-0.07400155768927069
545361,Mike Trout,L,p_contact,0.6610243854690739,0.6352121864257038,0.025812199043370176
545361,Mike Trout,L,q,0.4048396146418527,0.3176526807905659,0.08718693385128679
665742,Juan Soto,L,p_swing,0.43338731818001713,0.46520168858003436,-0.03181437040001722
665742,Juan Soto,L,p_contact,0.6315944466172403,0.6352121864257038,-0.0036177398084634715
665742,Juan Soto,L,q,0.3795059922424145,0.3176526807905659,0.06185331145184858
592626,Joc Pederson,L,p_swing,0.47772647077616787,0.46520168858003436,0.01252478219613351
592626,Joc Pederson,L,p_contact,0.6626860205692641,0.6352121864257038,0.027473834143560305
592626,Joc Pederson,L,q,0.37882022216226907,0.3176526807905659,0.06116754137170316
664761,Alec Bohm,L,p_swing,0.4823373533340311,0.46520168858003436,0.01713566475399675
664761,Alec Bohm,L,p_contact,0.7084699804102523,0.6352121864257038,0.07325779398454857
664761,Alec Bohm,L,q,0.3670292502654716,0.3176526807905659,0.04937656947490571
656941,Kyle Schwarber,L,p_swing,0.4351114913271047,0.46520168858003436,-0.030090197252929662
656941,Kyle Schwarber,L,p_contact,0.6147936111743337,0.6352121864257038,-0.02041857525137003
656941,Kyle Schwarber,L,q,0.39773683742219584,0.3176526807905659,0.08008415663162993
545361,Mike Trout,R,p_swing,0.4127694668462942,0.4646505670085988,-0.05188110016230463
545361,Mike Trout,R,p_contact,0.6733657592152001,0.6336177987879921,0.03974796042720807
545361,Mike Trout,R,q,0.4176102156680077,0.3141747660737326,0.10343544959427509
665742,Juan Soto,R,p_swing,0.38801605610068535,0.4646505670085988,-0.07663451090791346
665742,Juan Soto,R,p_contact,0.6119510992449922,0.6336177987879921,-0.021666699542999823
665742,Juan Soto,R,q,0.35878209723457694,0.3141747660737326,0.04460733116084431
592626,Joc Pederson,R,p_swing,0.46885491046009564,0.4646505670085988,0.004204343451496839
592626,Joc Pederson,R,p_contact,0.6476047675872887,0.6336177987879921,0.013986968799296617
592626,Joc Pederson,R,q,0.37220469769667835,0.3141747660737326,0.05802993162294573
664761,Alec Bohm,R,p_swing,0.4993465535578895,0.4646505670085988,0.03469598654929068
664761,Alec Bohm,R,p_contact,0.7104924063809194,0.6336177987879921,0.0768746075929273
664761,Alec Bohm,R,q,0.36179505601581186,0.3141747660737326,0.04762028994207923
656941,Kyle Schwarber,R,p_swing,0.4250040568538994,0.4646505670085988,-0.03964651015469939
656941,Kyle Schwarber,R,p_contact,0.6085052797458886,0.6336177987879921,-0.02511251904210343
656941,Kyle Schwarber,R,q,0.3929716658635065,0.3141747660737326,0.07879689978977389
