anchor,anchor_name,p_throws,pitch_type,balls,strikes,n_pitches,quantity,anchor_value,league_value,delta
545361,Mike Trout,L,breaking,0,0,2627,p_swing,0.11349329392353905,0.22531867239748124,-0.1118253784739422
545361,Mike Trout,L,breaking,0,0,2627,p_contact,0.6409376497568826,0.5879152442454931,0.05302240551138948
545361,Mike Trout,L,breaking,0,0,2627,q,0.37150353163503447,0.29396990104183857,0.0775336305931959
545361,Mike Trout,L,breaking,0,1,1486,p_swing,0.4038125256201223,0.47064572644267705,-0.06683320082255473
545361,Mike Trout,L,breaking,0,1,1486,p_contact,0.564485155806445,0.5273843933982294,0.03710076240821558
545361,Mike Trout,L,breaking,0,1,1486,q,0.36916222587769315,0.2751974076788727,0.09396481819882047
545361,Mike Trout,L,breaking,0,2,1000,p_swing,0.4544996778071084,0.524322003954447,-0.06982232614733852
545361,Mike Trout,L,breaking,0,2,1000,p_contact,0.4957939175740139,0.4735956523483948,0.02219826522561913
545361,Mike Trout,L,breaking,0,2,1000,q,0.3408749772906303,0.25644815241832286,0.08442682487230746
545361,Mike Trout,L,breaking,1,0,788,p_swing,0.22651505421107138,0.34421357376716005,-0.11769851955608868
545361,Mike Trout,L,breaking,1,0,788,p_contact,0.6147702740587602,0.5612089460853708,0.05356132797338942
545361,Mike Trout,L,breaking,1,0,788,q,0.37971498724545927,0.29257275844541225,0.08714222880004702
545361,Mike Trout,L,breaking,1,1,1113,p_swing,0.45986865924695564,0.52037666008071,-0.060508000833754405
545361,Mike Trout,L,breaking,1,1,1113,p_contact,0.6119144185550398,0.5751498681913506,0.0367645503636892
545361,Mike Trout,L,breaking,1,1,1113,q,0.39751169648480006,0.2919981128226393,0.10551358366216074
545361,Mike Trout,L,breaking,1,2,1372,p_swing,0.5093530792973524,0.5790171627394397,-0.0696640834420873
545361,Mike Trout,L,breaking,1,2,1372,p_contact,0.5356329443135434,0.512357746259754,0.023275198053789303
545361,Mike Trout,L,breaking,1,2,1372,q,0.35618244188650355,0.26563338120386504,0.09054906068263852
545361,Mike Trout,L,breaking,2,0,166,p_swing,0.23025126860274356,0.3395736340117574,-0.10932236540901383
545361,Mike Trout,L,breaking,2,0,166,p_contact,0.6537607586683133,0.6050390762712311,0.04872168239708219
545361,Mike Trout,L,breaking,2,0,166,q,0.40044121848172454,0.31161816481096916,0.08882305367075538
545361,Mike Trout,L,breaking,2,1,411,p_swing,0.49772732630728517,0.5506326597344159,-0.05290533342713072
545361,Mike Trout,L,breaking,2,1,411,p_contact,0.6237370985686307,0.5861016248303592,0.037635473738271474
545361,Mike Trout,L,breaking,2,1,411,q,0.4076587721306622,0.3044241486716372,0.10323462345902501
545361,Mike Trout,L,breaking,2,2,997,p_swing,0.6037954666303946,0.6655285208214191,-0.06173305419102448
545361,Mike Trout,L,breaking,2,2,997,p_contact,0.6321819206207153,0.6052555082104386,0.026926412410276712
545361,Mike Trout,L,breaking,2,2,997,q,0.3902841748570726,0.29112329682505267,0.09916087803201995
545361,Mike Trout,L,breaking,3,0,9,p_swing,0.007267275165456037,0.026019872844548094,-0.018752597679092056
545361,Mike Trout,L,breaking,3,0,9,p_contact,0.6747367348935869,0.5933510976990996,0.08138563719448733
545361,Mike Trout,L,breaking,3,0,9,q,0.3128155320882797,0.2731869236214293,0.0396286084668504
545361,Mike Trout,L,breaking,3,1,75,p_swing,0.3815110317705573,0.4402869870008743,-0.058775955230317034
545361,Mike Trout,L,breaking,3,1,75,p_contact,0.6510803440349021,0.5770284278662979,0.07405191616860418
545361,Mike Trout,L,breaking,3,1,75,q,0.393241363465786,0.29972677584886553,0.09351458761692044
545361,Mike Trout,L,breaking,3,2,407,p_swing,0.6418005419961079,0.694407628801885,-0.05260708680577708
545361,Mike Trout,L,breaking,3,2,407,p_contact,0.6876587817206274,0.6527874620821524,0.03487131963847501
545361,Mike Trout,L,breaking,3,2,407,q,0.39848826681000593,0.30599317302437684,0.09249509378562909
545361,Mike Trout,L,fastball,0,0,6576,p_swing,0.19055078944620965,0.2726451091157772,-0.08209431966956757
545361,Mike Trout,L,fastball,0,0,6576,p_contact,0.7708059710907404,0.7083893545888982,0.06241661650184227
545361,Mike Trout,L,fastball,0,0,6576,q,0.4287949788266308,0.3310158227702179,0.09777915605641291
545361,Mike Trout,L,fastball,0,1,2811,p_swing,0.41704509054508876,0.4799987166700863,-0.06295362612499755
545361,Mike Trout,L,fastball,0,1,2811,p_contact,0.7155005486975021,0.6838459342304292,0.03165461446707296
545361,Mike Trout,L,fastball,0,1,2811,q,0.3867851918896548,0.3087612368043198,0.078023955085335
545361,Mike Trout,L,fastball,0,2,1320,p_swing,0.35623741970570494,0.4903662169565669,-0.13412879725086196
545361,Mike Trout,L,fastball,0,2,1320,p_contact,0.6412988967885295,0.6445037837443601,-0.0032048869558306547
545361,Mike Trout,L,fastball,0,2,1320,q,0.34359749972707393,0.2951189918459506,0.048478507881123345
545361,Mike Trout,L,fastball,1,0,2463,p_swing,0.3817616499486375,0.42989379204137784,-0.04813214209274036
545361,Mike Trout,L,fastball,1,0,2463,p_contact,0.7668157996768808,0.7219112371203588,0.04490456255652209
545361,Mike Trout,L,fastball,1,0,2463,q,0.4496890355387065,0.33890090056178146,0.11078813497692502
545361,Mike Trout,L,fastball,1,1,2288,p_swing,0.49318151062087734,0.5457291598181925,-0.05254764919731514
545361,Mike Trout,L,fastball,1,1,2288,p_contact,0.7421373447026895,0.7139062576619684,0.028231087040721192
545361,Mike Trout,L,fastball,1,1,2288,q,0.41279849658518303,0.3234762899289103,0.08932220665627272
545361,Mike Trout,L,fastball,1,2,1906,p_swing,0.45453442771179614,0.5709157039039364,-0.11638127619214028
545361,Mike Trout,L,fastball,1,2,1906,p_contact,0.6885206757319012,0.6833614871557974,0.005159188576103868
545361,Mike Trout,L,fastball,1,2,1906,q,0.36434571387134845,0.303929672492756,0.06041604137859247
545361,Mike Trout,L,fastball,2,0,1066,p_swing,0.3989415500927779,0.418259970275048,-0.019318420182270146
545361,Mike Trout,L,fastball,2,0,1066,p_contact,0.7725380773264671,0.7294438052966206,0.0430942720298465
545361,Mike Trout,L,fastball,2,0,1066,q,0.4654612319708206,0.34793170709456495,0.11752952487625568
545361,Mike Trout,L,fastball,2,1,1350,p_swing,0.5826418223879459,0.5982486775038485,-0.01560685511590254
545361,Mike Trout,L,fastball,2,1,1350,p_contact,0.7691691253981036,0.7465004725784956,0.02266865281960795
545361,Mike Trout,L,fastball,2,1,1350,q,0.4555263151393996,0.344708575528253,0.1108177396111466
545361,Mike Trout,L,fastball,2,2,1740,p_swing,0.5638841052987902,0.6506654248659574,-0.08678131956716717
545361,Mike Trout,L,fastball,2,2,1740,p_contact,0.7553408708945238,0.7435969202323979,0.011743950662125968
545361,Mike Trout,L,fastball,2,2,1740,q,0.39484741153816383,0.3183847181723378,0.076462693365826
545361,Mike Trout,L,fastball,3,0,410,p_swing,0.09525661594160795,0.07121745057373467,0.024039165367873275
545361,Mike Trout,L,fastball,3,0,410,p_contact,0.8489960610858028,0.7973996378315011,0.05159642325430169
545361,Mike Trout,L,fastball,3,0,410,q,0.5071833147690064,0.3876935419177682,0.11948977285123813
545361,Mike Trout,L,fastball,3,1,723,p_swing,0.5712359256726621,0.5533546197453322,0.01788130592732995
545361,Mike Trout,L,fastball,3,1,723,p_contact,0.7962252614429712,0.7684873618821402,0.02773789956083106
545361,Mike Trout,L,fastball,3,1,723,q,0.5008452641127186,0.37436407285086803,0.12648119126185053
545361,Mike Trout,L,fastball,3,2,1318,p_swing,0.6691764572643419,0.7075042843281432,-0.03832782706380122
545361,Mike Trout,L,fastball,3,2,1318,p_contact,0.807164476929875,0.7881898312952981,0.01897464563457696
545361,Mike Trout,L,fastball,3,2,1318,q,0.43681676108644474,0.3418372595280816,0.09497950155836316
545361,Mike Trout,L,offspeed,0,0,1050,p_swing,0.20724805279449776,0.31690182263621086,-0.1096537698417131
545361,Mike Trout,L,offspeed,0,0,1050,p_contact,0.6292355363802475,0.5146900500862774,0.1145454862939701
545361,Mike Trout,L,offspeed,0,0,1050,q,0.3934741521520274,0.2868944182479665,0.10657973390406089
545361,Mike Trout,L,offspeed,0,1,806,p_swing,0.4659193504721996,0.5011355456086495,-0.03521619513644986
545361,Mike Trout,L,offspeed,0,1,806,p_contact,0.6069944352844961,0.5128617384767113,0.0941326968077848
545361,Mike Trout,L,offspeed,0,1,806,q,0.3869343870238542,0.27137329635952157,0.11556109066433262
545361,Mike Trout,L,offspeed,0,2,334,p_swing,0.4401163676570348,0.5036834132857038,-0.06356704562866894
545361,Mike Trout,L,offspeed,0,2,334,p_contact,0.5582199364055009,0.48842377074731075,0.06979616565819019
545361,Mike Trout,L,offspeed,0,2,334,q,0.33472219910361095,0.24205602092155348,0.09266617818205747
545361,Mike Trout,L,offspeed,1,0,660,p_swing,0.38170919396264286,0.455071061205788,-0.07336186724314514
545361,Mike Trout,L,offspeed,1,0,660,p_contact,0.6435696698140942,0.538948928757298,0.1046207410567962
545361,Mike Trout,L,offspeed,1,0,660,q,0.4319143895172712,0.3052833414896194,0.1266310480276518
545361,Mike Trout,L,offspeed,1,1,756,p_swing,0.5524290432491692,0.578159271017101,-0.025730227767931768
545361,Mike Trout,L,offspeed,1,1,756,p_contact,0.6587671939513996,0.5671141324431292,0.09165306150827035
545361,Mike Trout,L,offspeed,1,1,756,q,0.43186674917501117,0.29500374587489264,0.13686300330011852
545361,Mike Trout,L,offspeed,1,2,536,p_swing,0.5396109629149471,0.5851326156133441,-0.04552165269839692
545361,Mike Trout,L,offspeed,1,2,536,p_contact,0.6102810185796836,0.5392553750824167,0.07102564349726692
545361,Mike Trout,L,offspeed,1,2,536,q,0.3771716686549471,0.2616362055555097,0.11553546309943741
545361,Mike Trout,L,offspeed,2,0,163,p_swing,0.3691515296172364,0.4230839340478378,-0.05393240443060138
545361,Mike Trout,L,offspeed,2,0,163,p_contact,0.6286911917907512,0.5278142781922803,0.10087691359847084
545361,Mike Trout,L,offspeed,2,0,163,q,0.430699300226624,0.3064275875102523,0.12427171271637172
545361,Mike Trout,L,offspeed,2,1,355,p_swing,0.6193292347415889,0.6420883693532151,-0.022759134611626264
545361,Mike Trout,L,offspeed,2,1,355,p_contact,0.7068207093612882,0.614500787342924,0.09231992201836414
545361,Mike Trout,L,offspeed,2,1,355,q,0.48183891154091124,0.32259645819118327,0.15924245334972797
545361,Mike Trout,L,offspeed,2,2,497,p_swing,0.61920740791427,0.6655215114101716,-0.04631410349590159
545361,Mike Trout,L,offspeed,2,2,497,p_contact,0.6732655625647005,0.6013136359724229,0.07195192659227756
545361,Mike Trout,L,offspeed,2,2,497,q,0.4210731724438293,0.286194917191592,0.1348782552522373
