batter,embedding_index,n_pitches,swing_rate,stand,whiff_rate,contact_rate,chase_rate,zone_swing_rate,ev_mean,ev_p90,la_mean,bat_speed_mean,pull_rate,woba_level,prior_pa_L,prior_pa_R,n_pa_L,n_pa_R,log_prior_pa,stratum,obs_platoon_diff
112526,1,448,0.45982142857142855,R,0.441747572815534,0.558252427184466,0.41935483870967744,0.48854961832061067,83.78703703703704,98.93,1.3148148148148149,,0.3673469387755102,0.12468595041322314,35.0,86.0,35.0,86.0,4.804021044733257,low,0.008401328903654498
116338,2,2080,0.5326923076923077,R,0.21480144404332135,0.7851985559566786,0.3390970220941403,0.726660250240616,88.475,103.3,10.803398058252426,,0.42039800995024873,0.3040441696113074,171.0,395.0,171.0,395.0,6.340359303727752,medium,0.008559316011547857
120074,3,4940,0.441497975708502,L,0.19944979367262727,0.8005502063273727,0.26650701334245636,0.6950917203767972,93.09636776390465,107.3,16.33144154370034,,0.507531865585168,0.39914143920595535,336.0,873.0,336.0,873.0,7.098375638590786,medium,0.09122286655211914
121347,4,3412,0.4533997655334115,R,0.28959276018099545,0.7104072398190046,0.2678279804028307,0.6698412698412698,90.869926199262,106.3,11.723247232472325,,0.44766146993318484,0.33183333333333337,271.0,587.0,271.0,587.0,6.755768921984255,medium,0.03393752082324908
133380,5,1809,0.5301271420674406,R,0.16579770594369136,0.8342022940563086,0.3469601677148847,0.7345029239766082,87.37037037037037,102.02000000000001,15.782716049382715,,0.40594059405940597,0.3087115009746589,121.0,392.0,121.0,392.0,6.2422232654551655,medium,-0.016429709900489087
134181,6,8202,0.4740307242136064,R,0.16872427983539096,0.831275720164609,0.32568382012053776,0.6386316872427984,89.02463768115942,103.2,13.38707729468599,,0.41158156911581567,0.35369834515366433,586.0,1529.0,586.0,1529.0,7.65728279297819,high,0.04574135875909885
136860,7,6170,0.46288492706645057,L,0.1740196078431373,0.8259803921568627,0.29937814628368375,0.6605800214822771,89.40817506193228,104.1,13.786127167630058,,0.5068744271310724,0.33103571428571427,441.0,1183.0,441.0,1183.0,7.393263094763838,medium,0.011208710703216218
150029,8,5641,0.38166991668143946,R,0.20065025545750115,0.7993497445424989,0.22274709302325582,0.5330564209068882,90.20578817733991,105.49,14.963054187192117,,0.4166666666666667,0.3155825471698113,280.0,992.0,280.0,992.0,7.149131598557407,medium,0.08704648617511518
150212,9,1522,0.5137976346911958,R,0.22122762148337594,0.7787723785166241,0.3506666666666667,0.6722797927461139,87.45338078291816,103.1,7.740213523131673,,0.3905109489051095,0.306375,112.0,296.0,112.0,296.0,6.013715156042802,low,0.014152992277992216
150229,10,2261,0.5612560813799203,L,0.1457840819542947,0.8542159180457053,0.4031496062992126,0.763874873864783,86.17530017152659,101.4,9.353344768439108,,0.45709281961471104,0.2967052023121387,128.0,564.0,128.0,564.0,6.541029999189903,medium,0.07304443705673755
150359,11,163,0.4110429447852761,R,0.32835820895522383,0.6716417910447762,0.2727272727272727,0.48148148148148145,84.49565217391304,102.2,-9.043478260869565,,0.34782608695652173,0.12997674418604652,8.0,35.0,8.0,35.0,3.784189633918261,low,-0.024389285714285724
217100,12,240,0.525,R,0.18253968253968256,0.8174603174603174,0.3442622950819672,0.711864406779661,86.66603773584906,97.82000000000001,12.622641509433961,,0.41818181818181815,0.1688611111111111,41.0,31.0,41.0,31.0,4.290459441148391,low,0.09690794649881984
276519,13,2783,0.44448436938555513,L,0.17542441390460795,0.824575586095392,0.25722145804676755,0.6493604213694507,85.44578544061302,98.8,15.195402298850574,,0.5532319391634981,0.28140384615384617,144.0,584.0,144.0,584.0,6.591673732008658,medium,-0.11104775494672758
285078,14,674,0.5281899109792285,L,0.348314606741573,0.651685393258427,0.38313253012048193,0.7606177606177607,88.20833333333333,103.93,9.041666666666666,,0.6050420168067226,0.3144230769230769,59.0,123.0,59.0,123.0,5.209486152841421,low,0.009027559597629853
285079,15,197,0.7106598984771574,R,0.13571428571428568,0.8642857142857143,0.6764705882352942,0.7473684210526316,73.126,87.07000000000001,1.4,,0.24444444444444444,0.12939344262295083,10.0,51.0,10.0,51.0,4.127134385045092,low,-0.04986862745098039
346874,16,2458,0.5203417412530512,R,0.21344800625488658,0.7865519937451134,0.3040488922841864,0.7667536988685814,88.49893162393163,104.83,10.457264957264957,,0.34934497816593885,0.2944003067484663,183.0,469.0,183.0,469.0,6.481577129276431,medium,0.010367518379996943
400085,17,4059,0.43729982754373,L,0.1284507042253521,0.8715492957746479,0.2536413862380713,0.6141199226305609,82.93454987834549,97.2,5.081508515815085,,0.38282208588957056,0.27909537299339,227.0,832.0,227.0,832.0,6.966024187106113,medium,-0.0927059577261945
400121,18,7761,0.4741657002963536,L,0.14048913043478262,0.8595108695652174,0.30140640155189136,0.6700577398955183,88.5901875,101.4,14.5375,,0.47666009204470744,0.30782729528535985,493.0,1522.0,493.0,1522.0,7.60887062919126,high,-0.022735216819973703
400284,19,5906,0.39586860819505587,L,0.14798973481608213,0.8520102651839179,0.21129141311697092,0.5810719131614654,87.74225746268657,100.9,12.721082089552239,,0.5019493177387915,0.2975523370638578,257.0,1262.0,257.0,1262.0,7.326465613840322,medium,0.07299123742808336
