batter,stand,stratum,centered_obs,centered_pred,agree
444482,L,high,0.014137265418530356,-0.010117662035905278,False
453568,L,high,0.019976860724664154,0.000686052822863624,True
455117,R,high,-0.13346453171966072,0.0009437195475273177,False
456781,R,high,0.023075777790511894,0.003933194344965316,True
457705,R,high,-0.035940785091761504,-0.0009434014120651823,True
457759,R,high,-0.013618559519628308,-0.0024788095803033837,True
467793,L,high,0.12599101107743266,0.029694285704858825,True
493329,R,high,-0.1819222843084651,-0.002084977243231983,True
500743,R,high,-0.053132801803812316,0.005390287898690218,False
502054,R,high,-0.01786096989037191,0.003527542022363316,False
502110,R,high,0.04762614167568338,0.0037076811228018165,True
502671,R,high,0.05128454743931368,0.0072077054904836155,True
514888,R,high,0.08024159907448539,0.005711092698129616,True
516782,R,high,0.06196432676756258,-0.0004612058728487838,False
518595,R,high,0.06522487019395248,0.002786060915254617,True
518692,L,high,-0.02207079728659434,-0.006495454794348175,True
518735,L,high,-0.030089672505008346,0.015588249169100524,False
518792,L,high,-0.060991146465246344,-0.004158405246412075,True
518934,R,high,-0.07442616776284351,0.0021233846698865185,False
519203,L,high,-0.008863905413241946,-0.0018523410445799755,True
519317,R,high,-0.059952685508715506,0.016384085853746518,False
521692,R,high,0.010067313952379892,-0.005529304840042283,False
527038,R,high,-0.01381427758577971,-0.005499063683706583,True
541645,R,high,0.1486187263378086,-0.006119748012331183,False
542194,R,medium,0.03274362605219519,0.0008998938502087165,True
542303,R,high,-0.01922256931387571,0.009563200085702417,False
542932,R,medium,-0.081495834388821,-0.005456460996267284,True
543063,L,high,0.04739979033322905,-0.0006787922643628763,False
543228,R,high,-0.1297772012640013,-0.0023772545927532827,True
543257,R,high,0.06388332448475968,-0.021985380612353285,False
543305,L,high,0.12808780862354915,0.03738715591626012,True
543309,R,medium,-0.020897437989721608,0.004345762755160217,False
543510,R,high,-0.04263257046382361,0.007902717229976817,False
543685,R,high,-0.01933866431075841,-0.005096228577391783,True
543760,R,high,0.02415315907525609,0.0007621970913059169,True
543807,R,high,-0.05580947879039641,-0.0017792297071250827,True
543877,R,high,-0.03205947272868821,-0.001302395006018883,True
545121,L,medium,0.054611580117047254,0.027847454281062924,True
545341,R,high,0.035535542626020794,0.005735360860743216,True
545361,R,high,-0.1930173135482312,-0.010418972421776083,True
547180,L,high,0.047491223529687855,-0.012186788583091579,False
547989,R,high,-0.005162268744391308,-0.007900969767136183,True
553869,R,high,-0.05824264239832061,0.004567342209279618,False
553993,R,high,-0.00905844578814081,-0.0009751395352887837,True
570482,R,high,-0.11361604443453802,-0.00013516834592688237,True
571448,R,high,-0.0639586098545902,0.004743057827874217,False
571466,L,high,-0.11938448120402273,0.0006353285397843224,False
571657,R,high,0.06178863259642449,-0.004880267585189384,False
571745,R,high,-0.10396435223911761,0.009000887900841916,False
571771,R,high,-0.0006999599042647082,0.0075223350972778175,False
571912,R,medium,0.061734255061727486,-0.0023210767961331837,False
571970,L,high,-0.021807285180348746,-0.007154714468245477,True
572138,L,low,-0.09844377820328945,-0.005794962931071776,True
572191,R,high,0.01940437051069559,-0.0004162955942794838,False
572233,R,high,-0.036228670313159406,-0.0019340937275217837,True
572761,L,high,0.03763094299634156,-0.0015037340276189762,False
573262,L,high,0.009373473090672754,-0.000968650293260976,False
575929,R,high,-0.004592740098377009,-0.0015586056250971835,True
578428,R,high,0.08928389502876678,1.8584508425716767e-05,True
592178,R,high,-0.1959061621794711,0.0040820055571182175,False
592192,R,high,0.023968591648303793,-0.0011200422604377824,False
592200,R,high,-0.01110652010172351,-0.002715837777761283,True
592206,R,high,0.022719531973890292,0.0008371314294622172,True
592273,R,high,-0.05564482677574441,0.008032354546617817,False
592325,L,high,0.039941325247590156,-0.009754919539885276,False
592450,R,high,0.01507401461908119,0.006065116864120817,True
