metric,unit,n_hitters,vc_n50,vc_n50_lo,vc_n50_hi,vc_n70,vc_n70_lo,vc_n70_hi,splithalf_random_50,splithalf_sequential_50
swing rate,pitches,1756,122.92382969508462,111.05939668782683,136.6587720816144,286.8222692885307,259.13859227159594,318.87046819043354,108.73589807458744,72.27756693543367
whiff rate,swings,1730,54.3164733788215,49.55829393628638,59.84778920425437,126.73843788391682,115.63601918466821,139.6448414765935,40.75530195709547,42.920224511636675
exit velocity,BBIP,1681,45.15668186698734,40.315096080821085,50.65646869979905,105.36559102297045,94.06855752191585,118.19842696619777,39.76283579403854,36.59277295353981
launch angle,BBIP,1681,46.3630995320999,42.46717900985687,51.38661188082398,108.18056557489976,99.09008435633268,119.90209438858926,38.171549388587266,38.92850247452222
spray angle,BBIP,1681,77.42781026245115,68.64153895453764,86.95647982061085,180.664890612386,160.16359089392114,202.89845291475862,78.09808488313206,54.970939869942136
whiff vs LHP,swings,1627,48.860973715950685,44.13352936636209,54.25325604276799,114.00893867055159,102.97823518817819,126.59093076645863,37.666538471109774,40.2654869878609
whiff vs RHP,swings,1705,52.8337263228764,47.932322782511676,59.14990726428796,123.27869475337826,111.84208649252723,138.01645028333857,40.4490019101882,40.82150273940658
exit velocity vs LHP,BBIP,1593,36.4673688437608,32.10098720529172,42.05144967154307,85.09052730210853,74.90230347901401,98.12004923360048,37.12289273041925,43.18379105741073
exit velocity vs RHP,BBIP,1658,41.79791104540685,37.23634504949009,46.66469902124369,97.5284591059493,86.88480511547687,108.88429771623527,40.399916059451854,39.99353042897799
wOBA vs LHP,PA,1635,226.03631271852322,197.8809456075162,265.4251900820567,527.4180630098874,461.72220641753773,619.3254435247989,422.1367007368746,396.22915246847936
wOBA vs RHP,PA,1711,254.135618544423,223.35487476160026,287.03194193304233,592.9831099369869,521.1613744437338,669.7411978437653,348.84153385891835,280.0973219075738
