feature,gain
own_woba,0.3301964998245239
ev_mean,0.16867788136005402
pooled_ev_mean,0.11822254955768585
pooled_pitches,0.091061070561409
total_pa,0.0863809660077095
la_mean,0.08086467534303665
own_pitches,0.07997626066207886
pooled_whiff_rate,0.07653743028640747
opp_woba,0.07302522659301758
bbip,0.06856457889080048
whiff_rate_two_strike,0.06793233007192612
whiff_rate_breaking,0.06655387580394745
ev_mean_nonfastball,0.060958635061979294
ev_mean_fastball,0.06052003800868988
hard_hit_rate,0.05853720381855965
opp_pa,0.05241723358631134
own_pa,0.0515110082924366
seasons_seen,0.050100114196538925
whiff_rate,0.04629969224333763
whiff_rate_fastball,0.04590735211968422
bats_left,0.045724015682935715
spray_mean,0.04279487207531929
whiff_rate_offspeed,0.031137697398662567
swing_rate_two_strike,0.027821451425552368
swing_rate,0.024959316477179527
bats_switch,0.0
vs_lhp,0.0
