comparison,stratum,n_hitters,n_batters,n_draws,rank_a,rank_b,rank_difference,ci_low,ci_high,favours_a_share
c3_full_vs_c2,low,380,239,2000,0.12875257984119964,0.1139616446795439,0.01479093516165575,-0.09492117488471079,0.12147797641120849,0.6045
c3_full_vs_c2,medium,280,238,2000,0.25735940255053485,0.2508706153879467,0.006488787162588161,-0.06648262330129057,0.07657025970129909,0.5655
c3_full_vs_c2,high,489,318,2000,0.49785419749716253,0.4850362371640803,0.012817960333082246,-0.01810187481065575,0.043818155140982556,0.791
c3_full_vs_c2,all,1149,604,2000,0.37043724629850255,0.32831371902275586,0.0421235272757467,0.003010334433160909,0.08146649514527031,0.985
c3_full_vs_c3_outcome,low,380,239,2000,0.12875257984119964,0.11072574012031952,0.018026839720880122,-0.07298170549465552,0.10835845491607139,0.6645
c3_full_vs_c3_outcome,medium,280,238,2000,0.25735940255053485,0.21128518711569277,0.04607421543484208,-0.0051773143914363015,0.09813910845218905,0.9585
c3_full_vs_c3_outcome,high,489,318,2000,0.49785419749716253,0.4810986644844326,0.016755533012729917,-0.014075331323910296,0.04684470130343811,0.8625
c3_full_vs_c3_outcome,all,1149,604,2000,0.37043724629850255,0.3444598035626816,0.025977442735820977,-0.0012779235296036028,0.053134595865878806,0.966
c2_vs_c1_bucketed,low,380,239,2000,0.1139616446795439,0.015696489597571698,0.0982651550819722,-0.011076440585219442,0.21557505899451868,0.9575
c2_vs_c1_bucketed,medium,280,238,2000,0.2508706153879467,0.15208115411854056,0.09878946126940613,0.03751680676676605,0.16668431893231045,0.9995
c2_vs_c1_bucketed,high,489,318,2000,0.4850362371640803,0.4424224200391211,0.04261381712495921,0.02028073619681109,0.06703982681997052,0.9995
c2_vs_c1_bucketed,all,1149,604,2000,0.32831371902275586,0.2581327643964411,0.07018095462631474,0.037100454496937205,0.10372161262157933,1.0
c2_vs_c1_raw,low,380,239,2000,0.1139616446795439,0.11379883168660469,0.00016281299293920137,-0.0902011227765784,0.10389199416941416,0.5185
c2_vs_c1_raw,medium,280,238,2000,0.2508706153879467,0.15438858213987874,0.09648203324806795,0.03366463864663766,0.16476762085270383,0.998
c2_vs_c1_raw,high,489,318,2000,0.4850362371640803,0.444641292099662,0.040394945064418264,0.018093756589624716,0.06454642855267069,0.9995
c2_vs_c1_raw,all,1149,604,2000,0.32831371902275586,0.27623402874068514,0.05207969028207071,0.015155468660216193,0.0871842508626681,0.9985
