arm,stratum,n_hitters,n_batters,rmse_a,rmse_b,rmse_difference,ci_low_rmse,ci_high_rmse,favours_a_share_rmse,n_draws,weighted,rank_a,rank_b,rank_difference,ci_low_rank,ci_high_rank,favours_a_share_rank
dim16,low,380,239,0.05925287739265443,0.05923029855668104,2.257883597339e-05,-0.0004866875140461283,0.0005476034508252775,0.4425,2000,True,0.252945316926486,0.2592411358329265,-0.006295818906440542,-0.04747276771001609,0.03495294824834457,0.3525
dim16,medium,280,238,0.05000655268449155,0.04921443950261454,0.0007921131818770105,8.489701089570041e-05,0.0014859720594691454,0.016,2000,True,0.30951668976975916,0.3388774880449249,-0.029360798275165745,-0.06832940792747698,0.008935390603999036,0.067
dim16,high,489,318,0.04321254809325678,0.04357424904176697,-0.0003617009485101866,-0.000886356177846767,0.00015124085938993462,0.9165,2000,True,0.4874950472423045,0.4890879371853569,-0.0015928899430524002,-0.020036011951465395,0.017000898147785153,0.434
dim16,all,1149,604,0.04790163885090004,0.047930613361441624,-2.8974510541582288e-05,-0.00039459596680009124,0.00034088813683510756,0.567,2000,True,0.45148693342196755,0.45910288820904444,-0.007615954787076884,-0.021509303416697073,0.00635032552831036,0.1265
dim64,low,380,239,0.059280728087438624,0.05923029855668104,5.042953075758139e-05,-0.0003635097869192229,0.0005570240148952028,0.4465,2000,True,0.2503139128876924,0.2592411358329265,-0.008927222945234126,-0.026084901626415993,0.007692228335348075,0.1455
dim64,medium,280,238,0.04881482521362149,0.04921443950261454,-0.00039961428899305124,-0.0008222548478626175,1.0942807554583965e-05,0.9685,2000,True,0.3429616756639253,0.3388774880449249,0.004084187619000423,-0.016113123501122997,0.026621927022128927,0.6065
dim64,high,489,318,0.04319546769616189,0.04357424904176697,-0.000378781345605074,-0.0006302107787485347,-0.0001206468937717208,0.9975,2000,True,0.49450200096706565,0.4890879371853569,0.005414063781708722,-0.006974760193492154,0.01752654251403506,0.8055
dim64,all,1149,604,0.04764697358403229,0.047930613361441624,-0.00028363977740933355,-0.00048122290568729557,-8.232983732725298e-05,0.9985,2000,True,0.4633808468989815,0.45910288820904444,0.004277958689937078,-0.0031577465762835572,0.012409778648164855,0.856
bilinear,low,380,239,0.05838864581861325,0.05923029855668104,-0.0008416527380677927,-0.0021352714047319483,0.00033397000366825483,0.9185,2000,True,0.25588745494529036,0.2592411358329265,-0.003353680887636157,-0.05841209934082341,0.0517921971172641,0.4645
bilinear,medium,280,238,0.04912008157026182,0.04921443950261454,-9.435793235271911e-05,-0.001067113291244496,0.0010042768023796904,0.581,2000,True,0.3319661239148322,0.3388774880449249,-0.00691136413009269,-0.037720685253061395,0.027124366716315556,0.335
bilinear,high,489,318,0.042827619748678984,0.04357424904176697,-0.0007466292930879831,-0.0011951498280549163,-0.00027479880289528767,0.9995,2000,True,0.4925106169786766,0.4890879371853569,0.0034226797933196718,-0.017274022467688638,0.023746569413710332,0.6245
