stage,config,seed,status,seconds,best_val_loss,reference,best_epoch,finished_at
screen,log,0,ok,873.0,1.07581,1.07581,17,2026-08-03 23:36
screen,log,1,ok,435.5,1.07582,1.07582,9,2026-08-03 23:43
screen,rps,0,ok,879.9,0.93410,1.19737,20,2026-08-03 23:58
screen,rps,1,ok,773.6,0.93360,1.19693,15,2026-08-04 00:11
d6,baseline,0,ok,785.9,1.07581,1.07581,17,2026-08-04 00:24
d6,baseline,1,ok,503.2,1.07582,1.07582,9,2026-08-04 00:33
d6,baseline,2,ok,906.7,1.07630,1.07630,20,2026-08-04 00:48
d6,baseline,3,ok,559.7,1.07624,1.07624,11,2026-08-04 00:57
d6,baseline,4,ok,695.9,1.07534,1.07534,14,2026-08-04 01:09
d8,baseline,0,ok,1227.9,1.07581,1.07581,17,2026-08-04 08:44
d8,baseline,1,ok,543.5,1.07582,1.07582,9,2026-08-04 08:53
d8,baseline,2,ok,1249.6,1.07630,1.07630,20,2026-08-04 09:14
d8,baseline,3,ok,1328.5,1.07624,1.07624,11,2026-08-04 09:36
d8,baseline,4,ok,1271.4,1.07534,1.07534,14,2026-08-04 09:58
d8,dim16,0,ok,903.8,1.07622,1.07622,17,2026-08-04 10:13
d8,dim16,1,ok,836.3,1.07666,1.07666,17,2026-08-04 10:27
d8,dim16,2,ok,969.5,1.07630,1.07630,20,2026-08-04 10:43
d8,dim16,3,ok,717.8,1.07618,1.07618,15,2026-08-04 10:55
d8,dim16,4,ok,751.4,1.07632,1.07632,16,2026-08-04 11:07
d8,dim64,0,ok,834.0,1.07573,1.07573,17,2026-08-04 11:21
d8,dim64,1,ok,510.7,1.07553,1.07553,9,2026-08-04 11:30
d8,dim64,2,ok,639.7,1.07563,1.07563,12,2026-08-04 11:40
d8,dim64,3,ok,634.7,1.07576,1.07576,11,2026-08-04 11:51
d8,dim64,4,ok,666.2,1.07580,1.07580,13,2026-08-04 12:02
d8,bilinear,0,ok,763.9,1.07590,1.07590,17,2026-08-04 12:15
d8,bilinear,1,ok,478.8,1.07600,1.07600,9,2026-08-04 12:23
d8,bilinear,2,ok,705.4,1.07610,1.07610,16,2026-08-04 12:34
d8,bilinear,3,ok,558.4,1.07590,1.07590,11,2026-08-04 12:44
d8,bilinear,4,ok,1111.5,1.07602,1.07602,11,2026-08-04 13:02
d8,meanweight,0,ok,1416.7,9.66974,1.07750,11,2026-08-04 13:26
d8,meanweight,1,ok,1071.4,9.66939,1.07716,14,2026-08-04 13:44
d8,meanweight,2,ok,1208.7,9.66964,1.07749,12,2026-08-04 14:04
d8,meanweight,3,ok,830.9,9.67173,1.07759,14,2026-08-04 14:18
d8,meanweight,4,ok,1655.3,9.66833,1.07717,13,2026-08-04 14:45
d8,invfreq,0,ok,2506.0,1.03447,1.10640,17,2026-08-04 15:27
d8,invfreq,1,ok,1927.1,1.03430,1.10538,13,2026-08-04 15:59
d8,invfreq,2,ok,875.0,1.03425,1.10556,12,2026-08-04 16:14
d8,invfreq,3,ok,801.1,1.03493,1.10521,11,2026-08-05 01:16
d8,invfreq,4,ok,831.8,1.03410,1.10460,15,2026-08-05 01:30
