bin,n_hitters,pa,mean_pred,mean_obs,gap
0,208,18059.0,0.27523509002074587,0.27338435129298416,0.0018507387277617027
1,138,18021.0,0.2964729327254508,0.2912406081793463,0.00523232454610445
2,136,18083.0,0.30528170512527164,0.29259890504894104,0.012682800076330603
3,157,17845.0,0.31521869194924496,0.29882056598486967,0.016398125964375287
4,115,18152.0,0.32095922275429606,0.3012470251211988,0.019712197633097284
5,93,18075.0,0.32755606659933195,0.31504409405255884,0.012511972546773109
6,82,18267.0,0.33484376683757777,0.3172923304319264,0.017551436405651377
7,75,17991.0,0.3438774653965921,0.3234963037074092,0.02038116168918286
8,71,18045.0,0.3533971848062335,0.3323198115821557,0.021077373224077822
9,74,18234.0,0.3753456833030025,0.35950202917626417,0.015843654126738327
