p_throws,stand,balls,strikes,n_pitchers,take_mass_drawn,take_mass_exact,take_mass_gap,share
L,L,0,0,200,0.7633150844372766,0.7773098365029474,-0.013994752065670801,0.07624542359733422
L,L,0,1,200,0.5328634061556858,0.5590695420303644,-0.02620613587467857,0.07624542359733422
L,L,0,2,200,0.5096781962949137,0.5171993114011295,-0.007521115106215781,0.07624542359733422
L,L,1,0,200,0.6309305894414075,0.6454056056845616,-0.01447501624315417,0.07624542359733422
L,L,1,1,200,0.4998966005216028,0.4855389256494299,0.014357674872172876,0.07624542359733422
L,L,1,2,200,0.4644689770864384,0.41936249589880203,0.04510648118763638,0.07624542359733422
L,L,2,0,200,0.641237234527471,0.6498117421106292,-0.008574507583158253,0.07624542359733422
L,L,2,1,200,0.46296570275850374,0.4553607966958382,0.007604906062665562,0.07624542359733422
L,L,2,2,200,0.3642277478456555,0.35544404905746163,0.00878369878819385,0.07624542359733422
L,L,3,0,200,0.9316394507348499,0.9385874244311316,-0.006947973696281751,0.07624542359733422
L,L,3,1,200,0.5315564922954523,0.5269718062364241,0.004584686059028176,0.07624542359733422
L,L,3,2,200,0.2993986418695596,0.2910199860898951,0.008378655779664512,0.07624542359733422
L,R,0,0,200,0.7461559103710929,0.7448781923577608,0.0012777180133320964,0.19643020936796504
L,R,0,1,200,0.5201115225566693,0.5182690461674246,0.0018424763892446183,0.19643020936796504
L,R,0,2,200,0.4724404505960666,0.49284970598562705,-0.020409255389560454,0.19643020936796504
L,R,1,0,200,0.5941597707043047,0.5799547830043016,0.014204987700003113,0.19643020936796504
L,R,1,1,200,0.463138005817181,0.4555015620072609,0.007636443809920124,0.19643020936796504
L,R,1,2,200,0.4171471007090837,0.41363315416376845,0.0035139465453152274,0.19643020936796504
L,R,2,0,200,0.5755411839492242,0.5945213146032478,-0.018980130654023597,0.19643020936796504
L,R,2,1,200,0.4126359700129657,0.41131092644810485,0.0013250435648608505,0.19643020936796504
L,R,2,2,200,0.33461118835325737,0.34806607554125457,-0.0134548871879972,0.19643020936796504
L,R,3,0,200,0.9170774851526209,0.9166990652990001,0.00037841985362074837,0.19643020936796504
L,R,3,1,200,0.4576825519976566,0.4593549573607341,-0.0016724053630775004,0.19643020936796504
L,R,3,2,200,0.28445038554152957,0.2814187963241831,0.0030315892173464754,0.19643020936796504
R,L,0,0,200,0.7827072509230085,0.772357067854448,0.010350183068560503,0.33440760318363005
R,L,0,1,200,0.5538853679346654,0.5432363479902518,0.010649019944413585,0.33440760318363005
R,L,0,2,200,0.5042481581066249,0.51595402407723,-0.011705865970605078,0.33440760318363005
R,L,1,0,200,0.6086659793337226,0.6212110131287492,-0.012545033795026583,0.33440760318363005
R,L,1,1,200,0.4782744084724285,0.47769994119572273,0.0005744672767057923,0.33440760318363005
R,L,1,2,200,0.4303234442937033,0.4290399070130365,0.0012835372806667689,0.33440760318363005
R,L,2,0,200,0.6248058673881697,0.6197383239841803,0.005067543403989405,0.33440760318363005
R,L,2,1,200,0.4304762131432755,0.4350012557086139,-0.004525042565338422,0.33440760318363005
R,L,2,2,200,0.3504228565226378,0.3579881666394376,-0.007565310116799784,0.33440760318363005
R,L,3,0,200,0.925068441688194,0.929110545385208,-0.004042103697013966,0.33440760318363005
R,L,3,1,200,0.4848064613029004,0.4889365722243448,-0.004130110921444385,0.33440760318363005
R,L,3,2,200,0.2839691175232704,0.2843087244409852,-0.00033960691771478535,0.33440760318363005
R,R,0,0,200,0.7231431277768733,0.7317062712146986,-0.008563143437825271,0.39291676385107066
R,R,0,1,200,0.5197867117406189,0.5182323157151685,0.0015543960254503775,0.39291676385107066
R,R,0,2,200,0.4735700334617059,0.48169681428367134,-0.00812678082196544,0.39291676385107066
R,R,1,0,200,0.5797497130071394,0.5856683124239828,-0.005918599416843362,0.39291676385107066
R,R,1,1,200,0.4402003381923417,0.4473338905452149,-0.007133552352873163,0.39291676385107066
R,R,1,2,200,0.39492287256408054,0.4069052645261787,-0.01198239196209816,0.39291676385107066
R,R,2,0,200,0.589972003048852,0.5856626205616141,0.004309382487237889,0.39291676385107066
R,R,2,1,200,0.41340645840675583,0.4089823731923695,0.0044240852143863085,0.39291676385107066
R,R,2,2,200,0.3073533407907785,0.3360080326734394,-0.028654691882660954,0.39291676385107066
R,R,3,0,200,0.9117825958612724,0.9116391966365636,0.00014339922470885114,0.39291676385107066
R,R,3,1,200,0.4662804811557145,0.4498833327814945,0.016397148374220016,0.39291676385107066
R,R,3,2,200,0.25020093826875484,0.24688498992528557,0.003315948343469266,0.39291676385107066
