head,grouping,cell,class,n_rows,observed,predicted,gap,relative_gap
swing,overall,all,positive,705344,0.4779752858179839,0.47925575717386953,0.0012804713558856595,0.0026789488784850508
swing,count,0-0,positive,180133,0.3150672003464107,0.30684538469616135,-0.008221815650249376,-0.026095435009450798
swing,count,0-1,positive,92243,0.4883622605509361,0.4885890590807634,0.00022679852982726567,0.000464406339612335
swing,count,0-2,positive,48696,0.5044356826022671,0.5140520298386138,0.009616347236346634,0.019063574540837635
swing,count,1-0,positive,67644,0.43072556324285965,0.4311973392763253,0.000471776033465654,0.001095305395653168
swing,count,1-1,positive,71099,0.5432003263055739,0.5452720694609375,0.0020717431553636256,0.0038139578623857077
swing,count,1-2,positive,70047,0.5753137179322455,0.5802050461774176,0.004891328245172133,0.008502019146618337
swing,count,2-0,positive,22441,0.42671895191836373,0.4340594524395155,0.0073405005211517604,0.017202190078860344
swing,count,2-1,positive,36244,0.5774473016223375,0.581024559165187,0.0035772575428495434,0.006194950660950779
swing,count,2-2,positive,59237,0.6430778061009167,0.650307003356458,0.007229197255541275,0.011241559243621004
swing,count,3-0,positive,6807,0.0987219039224328,0.10735003513568667,0.00862813121325387,0.08739834697711174
swing,count,3-1,positive,14895,0.5508559919436052,0.5556761161347132,0.0048201241911079995,0.00875024373266955
swing,count,3-2,positive,35858,0.7038596686931786,0.718361722325947,0.014502053632768352,0.020603615007084575
swing,handedness,LvL,positive,53106,0.46699054720747185,0.4675078657520365,0.00051731854456466,0.0011077709124052756
swing,handedness,LvR,positive,249830,0.4713044870511948,0.47139412337069253,8.963631949771012e-05,0.00019018770658971783
swing,handedness,RvL,positive,136118,0.48342614496245906,0.485319021247915,0.0018928762854559245,0.003915543884377453
swing,handedness,RvR,positive,266290,0.48363813887115553,0.4858749922771954,0.0022368534060398515,0.004625055855315341
swing,two_strike,0,positive,491506,0.4251036609929482,0.423362119030988,-0.0017415419619601913,-0.00409674656269093
swing,two_strike,1,positive,213838,0.5995005564960391,0.6077271163759529,0.00822655987991383,0.013722355702213905
contact,overall,all,positive,337137,0.7667565411094006,0.7560364928339811,-0.010720048275419503,-0.013981032701604262
contact,count,0-0,positive,56754,0.7508017056066533,0.7405918572970094,-0.010209848309643887,-0.013598594986400911
contact,count,0-1,positive,45048,0.7396332800568283,0.7291457624621795,-0.010487517594648721,-0.014179347897708082
contact,count,0-2,positive,24564,0.7429978830809314,0.7277688155211769,-0.015229067559754506,-0.02049678458921756
contact,count,1-0,positive,29136,0.7568643602416255,0.7510928480338175,-0.005771512207808027,-0.007625556851382853
contact,count,1-1,positive,38621,0.760751922529194,0.751082862731855,-0.009669059797339008,-0.012709872313162581
contact,count,1-2,positive,40299,0.7569418595994938,0.7456646076185734,-0.011277251980920333,-0.014898438813896816
contact,count,2-0,positive,9576,0.7967836257309941,0.7833502309402346,-0.013433394790759556,-0.01685952667317346
contact,count,2-1,positive,20929,0.7889053466481915,0.7727562138692263,-0.016149132778965125,-0.020470304641206537
contact,count,2-2,positive,38094,0.7886281304142385,0.7767979152429396,-0.011830215171298897,-0.015001005816372417
contact,count,3-0,positive,672,0.8720238095238095,0.8536629284859546,-0.018360881037854937,-0.02105548132668689
contact,count,3-1,positive,8205,0.8204753199268738,0.8138969306044461,-0.0065783893224277135,-0.008017778429964258
contact,count,3-2,positive,25239,0.8274099607749911,0.8191489615676726,-0.008260999207318487,-0.009984166977613911
contact,handedness,LvL,positive,24800,0.761491935483871,0.7523954284679513,-0.009096507015919686,-0.011945638019317353
contact,handedness,LvR,positive,117746,0.7766208618551798,0.7646484684801859,-0.011972393374993895,-0.015416007942916225
contact,handedness,RvL,positive,65803,0.7663024482166466,0.7630281069431085,-0.003274341273538095,-0.0042729098427888405
contact,handedness,RvR,positive,128788,0.7589837562505823,0.7452917303453688,-0.013692025905213567,-0.018039945904577536
contact,two_strike,0,positive,208941,0.7601284573157016,0.74995134250059,-0.010177114815111521,-0.013388677554647444
contact,two_strike,1,positive,128196,0.7775593622265905,0.7659544106770422,-0.011604951549548326,-0.014924843186656272
split,overall,all,foul,258502,0.4970831947141608,0.5002138107074767,0.0031306159933159328,0.00629797190210009
split,overall,all,foul_tip,258502,0.02841757510580189,0.02781797521623637,-0.0005995998895655177,-0.021099614845149123
split,overall,all,in_play,258502,0.4744992301800373,0.4719682140818548,-0.0025310160981825147,-0.005334078407718768
split,count,0-0,foul,42611,0.5003402877191335,0.5077880523193669,0.007447764600233331,0.014885398563815313
split,count,0-0,foul_tip,42611,0.02729342188636737,0.028180076462107427,0.0008866545757400569,0.03248601730598415
split,count,0-0,in_play,42611,0.47236629039449907,0.4640318714024103,-0.008334418992088755,-0.017643974943953394
split,count,0-1,foul,33319,0.4980341546865152,0.5023172077239535,0.004283053037438311,0.008599918293022002
split,count,0-1,foul_tip,33319,0.029862841021639306,0.029087864681415346,-0.0007749763402239603,-0.02595119264313782
split,count,0-1,in_play,33319,0.4721030042918455,0.46859492754996435,-0.0035080767418811387,-0.007430744371439139
split,count,0-2,foul,18251,0.5058900882143444,0.5110162706469766,0.005126182432632187,0.010132996380154883
split,count,0-2,foul_tip,18251,0.03013533505013424,0.030626404281721132,0.0004910692315868923,0.016295462810349763
split,count,0-2,in_play,18251,0.46397457673552134,0.458357324885992,-0.0056172518495293255,-0.012106809577912107
split,count,1-0,foul,22052,0.4919281697805188,0.4999119026639458,0.00798373288342702,0.016229468800270336
split,count,1-0,foul_tip,22052,0.028296753128967893,0.027087489826312556,-0.001209263302655337,-0.04273505504832611
split,count,1-0,in_play,22052,0.4797750770905133,0.47300060793009746,-0.0067744691604158525,-0.014120093943808166
split,count,1-1,foul,29381,0.49674960008168545,0.49733917434465236,0.0005895742629669076,0.0011868640918280722
split,count,1-1,foul_tip,29381,0.02995132909022838,0.02776087703238163,-0.0021904520578467507,-0.07313371808135839
split,count,1-1,in_play,29381,0.4732990708280862,0.47489994851462974,0.0016008776865435448,0.0033823807930631303
split,count,1-2,foul,30504,0.5008523472331498,0.5018785135791687,0.0010261663460189308,0.0020488400457495393
split,count,1-2,foul_tip,30504,0.029996066089693154,0.02915601803685432,-0.0008400480528388335,-0.028005274102509047
split,count,1-2,in_play,30504,0.4691515866771571,0.46896546835336955,-0.0001861183237875652,-0.0003967125531979518
split,count,2-0,foul,7630,0.4977719528178244,0.4956681028477174,-0.0021038499701069857,-0.004226533773542996
split,count,2-0,foul_tip,7630,0.0272608125819135,0.02571866132519153,-0.0015421512567219686,-0.05657026004225298
split,count,2-0,in_play,7630,0.47496723460026213,0.47861323591839244,0.0036460013181303097,0.007676321759750073
split,count,2-1,foul,16511,0.49476106837865663,0.495831749347329,0.001070680968672355,0.0021640364149527794
split,count,2-1,foul_tip,16511,0.0270122948337472,0.026764837544654023,-0.000247457289093176,-0.009160913229187061
split,count,2-1,in_play,16511,0.47822663678759614,0.4774034136544026,-0.0008232231331935513,-0.0017214079473351985
split,count,2-2,foul,30042,0.49563943811996536,0.49730453612842745,0.0016650980084620959,0.0033594945849710063
split,count,2-2,foul_tip,30042,0.028593302709539976,0.027439800515382567,-0.0011535021941574096,-0.04034169140497893
split,count,2-2,in_play,30042,0.4757672591704946,0.4752556630892625,-0.0005115960812321352,-0.001075307456263612
split,count,3-0,foul,586,0.48464163822525597,0.4860913142460198,0.001449676020763846,0.0029912329160831468
split,count,3-0,foul_tip,586,0.032423208191126277,0.019043009715876302,-0.013380198475249974,-0.41267348981560453
split,count,3-0,in_play,586,0.48293515358361777,0.49486567552992916,0.01193052194631139,0.024704190319923935
split,count,3-1,foul,6732,0.4769756387403446,0.48844879649389167,0.01147315775354707,0.024053970101799712
split,count,3-1,foul_tip,6732,0.023618538324420676,0.024977867072659105,0.0013593287482384295,0.05755346624617049
split,count,3-1,in_play,6732,0.4994058229352347,0.48657333601332,-0.012832486921914743,-0.025695509208307567
split,count,3-2,foul,20883,0.4921227792941627,0.48739317820665623,-0.004729601087506474,-0.009610611998676433
split,count,3-2,foul_tip,20883,0.025283723602930613,0.02480126346308908,-0.00048246013984153124,-0.019081846780891473
split,count,3-2,in_play,20883,0.48259349710290667,0.4878055580787713,0.00521206097586463,0.010800106108253727
split,handedness,LvL,foul,18885,0.4859412231930103,0.4918857731838406,0.005944549990830272,0.012233063809178348
split,handedness,LvL,foul_tip,18885,0.028435266084193805,0.02798205722525429,-0.0004532088589395168,-0.015938266854884125
split,handedness,LvL,in_play,18885,0.48562351072279586,0.4801321698350229,-0.0054913408877729775,-0.011307815141815798
split,handedness,LvR,foul,91444,0.5070753685315603,0.510587100901502,0.0035117323699416225,0.006925464315317167
split,handedness,LvR,foul_tip,91444,0.028563929836840033,0.028503456164381064,-6.047367245896884e-05,-0.0021171341900221847
split,handedness,LvR,in_play,91444,0.46436070163159965,0.4609094430120561,-0.00345125861954354,-0.007432279707169524
split,handedness,RvL,foul,50425,0.5010014873574615,0.5023807211804638,0.0013792338230023127,0.0027529535496533123
split,handedness,RvL,foul_tip,50425,0.02754586018839861,0.027186979571314426,-0.00035888061708418476,-0.01302847740566596
split,handedness,RvL,in_play,50425,0.4714526524541398,0.4704322992578282,-0.0010203531963116075,-0.0021642750146810587
split,handedness,RvR,foul,97748,0.48786675942218766,0.4910006644490474,0.003133905026859729,0.006423690416152592
split,handedness,RvR,foul_tip,97748,0.028726930474280803,0.02747051180862437,-0.001256418665656435,-0.04373661386416852
split,handedness,RvR,in_play,97748,0.4834063101035315,0.4815288236320208,-0.0018774864715107031,-0.003883868357259549
split,two_strike,0,foul,158822,0.49627255669869413,0.5008887669645729,0.004616210265878717,0.009301764128539941
split,two_strike,0,foul_tip,158822,0.028295828033899587,0.027706446705260134,-0.0005893813286394524,-0.020829265994030954
split,two_strike,0,in_play,158822,0.4754316152674063,0.4714047864499603,-0.004026828817445982,-0.008469838117898604
split,two_strike,1,foul,99680,0.49837479935794543,0.49913839033564156,0.0007635909776961269,0.0015321620970399359
split,two_strike,1,foul_tip,99680,0.028611556982343498,0.027995675669389132,-0.000615881312954366,-0.02152561335038261
split,two_strike,1,in_play,99680,0.4730136436597111,0.4728659338185396,-0.0001477098411715172,-0.00031227395478211737
ev,overall,all,bin_0,122316,0.04270904869354786,0.04174741116999149,-0.0009616375235563662,-0.022516013654540677
ev,overall,all,bin_1,122316,0.04236567579057523,0.04147779917715188,-0.0008878766134233496,-0.020957451919623782
ev,overall,all,bin_2,122316,0.04150724353314366,0.04038163208689304,-0.0011256114462506184,-0.027118434047585314
ev,overall,all,bin_3,122316,0.04149906798783479,0.04201300186079946,0.0005139338729646739,0.012384226872645204
ev,overall,all,bin_4,122316,0.04175250989240983,0.04151424174033392,-0.00023826815207590724,-0.005706678537167939
ev,overall,all,bin_5,122316,0.04127015271918637,0.041737532704969715,0.0004673799857833477,0.011324891113525349
ev,overall,all,bin_6,122316,0.04079597109127179,0.03981027500744533,-0.0009856960838264608,-0.024161603645153785
ev,overall,all,bin_7,122316,0.04313417704960921,0.04238201706116617,-0.000752159988443038,-0.017437680277937573
ev,overall,all,bin_8,122316,0.04058340691324111,0.03953163259849078,-0.0010517743147503283,-0.025916363231869695
ev,overall,all,bin_9,122316,0.043354916772948754,0.042247402028096556,-0.0011075147448521977,-0.02554530898196142
ev,overall,all,bin_10,122316,0.03826972759083031,0.039556755319822064,0.001287027728991752,0.03363043873090261
ev,overall,all,bin_11,122316,0.03524477582654763,0.0382114624647962,0.002966686638248575,0.08417379792252673
ev,overall,all,bin_12,122316,0.04323228359331567,0.042091035577268045,-0.001141248016047626,-0.026398050743358818
ev,overall,all,bin_13,122316,0.039152686484188494,0.03855813028194016,-0.0005945562022483322,-0.015185578708333057
ev,overall,all,bin_14,122316,0.0440171359429674,0.04307693825248026,-0.0009401976904871365,-0.0213598106815796
