stand,n_hitters,half_split_spearman,reliability,reliability_ci_low,reliability_ci_high,axis,p_throws,eval_pa_covered,matchup
L,147,-0.02289779295650137,-0.0468687774757672,-0.44024957069009435,0.23101976357793302,fb_velo,R,0.8443269977457271,opposite
R,154,0.11123487518174427,0.2002004754639322,-0.09260924870180605,0.4170794588317674,fb_velo,R,0.8443269977457271,same
pooled,301,0.04430045543552398,0.084842355865963,-0.14783333025169135,0.25609219467419014,fb_velo,R,0.8443269977457271,both
L,33,-0.2827540106951872,-0.7884436160298229,-2.9436180442326174,0.13281372055151805,fb_velo,L,0.881084740199799,same
R,72,0.0742813042639398,0.13829022988505746,-0.3775417167530428,0.4490238892755638,fb_velo,L,0.881084740199799,opposite
pooled,105,-0.0049346879535558785,-0.009918319719953326,-0.5018574814932887,0.31525600621877164,fb_velo,L,0.881084740199799,both
L,183,-0.04503497215542833,-0.09431753172590135,-0.5001030924060517,0.19001849856996328,fb_height,R,0.8443269977457271,opposite
R,209,0.08643856143856143,0.15912277878669456,-0.1262772761152392,0.36869095958341835,fb_height,R,0.8443269977457271,same
pooled,392,0.026413552477081104,0.051467661184590396,-0.1635987027532889,0.2234360157390149,fb_height,R,0.8443269977457271,both
L,31,0.5193548387096775,0.6836518046709129,0.360879728189437,0.8703521609878804,fb_height,L,0.881084740199799,same
R,70,-0.041483684716997635,-0.0865581191588785,-0.7782225783339465,0.314930238200225,fb_height,L,0.881084740199799,opposite
pooled,101,0.14101339545719277,0.24717219976315893,-0.10314743815147719,0.4865439846138671,fb_height,L,0.881084740199799,both
L,185,-0.04644630605359919,-0.09741728514809767,-0.46214616431814515,0.17117526128742575,brk_share,R,0.8443269977457271,opposite
R,215,-0.071602791663648,-0.1542503381541983,-0.5276891661107714,0.11795185180187552,brk_share,R,0.8443269977457271,same
pooled,400,-0.06359327245795285,-0.13582404010461863,-0.39188454074086115,0.05913564581154753,brk_share,R,0.8443269977457271,both
L,54,-0.050657518582046875,-0.10672127198265477,-1.0503711848635096,0.3782421571988653,brk_share,L,0.881084740199799,same
R,141,0.07765315296031508,0.14411529859491756,-0.16149390074256278,0.3753599544818003,brk_share,L,0.881084740199799,opposite
pooled,195,0.041844017543575716,0.08032683748999993,-0.21582928698909098,0.2970557931664246,brk_share,L,0.881084740199799,both
