,,L,R
fb_velo,count,451.0,1248.0
fb_velo,mean,91.85809851130176,93.515071346379
fb_velo,std,2.4378206731024323,2.497955923774227
fb_velo,min,83.07647058823528,80.33002915451895
fb_velo,25%,90.31181888554516,92.06267172987616
fb_velo,50%,91.96751824817518,93.69805602846168
fb_velo,75%,93.54125138427464,95.15405108392616
fb_velo,max,99.3813359884142,101.29256544502617
fb_height,count,451.0,1248.0
fb_height,mean,2.551381753925936,2.561762948150397
fb_height,std,0.2270171750923678,0.21235106861763495
fb_height,min,1.8239751520761587,1.7558087873741706
fb_height,25%,2.3982154273790623,2.4135566868058658
fb_height,50%,2.559208441793114,2.5577725498587895
fb_height,75%,2.720253013898756,2.7119542264942993
fb_height,max,3.1795250265638666,3.2841769339455302
brk_share,count,451.0,1248.0
brk_share,mean,0.2846958551687881,0.2967060389951972
brk_share,std,0.13505907770828357,0.12821457007874976
brk_share,min,0.00018964536317087047,0.0
brk_share,25%,0.17639047751991604,0.20732684497541762
brk_share,50%,0.281013640183593,0.2948323456019962
brk_share,75%,0.3682466617925172,0.38098680872653473
brk_share,max,0.8273615635179153,0.7842031029619182
