pitcher,p_throws,n_pitches,n_fb,fb_velo,fb_height,brk_share,bf,fb_velo_tercile,fb_height_tercile,brk_share_tercile
112526,R,9976,8321,88.21127268357169,2.506589046937464,0.07768644747393745,2814,0,1,0
115629,R,554,415,93.69710843373495,2.5412722616014625,0.16606498194945848,161,1,1,0
150116,L,623,301,88.78106312292358,2.500405151247432,0.3996789727126806,161,0,1,2
150302,R,772,451,88.3159645232816,2.0986435445833087,0.19430051813471502,208,0,0,0
150359,R,2459,1508,91.56452254641908,2.5618869467020176,0.29605530703538024,680,0,1,1
218596,R,1829,995,88.70582914572864,2.34491618884421,0.11755057408419901,501,0,0,0
276351,R,2449,1563,93.3167626359565,3.0179916390836397,0.3401388321763985,575,1,2,2
276514,R,211,130,91.54461538461538,2.363318184151984,0.11374407582938388,51,0,0,0
276520,R,1136,387,84.09793281653747,2.2460182557705193,0.4876760563380282,314,0,0,2
276542,R,2704,1427,94.81534688156972,2.8742322170152392,0.1734467455621302,670,2,2,0
279571,R,2748,1537,90.8783344176968,2.506589535365849,0.42503639010189226,740,0,1,2
279824,L,2798,1413,84.00474168435952,2.5071688609567917,0.08577555396711938,823,0,1,0
282332,L,12096,4929,89.8186650436194,2.40921318692891,0.27132936507936506,3241,0,0,1
285064,R,3669,1939,91.25569881382155,2.419725198820233,0.3654946852003271,926,0,0,2
285079,R,8817,1181,83.01617273497037,2.4065516709410306,0.0,2389,0,0,0
329092,L,399,245,84.22367346938775,2.0672378134079885,0.38596491228070173,116,0,0,2
346793,L,560,372,91.00806451612904,2.1083592856433073,0.2357142857142857,163,0,0,1
346798,R,2699,1242,89.71763285024154,2.4262816196415757,0.33049277510188957,684,0,0,1
346847,L,686,493,87.45780933062879,2.3182493252894987,0.17055393586005832,196,0,0,0
407793,R,8606,5107,91.91325631486195,2.6129723625684296,0.10190564722286777,2295,0,1,0
407819,L,866,608,93.55115131578947,2.6834124107029997,0.1420323325635104,246,2,2,0
407822,L,6571,2330,91.96206008583691,2.326007508138395,0.07670065439050373,1659,1,0,0
407845,R,5189,3275,94.57920610687023,2.445973633631659,0.008864906533050684,1286,2,0,0
407890,R,4899,2502,88.28333333333333,2.4289100417993668,0.4186568687487242,1331,0,0,2
407908,R,978,500,90.25439999999999,2.5669423800344657,0.18200408997955012,237,0,1,0
408061,R,2167,1040,89.73884615384615,2.166773839174657,0.1116751269035533,569,0,0,0
408241,R,3721,1729,90.06084441873917,2.5738505336553024,0.14565976887933352,935,0,1,0
421685,R,2811,1903,89.76694692590647,2.505999951769055,0.21629313411597295,731,0,1,0
424144,L,3550,1959,91.86421643695763,2.555062141357931,0.44253521126760564,909,1,1,2
425386,R,2506,1168,92.41909246575342,2.480654383694751,0.2174780526735834,672,0,0,0
425426,R,833,701,92.12710413694721,2.4735935253315744,0.11284513805522209,231,0,0,0
425492,R,3555,2155,95.18454756380511,2.5258221205177858,0.07454289732770746,967,2,1,0
425532,R,2239,1123,90.53633125556546,2.1795678990809075,0.05895489057615007,620,0,0,0
425626,L,1174,526,89.15247148288972,2.37836582280797,0.3083475298126065,295,0,0,1
425657,L,978,685,85.00934306569343,1.8239751520761587,0.24335378323108384,261,0,0,1
425786,R,337,113,90.66637168141592,2.681482867779873,0.6646884272997032,87,0,2,2
425794,R,17998,7108,89.32953010692178,2.4833796810090396,0.31759084342704746,4680,0,0,1
425840,L,1059,501,90.6497005988024,2.5522596528703403,0.5146364494806421,264,0,1,2
425844,R,23221,10941,90.32432136002194,2.393518135693618,0.3061883639808794,5978,0,0,1
425856,R,693,395,93.0179746835443,2.46132247569438,0.2987012987012987,179,1,0,1
429400,L,516,324,91.9324074074074,2.686357157387256,0.28875968992248063,121,1,2,1
429717,R,2876,1184,86.42787162162162,2.3447477125029037,0.14221140472879,748,0,0,0
429719,R,6327,3096,93.09576873385014,2.3957857072759623,0.31895052947684527,1630,1,0,1
429722,R,9532,4937,92.82122746607251,2.530696403296227,0.3917331095258078,2518,1,1,2
429780,L,578,237,89.65822784810126,2.332635161735044,0.11245674740484429,157,0,0,0
429781,R,413,152,88.73486842105264,2.448337439889111,0.387409200968523,110,0,0,2
429783,R,697,429,91.37319347319347,2.573224516419368,0.17073170731707318,174,0,1,0
430580,R,4136,1895,93.38696569920843,2.3330697764290833,0.09477756286266925,1109,1,0,0
430589,R,1504,891,91.4253647586981,2.1646493906431945,0.39228723404255317,418,0,0,2
430599,R,3176,1223,91.20539656582174,2.512290659403532,0.4688287153652393,810,0,1,2
430630,R,541,326,92.56656441717791,2.5187059368865965,0.19038817005545286,124,0,1,0
430641,R,3082,1800,93.15688888888889,2.393460582466222,0.4042829331602855,832,1,0,2
430661,R,2710,1678,94.53611442193088,2.3651054264075015,0.3051660516605166,717,2,0,1
430911,R,487,323,92.06006191950465,2.836193202579482,0.25256673511293637,126,0,2,1
430912,R,4575,2390,90.24744769874476,2.714661149658944,0.3510382513661202,1181,0,2,2
430935,L,14307,6973,92.35301878674889,2.518740549894385,0.14160900258614664,3731,1,1,0
431148,L,5498,3130,91.93150159744408,2.4162496725601073,0.13423062931975263,1383,1,0,0
431162,R,381,235,89.42765957446808,2.517845661578015,0.2152230971128609,100,0,1,0
432934,R,4162,2162,87.55360777058279,2.8936164853889785,0.4550696780394041,1052,0,2,2
433579,L,3276,1463,89.74764183185235,2.389747664572999,0.12179487179487179,868,0,0,0
433584,R,1475,825,89.57078787878787,2.180554723198719,0.15050847457627117,395,0,0,0
433585,L,400,188,86.59840425531915,2.292300606133971,0.365,100,0,0,2
433586,R,3349,1939,93.85575038679731,2.3218312919144832,0.3774260973424903,873,1,0,2
433587,R,10565,4786,90.76776013372336,2.2324777475762674,0.306389020350213,2845,0,0,1
433589,R,7207,3334,88.99274145170965,2.4218819647149417,0.2163174691272374,1992,0,0,0
434137,R,331,178,92.3005617977528,2.5583935754150655,0.4259818731117825,85,0,1,2
434378,R,21220,11742,94.58258388690172,2.8723187024549452,0.39660697455230914,5319,2,2,2
434442,L,1810,988,86.54534412955466,2.4058214379697223,0.39723756906077345,454,0,0,2
434538,L,10792,5186,92.90688391824142,2.39950446288642,0.31764269829503333,2778,1,0,2
434622,R,8073,4733,90.70642298753434,2.3507243450487105,0.221850613154961,2069,0,0,0
434628,R,10373,5328,92.38243243243242,2.6188824226826095,0.44789356984478934,2715,0,1,2
434643,L,1587,963,88.90404984423677,2.4891590750786077,0.34215500945179583,392,0,1,2
434665,R,390,263,92.57604562737643,2.345522324255423,0.19230769230769232,111,1,0,0
434671,R,13887,6053,91.0050718651908,2.5688801643916337,0.1784402678764312,3571,0,1,0
434672,R,1405,687,86.43580786026202,2.1246091558804965,0.25551601423487547,350,0,0,1
434718,R,1473,620,88.92677419354838,2.451649131234001,0.361846571622539,375,0,0,2
435043,L,3597,1943,89.39114770972722,2.080523798829024,0.3803169307756464,928,0,0,2
435045,R,251,130,93.23615384615385,2.2762288794377556,0.3665338645418327,72,1,0,2
435221,R,3670,1731,93.04754477180819,2.348117495171316,0.2651226158038147,938,1,0,1
435400,R,1896,1161,94.86528854435832,2.7279875608796362,0.020569620253164556,476,2,2,0
444436,R,960,558,92.27491039426523,2.260388151099196,0.24166666666666667,280,0,0,1
444446,R,278,201,92.55124378109453,2.435886719235896,0.20503597122302158,75,0,0,0
444468,R,5180,3157,96.70205891669308,2.5311060901691063,0.3521235521235521,1318,2,1,2
444520,L,1816,1021,90.00156709108718,2.351713141067511,0.21145374449339208,501,0,0,1
444857,R,4926,1744,90.25711009174312,2.44472246129458,0.2574096630125863,1242,0,0,1
444935,L,455,333,94.58018018018018,2.6868716083134694,0.0945054945054945,124,2,2,0
445060,R,6844,3334,90.92327534493101,2.423581469671965,0.40575686732904737,1773,0,0,2
445163,R,600,291,88.8618556701031,2.298212086402228,0.22333333333333333,165,0,0,0
445170,R,278,206,90.55922330097087,2.739276559725663,0.23741007194244604,72,0,2,1
445197,L,3203,1841,93.70081477457904,2.5689081749359572,0.4239775210739931,779,2,1,2
445213,R,4744,3774,92.76489136195019,2.311042612373192,0.10792580101180438,1273,1,0,0
445276,R,8177,1210,93.84404958677686,2.564038672800283,0.10333863275039745,2086,1,1,0
445590,L,750,376,87.90212765957446,2.5240053370514377,0.2946666666666667,185,0,1,1
445612,R,613,443,92.4864559819413,2.810961152274811,0.18923327895595432,156,0,2,0
445926,R,11359,5141,91.85819879400894,2.320032715740897,0.13346245268069373,2885,0,0,0
445968,L,518,252,89.90634920634922,2.2073693198809234,0.4555984555984556,138,0,0,2
446099,R,3656,2632,96.05178571428571,2.5208505071679426,0.2759846827133479,886,2,1,1
