head,grouping,cell,class,n_rows,observed,predicted,gap,relative_gap
swing,overall,all,positive,705344,0.4779752858179839,0.4793513264389894,0.0013760406210055476,0.0028788949174446497
swing,count,0-0,positive,180133,0.3150672003464107,0.30774848389157217,-0.007318716454838559,-0.0232290649321534
swing,count,0-1,positive,92243,0.4883622605509361,0.4894400280523997,0.0010777675014636001,0.002206901696801342
swing,count,0-2,positive,48696,0.5044356826022671,0.5151243726370686,0.01068869003480144,0.02118940115350476
swing,count,1-0,positive,67644,0.43072556324285965,0.43093243739029374,0.0002068741474340885,0.00048029224426933973
swing,count,1-1,positive,71099,0.5432003263055739,0.5452993088163525,0.0020989825107785576,0.0038641039210233984
swing,count,1-2,positive,70047,0.5753137179322455,0.5800823920734598,0.004768674141214291,0.008288823979990506
swing,count,2-0,positive,22441,0.42671895191836373,0.4304664227194458,0.0037474708010820645,0.008782058505334442
swing,count,2-1,positive,36244,0.5774473016223375,0.5811799292234847,0.0037326276011472315,0.00646401427569307
swing,count,2-2,positive,59237,0.6430778061009167,0.6499548883269279,0.006877082226011244,0.01069401270074626
swing,count,3-0,positive,6807,0.0987219039224328,0.09682216097464688,-0.0018997429477859151,-0.019243378341635003
swing,count,3-1,positive,14895,0.5508559919436052,0.5543187144855876,0.0034627225419823215,0.006286075839466993
swing,count,3-2,positive,35858,0.7038596686931786,0.7179805050637165,0.014120836370537848,0.020062005252773334
swing,handedness,LvL,positive,53106,0.46699054720747185,0.4681516231764341,0.0011610759689622552,0.00248629437127861
swing,handedness,LvR,positive,249830,0.4713044870511948,0.4724233330459272,0.001118845994732387,0.0023739345274063853
swing,handedness,RvL,positive,136118,0.48342614496245906,0.4843469349282206,0.0009207899657615592,0.0019047169363027813
swing,handedness,RvR,positive,266290,0.48363813887115553,0.4855310545343472,0.0018929156631916633,0.003913908997354629
swing,two_strike,0,positive,491506,0.4251036609929482,0.42348075416756104,-0.0016229068253871826,-0.003817673133175167
swing,two_strike,1,positive,213838,0.5995005564960391,0.6077696688048958,0.00826911230885674,0.01379333550111788
contact,overall,all,positive,337137,0.7667565411094006,0.7517511272288462,-0.01500541388055443,-0.01956998483357374
contact,count,0-0,positive,56754,0.7508017056066533,0.7370078281209297,-0.013793877485723582,-0.018372197855594945
contact,count,0-1,positive,45048,0.7396332800568283,0.7253991979432393,-0.014234082113589008,-0.019244783188359725
contact,count,0-2,positive,24564,0.7429978830809314,0.7224981694741808,-0.020499713606750625,-0.027590541068227625
