head,grouping,cell,class,n_rows,observed,predicted,gap,relative_gap
swing,overall,all,positive,705307,0.4757701256332349,0.4855098600335612,0.009739734400326328,0.020471513185833286
swing,count,0-0,positive,180379,0.31457653052738954,0.31723636580347203,0.0026598352760824895,0.008455288357409432
swing,count,0-1,positive,91609,0.4893623988909387,0.4974317360579296,0.00806933716699093,0.016489491602294716
swing,count,0-2,positive,47794,0.49985353810101685,0.5163169606589137,0.0164634225578969,0.032936492998414585
swing,count,1-0,positive,68451,0.42593972330572233,0.4382989360847052,0.012359212778982887,0.029016342225756536
swing,count,1-1,positive,70954,0.544676832877639,0.5527402114892779,0.00806337861163886,0.014803968380733917
swing,count,1-2,positive,69530,0.5708758809147131,0.584417299478411,0.013541418563697949,0.023720425080843432
swing,count,2-0,positive,23065,0.4078907435508346,0.4358900129548038,0.027999269403969185,0.06864404217714172
swing,count,2-1,positive,36464,0.5824648968845985,0.5906303316980003,0.008165434813401817,0.014018758653226795
swing,count,2-2,positive,59349,0.6421506680820233,0.6532009462841105,0.01105027820208726,0.017208232820332105
swing,count,3-0,positive,7100,0.08295774647887325,0.09584987907225577,0.012892132593382524,0.15540601258576556
swing,count,3-1,positive,14857,0.5396109577976711,0.5575628774773477,0.017951919679676576,0.03326826377459834
swing,count,3-2,positive,35755,0.7059432247238149,0.7212240829964237,0.015280858272608833,0.02164601590813077
swing,handedness,LvL,positive,58198,0.4670607237362109,0.4719617879054346,0.004901064169223701,0.010493419635070302
swing,handedness,LvR,positive,256020,0.47013905163659087,0.47890211413024536,0.008763062493654494,0.018639299294856675
swing,handedness,RvL,positive,133645,0.4813199146993902,0.4910524898322926,0.009732575132902432,0.020220595150277423
swing,handedness,RvR,positive,257444,0.4804578859868554,0.49226644029345534,0.011808554306599939,0.024577709412231405
swing,two_strike,0,positive,492879,0.4232864455576318,0.4312781131914164,0.007991667633784616,0.01888004616650671
swing,two_strike,1,positive,212428,0.5975436383150997,0.6113392664762595,0.013795628161159756,0.02308723125236416
contact,overall,all,positive,335564,0.7673796950805212,0.7553735438306088,-0.012006151249912334,-0.015645646251628443
contact,count,0-0,positive,56743,0.7518989126412069,0.7398937668289353,-0.012005145812271634,-0.015966435927006428
contact,count,0-1,positive,44830,0.741133169752398,0.728447803353817,-0.012685366398580977,-0.01711617684419519
contact,count,0-2,positive,23890,0.7409376308078695,0.7229824943737846,-0.017955136434084862,-0.024232993017924826
contact,count,1-0,positive,29156,0.7628618466181918,0.7532590519590949,-0.009602794659096858,-0.012587855457271289
contact,count,1-1,positive,38647,0.7614562579242891,0.7509525686218496,-0.0105036893024395,-0.013794212330820286
contact,count,1-2,positive,39693,0.7569596654321921,0.7422407969153736,-0.014718868516818473,-0.019444719697732666
contact,count,2-0,positive,9408,0.7955994897959183,0.785505774142497,-0.01009371565342132,-0.012686930777206116
contact,count,2-1,positive,21239,0.7880785347709403,0.7797900234590741,-0.008288511311866142,-0.010517367173660233
