model,stratum,target,n_hitters,pa,scoring_pa,pa_weighted_rmse,noise_floor,model_rmse,rank_corr,rank_corr_weighted,stratum_basis,skill_vs_no_info
model_v1,low,woba,167,23925.0,23798.0,0.05322197654263181,0.03946492687599858,0.03570851906445486,-0.03172139887415755,-0.08097779427477679,pooled_prior_pa,0.03278703359848567
model_v1,medium,woba,96,23825.0,23668.0,0.03688291613739231,0.031282326430206876,0.019538821763655404,0.2757460661964189,0.46209158921189913,pooled_prior_pa,0.22396198344617857
model_v1,high,woba,369,134963.0,134050.0,0.03376304919630138,0.025974568544521688,0.021570008807550632,0.5045205067209309,0.5031817186904443,pooled_prior_pa,0.257112383925987
model_v1,all,woba,632,182713.0,181516.0,0.03729073012409987,0.028810521698609173,0.023675987680399302,0.40853506237979653,0.4729579306755377,pooled_prior_pa,0.20343378282406377
trailing_raw,low,woba,167,23925.0,23798.0,0.07152643754646272,0.03946492687599858,0.05965359012465316,0.18445664066588124,0.09888198547253149,pooled_prior_pa,-0.7469211453315381
trailing_raw,medium,woba,96,23825.0,23668.0,0.05543281691520373,0.031282326430206876,0.04576257471196826,0.04781606077048291,0.08853944868986284,pooled_prior_pa,-0.7529373389640839
trailing_raw,high,woba,369,134963.0,134050.0,0.03472466889589478,0.025974568544521688,0.023046136744701205,0.48773704775825666,0.4845210324645223,pooled_prior_pa,0.2141927663508394
trailing_raw,all,woba,632,182713.0,181516.0,0.04429333278131146,0.028810521698609173,0.03364302555255651,0.3445624260634631,0.38866907627261943,pooled_prior_pa,-0.12382018757284019
trailing_bucketed,low,woba,167,23925.0,23798.0,0.05463500567764211,0.03946492687599858,0.03778231586427797,0.17303641190774524,0.13819270415167187,pooled_prior_pa,-0.01925323062852846
trailing_bucketed,medium,woba,96,23825.0,23668.0,0.045556788209330984,0.031282326430206876,0.033118529633179954,0.0649891481280521,0.10907525826140467,pooled_prior_pa,-0.18396452952183706
trailing_bucketed,high,woba,369,134963.0,134050.0,0.034794525885441276,0.025974568544521688,0.023151259588164688,0.4721126747107659,0.4806174213874422,pooled_prior_pa,0.2110279071428205
trailing_bucketed,all,woba,632,182713.0,181516.0,0.03944670045967154,0.028810521698609173,0.02694431325176095,0.3075255958285137,0.39112250284322386,pooled_prior_pa,0.10866394332093421
no_info_league_average,low,woba,167,23925.0,23798.0,0.05411653034146904,0.03946492687599858,0.03702861599994285,0.057101354766440265,0.12316968766521125,pooled_prior_pa,0.0
no_info_league_average,medium,woba,96,23825.0,23668.0,0.041868148185247554,0.031282326430206876,0.027827286708837214,-0.13933945340642506,-0.24671863955394824,pooled_prior_pa,0.0
no_info_league_average,high,woba,369,134963.0,134050.0,0.03917239293324258,0.025974568544521688,0.029322315001416546,-0.1150594130123599,-0.09032121876067278,pooled_prior_pa,0.0
no_info_league_average,all,woba,632,182713.0,181516.0,0.041782069266034665,0.028810521698609173,0.030260455244521495,-0.15822677403114677,-0.15049795194067642,pooled_prior_pa,0.0
