batter,embedding_index,n_pitches,swing_rate,stand,whiff_rate,contact_rate,chase_rate,zone_swing_rate,ev_mean,ev_p90,la_mean,bat_speed_mean,pull_rate,woba_level,prior_pa_L,prior_pa_R,n_pa_L,n_pa_R,log_prior_pa,stratum,obs_platoon_diff,name,stand_names,pc1,pc2,pc3,pc4,pc5,tsne1,tsne2
116338,1,2080,0.5326923076923077,R,0.2148014440433213,0.7851985559566786,0.3390970220941403,0.726660250240616,88.475,103.3,10.803398058252426,,0.4203980099502487,0.3040441696113074,171.0,395.0,171.0,395.0,6.340359303727752,medium,0.0085593160115478,Torii Hunter,R,-0.6251507012870264,0.12122563078555308,-0.44886898510783685,-1.0488770138081276,0.37144727347663364,-15.142494,10.479403
120074,2,4940,0.441497975708502,L,0.1994497936726272,0.8005502063273727,0.2665070133424563,0.6950917203767972,93.09636776390464,107.3,16.33144154370034,,0.507531865585168,0.3991414392059553,336.0,873.0,336.0,873.0,7.098375638590786,medium,0.0912228665521191,David Ortiz,L,0.7829425674471813,-0.40640621984012604,0.9483748365719066,-0.3420605650878601,-0.3888682657823139,2.6244361,-13.389189
121347,3,3412,0.4533997655334115,R,0.2895927601809954,0.7104072398190046,0.2678279804028307,0.6698412698412698,90.869926199262,106.3,11.723247232472325,,0.4476614699331848,0.3318333333333333,271.0,587.0,271.0,587.0,6.755768921984255,medium,0.033937520823249,Alex Rodriguez,R,0.06864099201031748,-0.8139673350736115,0.08234437982356956,-0.2102414432891132,0.37818880794555115,-5.258071,-5.762097
133380,4,1809,0.5301271420674406,R,0.1657977059436913,0.8342022940563086,0.3469601677148847,0.7345029239766082,87.37037037037037,102.02,15.782716049382715,,0.4059405940594059,0.3087115009746589,121.0,392.0,121.0,392.0,6.2422232654551655,medium,-0.016429709900489,Aramis Ramírez,R,-0.032134823294923676,0.5028335384324077,0.28269839950675,-0.7785995734564077,-0.10062999990125117,-2.9279456,1.3164889
134181,5,8202,0.4740307242136064,R,0.1687242798353909,0.831275720164609,0.3256838201205377,0.6386316872427984,89.02463768115942,103.2,13.38707729468599,,0.4115815691158156,0.3536983451536643,586.0,1529.0,586.0,1529.0,7.65728279297819,high,0.0457413587590988,Adrian Beltré,R,0.5447364461707878,1.3205646533226572,0.9112443338087296,-0.5787035341037974,-0.5307122490833349,8.459501,8.655148
136860,6,6170,0.4628849270664505,L,0.1740196078431373,0.8259803921568627,0.2993781462836837,0.6605800214822771,89.40817506193228,104.1,13.786127167630058,,0.5068744271310724,0.3310357142857142,441.0,1183.0,441.0,1183.0,7.393263094763838,medium,0.0112087107032162,Carlos Beltrán,L,0.822632111240183,0.6101106282735927,0.8237381056181714,-0.19996980060854258,-0.8523136612721197,9.340701,7.240746
150029,7,5641,0.3816699166814394,R,0.2006502554575011,0.7993497445424989,0.2227470930232558,0.5330564209068882,90.20578817733993,105.49,14.963054187192116,,0.4166666666666667,0.3155825471698113,280.0,992.0,280.0,992.0,7.149131598557407,medium,0.0870464861751151,Jayson Werth,R,-0.0679097877555768,0.26537779962273994,0.20542557969499625,0.013588142784266344,0.1750265892514949,11.459892,13.468893
150212,8,1522,0.5137976346911958,R,0.2212276214833759,0.7787723785166241,0.3506666666666667,0.6722797927461139,87.45338078291816,103.1,7.740213523131673,,0.3905109489051095,0.306375,112.0,296.0,112.0,296.0,6.013715156042802,low,0.0141529922779922,Michael Cuddyer,R,0.785268335092258,0.7457747340180352,-0.09096592483119996,-0.10911149481963764,-0.20498125558486519,-1.4790686,6.781892
150229,9,2261,0.5612560813799203,L,0.1457840819542947,0.8542159180457053,0.4031496062992126,0.763874873864783,86.17530017152659,101.4,9.353344768439108,,0.457092819614711,0.2967052023121387,128.0,564.0,128.0,564.0,6.541029999189903,medium,0.0730444370567375,A. J. Pierzynski,L,0.6969796125812954,1.8206544073234785,-0.13287059250773686,-0.18455286128675327,-0.7318844400350184,-3.5264337,13.389784
217100,10,240,0.525,R,0.1825396825396825,0.8174603174603174,0.3442622950819672,0.711864406779661,86.66603773584906,97.82,12.62264150943396,,0.4181818181818181,0.1688611111111111,41.0,31.0,41.0,31.0,4.290459441148391,low,0.0969079464988198,Willie Bloomquist,R,-0.4530044941627109,0.3013947917338045,-0.011952809656161719,0.49278789860946104,-0.6348750718799462,3.0937085,15.624147
276519,11,2783,0.4444843693855551,L,0.1754244139046079,0.824575586095392,0.2572214580467675,0.6493604213694507,85.44578544061302,98.8,15.195402298850574,,0.5532319391634981,0.2814038461538461,144.0,584.0,144.0,584.0,6.591673732008658,medium,-0.1110477549467275,Jimmy Rollins,L,-0.6309212394180609,-0.28288946953514754,1.2247897359286248,-0.3347797775996237,-0.8847627405937858,8.754266,11.815874
285078,12,674,0.5281899109792285,L,0.348314606741573,0.651685393258427,0.3831325301204819,0.7606177606177607,88.20833333333333,103.93,9.041666666666666,,0.6050420168067226,0.3144230769230769,59.0,123.0,59.0,123.0,5.209486152841421,low,0.0090275595976298,Josh Hamilton,L,1.4568719016913905,0.13769975383298805,0.30784628105338874,-0.24353919869668347,-0.740213900125799,17.527487,-11.303259
346874,13,2458,0.5203417412530512,R,0.2134480062548865,0.7865519937451134,0.3040488922841864,0.7667536988685814,88.49893162393163,104.83,10.457264957264956,,0.3493449781659388,0.2944003067484663,183.0,469.0,183.0,469.0,6.481577129276431,medium,0.0103675183799969,Juan Uribe,R,0.2535695869847674,0.012335746661528084,-0.5629899253416678,0.6438688693255231,0.037540936040594435,11.85113,-4.525532
400085,14,4059,0.43729982754373,L,0.1284507042253521,0.8715492957746479,0.2536413862380713,0.6141199226305609,82.93454987834549,97.2,5.081508515815085,,0.3828220858895705,0.27909537299339,227.0,832.0,227.0,832.0,6.966024187106113,medium,-0.0927059577261945,Ichiro Suzuki,L,-0.8631229920253112,1.3141505208853859,0.28873191827661987,0.22066882119003578,0.7008237636744278,-4.4084115,16.131462
400121,15,7761,0.4741657002963536,L,0.1404891304347826,0.8595108695652174,0.3014064015518913,0.6700577398955183,88.5901875,101.4,14.5375,,0.4766600920447074,0.3078272952853598,493.0,1522.0,493.0,1522.0,7.60887062919126,high,-0.0227352168199737,Víctor Martínez,L,-0.49763172268537065,0.6737489423306724,0.9981760518188164,-0.2673280806138462,-0.9593415526480306,-3.1550572,5.504825
400284,16,5906,0.3958686081950558,L,0.1479897348160821,0.8520102651839179,0.2112914131169709,0.5810719131614654,87.74225746268657,100.9,12.72108208955224,,0.5019493177387915,0.2975523370638578,257.0,1262.0,257.0,1262.0,7.326465613840322,medium,0.0729912374280833,Chase Utley,L,0.47319699616714667,0.6609018604294066,1.2479493319770198,-0.04597281782222337,0.3793834653014171,2.1778927,-6.159282
405395,17,14459,0.4663531364548032,R,0.1706955361115231,0.8293044638884769,0.3172975814931651,0.6318785578747628,90.0007402422611,105.1,13.513286242852338,,0.4898590580955655,0.3166066312997347,1109.0,2661.0,1109.0,2661.0,8.235095497258357,high,0.0304370334074425,Albert Pujols,R,0.6491875661952307,1.1078572670399072,0.668654282047864,-1.5457910119384155,0.47464358676579216,-19.91231,3.9138572
407781,18,2467,0.5962707742197001,R,0.292318150917743,0.707681849082257,0.4159090909090909,0.8038360941586749,86.45397196261683,102.66,13.032710280373832,,0.417607223476298,0.3189776119402985,181.0,489.0,181.0,489.0,6.508769136971682,medium,0.0565774666983018,Marlon Byrd,R,-0.343202121734142,-0.5356000110114161,-0.5642624744223674,-0.47643093983175744,-0.7520342691475024,-13.606911,-3.0023656
407812,19,4624,0.4684256055363321,R,0.229455216989843,0.7705447830101569,0.274079874706343,0.7082125603864734,91.31080050825922,108.04,9.7712833545108,,0.3588390501319261,0.3358587047939445,342.0,847.0,342.0,847.0,7.081708586105575,medium,0.0207296270980481,Matt Holliday,R,0.15119012410417554,-0.2487612672718935,-1.4695294874288438,-0.010370581722162394,1.4585758841071166,-9.470986,3.7622125
407862,20,84,0.5357142857142857,R,0.0888888888888889,0.9111111111111112,0.3421052631578947,0.6956521739130435,88.675,101.75,16.5,,0.1875,0.2290833333333333,6.0,18.0,6.0,18.0,3.218875824868201,low,-0.0263333333333333,Reed Johnson,R,-0.24418822976945548,0.2716839245409482,0.2602121102938542,0.19147233557874418,-0.05276939533249423,3.9787261,9.945366
407893,21,3593,0.4269412747008071,L,0.2073011734028683,0.7926988265971316,0.2371663244353182,0.6516717325227963,89.00256410256411,103.6,14.294017094017097,,0.574757281553398,0.335097424412094,277.0,616.0,277.0,616.0,6.795705775173514,medium,0.0134028845703033,Mark Teixeira,L,0.7522359932739205,0.05150643514965214,1.0465562766492909,-0.5306402120069168,-0.6134729674705901,7.498557,-5.2153955
408042,22,4,0.5,R,0.0,1.0,0.5,0.5,64.75,77.42999999999999,42.5,,0.0,0.0,0.0,2.0,0.0,2.0,1.0986122886681098,low,,Gerald Laird,R,0.034051853874479406,0.0014190700968072527,0.04875134787144725,-0.014884058738333072,-0.041250922958471166,0.48735777,0.4288152
408045,23,9926,0.3698367922627443,L,0.135930264233179,0.864069735766821,0.2144424496309595,0.5283940565845715,90.24958920187792,102.9,4.715962441314554,,0.3644578313253012,0.326108085106383,622.0,1728.0,622.0,1728.0,7.762596048540069,high,0.0166807044182445,Joe Mauer,L,0.17454178524549235,0.6220841688308995,0.10646144797763306,0.47566608889982687,2.3731231617261064,-2.313853,11.225677
408047,24,1473,0.539714867617108,L,0.2088050314465408,0.7911949685534592,0.3602409638554217,0.7713841368584758,89.51597222222222,103.75,9.54861111111111,,0.425531914893617,0.3299571788413098,77.0,320.0,77.0,320.0,5.986452005284438,low,-0.0226260551948051,Justin Morneau,L,0.6220747861691048,0.9252571979039766,-1.1271856236967057,-0.7493849030270259,0.3078540800197311,-11.520193,12.587895
408234,25,15093,0.4863181607367653,R,0.2286103542234332,0.7713896457765668,0.3015479876160991,0.6989170703904246,91.71941818181818,106.5,10.491272727272728,66.68419354838709,0.3649253731343284,0.3366611633223266,925.0,3012.0,925.0,3012.0,8.278428259199071,high,0.0395754965722695,Miguel Cabrera,R,-0.0691935612393257,0.022615872174502904,-0.7990801563630182,0.545467296253227,-0.13460500585817275,16.895433,-0.3991606
408236,26,6430,0.4959564541213064,L,0.2088428974600188,0.7911571025399812,0.3152831225948323,0.7313753581661891,88.34987834549878,102.3,12.211678832116789,,0.4447215295095594,0.3280023668639053,434.0,1256.0,434.0,1256.0,7.43307534889858,medium,0.0545720192843934,Adrián González,L,0.5542206750385672,0.46410507368373527,0.14796816737326857,-0.10152722247291564,0.4499254400409597,-2.7587497,11.008238
408242,27,58,0.4827586206896552,R,0.3214285714285714,0.6785714285714286,0.3823529411764705,0.625,75.7375,92.13,-1.125,,0.6666666666666666,0.1965714285714286,4.0,10.0,4.0,10.0,2.70805020110221,low,-0.2752,Wil Nieves,R,0.12310329328276312,0.17684675097431254,0.02281067734541976,-0.2868529087935257,-0.025475224503790705,-1.9738497,2.6334412
408252,28,6434,0.5582841156356855,R,0.1831848552338529,0.816815144766147,0.3831497469484966,0.7495934959349594,85.70026755852842,100.56000000000002,9.6561872909699,,0.3454172366621067,0.3141810722100656,425.0,1403.0,425.0,1403.0,7.511524648390866,medium,-0.0242556790071695,Brandon Phillips,R,-1.2578862752960465,1.0471047731693088,-0.04114755669689037,0.3315778528067407,-0.03287509402112132,-1.4479713,17.229862
408299,29,2065,0.4736077481840193,R,0.2024539877300614,0.7975460122699386,0.3376237623762376,0.6037914691943128,84.54851063829788,98.8,14.108510638297872,,0.4340425531914894,0.2431766666666666,164.0,436.0,164.0,436.0,6.398594934535208,medium,0.0041034907138062,Omar Infante,R,-0.10070221335250217,1.0092516025737177,1.3640858390055588,0.7367624308813581,-0.7819691426972343,5.9102697,13.221214
408307,30,996,0.5190763052208835,L,0.2030947775628626,0.7969052224371374,0.3481481481481481,0.7214912280701754,88.64320388349515,103.1,6.766990291262136,,0.4154589371980676,0.2746642599277978,41.0,236.0,41.0,236.0,5.627621113690637,low,0.0454099834642413,Carl Crawford,L,0.22482377942737217,0.7012255516610238,-0.3069534493218956,0.031083780674461176,0.10694310520337204,-1.4036312,5.1751227
408314,31,5839,0.4648056174002398,L,0.1643330876934414,0.8356669123065585,0.3114806523824752,0.6415929203539823,84.70090759075907,100.39,14.802805280528052,,0.4695431472081218,0.3025075376884422,406.0,1186.0,406.0,1186.0,7.373374309910049,medium,-0.0526415072396348,José Reyes,L,-0.2548258339744739,1.3512140104642554,0.25046842240966616,-0.313139029831891,0.036007251340357815,-2.9857094,9.920623
424325,32,1534,0.470013037809648,R,0.3162274618585298,0.6837725381414702,0.2493506493506493,0.6924083769633508,87.49086538461538,101.49,17.048076923076923,,0.4416243654822335,0.27625,112.0,256.0,112.0,256.0,5.910796644040527,low,0.0389408482142856,David Ross,R,-0.08574076466061432,-0.8840903470478788,0.46123177134152327,-0.3911980820596024,-0.36828412229133056,-5.142508,-14.001341
424825,33,2409,0.4209215442092154,L,0.1814595660749507,0.8185404339250493,0.2386081193040596,0.6039933444259568,85.13420479302832,99.22,13.586056644880175,,0.5043103448275862,0.2833185419968304,151.0,480.0,151.0,480.0,6.448889394146858,medium,0.0263186534216334,Coco Crisp,L,0.13306508848874124,0.07150681576762408,1.8017589852227647,0.8165426303654573,-0.6282947875907482,19.751108,4.1666617
425496,34,104,0.4807692307692308,R,0.1999999999999999,0.8,0.15,0.6875,89.39375,99.8,7.5,,0.5,0.15292,16.0,9.0,16.0,9.0,3.258096538021482,low,-0.1188749999999999,Cody Ross,R,-0.27465644718601573,-0.24527598613227444,0.4857780916739561,0.002523235399181106,0.12487394420969232,0.48200056,-8.263351
425509,35,3854,0.4883238194084068,R,0.20403825717322,0.79596174282678,0.2822384428223844,0.7237354085603113,87.87297668038408,102.42000000000002,13.37997256515775,,0.429355281207133,0.3117144278606965,284.0,721.0,284.0,721.0,6.913737350659685,medium,-0.0498755005762732,Jhonny Peralta,R,0.2125709522207155,-0.6087280167569417,0.9097749940317298,-0.916665214896177,0.4669256711757682,-1.7395589,-11.008466
425543,36,134,0.6194029850746269,R,0.3373493975903614,0.6626506024096386,0.3666666666666666,0.8243243243243243,81.99130434782609,97.32,18.695652173913043,,0.4,0.328325,14.0,26.0,14.0,26.0,3.713572066704308,low,0.0201593406593407,Josh Wilson,R,-0.5072200866218596,-0.32993826879091015,-0.2742411869105743,-0.2785580555506824,-0.4259223646891797,-12.982861,-3.5657465
425549,37,842,0.5427553444180523,R,0.2166301969365426,0.7833698030634574,0.3829787234042553,0.7040572792362768,83.7095890410959,98.0,20.636986301369863,,0.3931034482758621,0.2747534246575342,105.0,114.0,105.0,114.0,5.393627546352362,low,0.0269293233082706,Clint Barmes,R,0.03164193421038324,0.5783615674201023,0.401884361160764,-1.1857728600236337,-0.20986564776966998,-19.709068,-0.36892688
425557,38,315,0.4507936507936508,R,0.2535211267605634,0.7464788732394366,0.2764705882352941,0.6551724137931034,85.6872340425532,102.8,2.7872340425531914,,0.4680851063829787,0.29235,59.0,21.0,59.0,21.0,4.394449154672439,low,0.0801517352703793,Jeff Baker,R,0.0867989331597462,-0.12207706434203132,-0.42590417542878806,0.27297551312432944,-0.17168629668559135,-0.05603125,-1.9281534
425560,39,1901,0.4308258811152025,L,0.2503052503052503,0.7496947496947497,0.2618110236220472,0.6248587570621469,89.57508650519031,102.76,13.176470588235292,,0.5076335877862596,0.2831136363636364,94.0,390.0,94.0,390.0,6.184148890937483,low,0.1369707037643208,Adam Laroche,L,0.2262372548644821,-0.6172416298717716,0.9336683637599692,-0.2234616334237702,-0.043510541633878505,3.24994,-6.884341
425567,40,1530,0.4725490196078431,R,0.1687413554633471,0.8312586445366529,0.2860892388451443,0.6575520833333334,88.24203821656052,103.17,15.187898089171975,,0.4200626959247649,0.2789416058394161,116.0,295.0,116.0,295.0,6.021023349349527,medium,-0.0378118351841029,Alex Ríos,R,0.9166399930487803,0.3187172692830822,1.324303271406721,-0.8744098960593805,0.2958264884271514,6.380195,-3.332357
425664,41,766,0.3981723237597911,R,0.1868852459016393,0.8131147540983606,0.2811671087533156,0.5115681233933161,83.44265734265734,98.14,16.986013986013987,,0.4014598540145985,0.27063,123.0,77.0,123.0,77.0,5.303304908059076,low,0.0798756203146447,Shane Victorino,R,-0.46260049343191106,0.850130522309265,0.6228798982553938,-1.394745568822146,0.9687080104139721,10.270498,9.910751
