batter,embedding_index,swing,contact,split_inplay,ev,la,spray
116338,1,0.52421045,0.6676839,0.3965846,83.40309,10.74633,3.8342245
120074,2,0.49162462,0.6498655,0.41028216,86.61999,13.564685,7.9922433
121347,3,0.44730604,0.59163404,0.38242882,84.32218,7.922466,5.0454807
133380,4,0.54132485,0.7042254,0.41124472,83.130646,15.134187,4.4239006
134181,5,0.48155272,0.7076247,0.44150013,84.43399,11.425019,3.7947457
136860,6,0.48831695,0.68623644,0.40629572,83.05957,11.208038,9.7797365
150029,7,0.37073848,0.6506333,0.3979968,84.0283,14.487049,2.774061
150212,8,0.49692202,0.6428131,0.3930979,82.34713,9.026917,3.7164156
150229,9,0.603334,0.74549365,0.457237,82.609764,8.429644,2.938918
217100,10,0.5182877,0.6583662,0.39356637,80.843346,10.418129,0.254919
276519,11,0.43762988,0.65294164,0.36964244,79.5321,14.345754,9.628516
285078,12,0.5379632,0.6209161,0.39749825,82.457375,8.790566,6.751292
346874,13,0.530027,0.64571196,0.39397478,82.57413,9.429242,1.5250537
400085,14,0.44032195,0.7467382,0.45615885,79.774895,5.0056963,-0.24879536
400121,15,0.49635053,0.73246425,0.43662867,84.01784,12.213489,5.881984
400284,16,0.4129636,0.68528175,0.43412456,81.166084,9.621698,5.659334
405395,17,0.4807578,0.7242545,0.43611395,84.66889,12.620717,7.906634
407781,18,0.591619,0.6205653,0.35470596,82.2965,11.208478,2.959034
407812,19,0.48710594,0.6530797,0.39790654,85.8396,8.088771,-1.9356611
407862,20,0.458594,0.65703994,0.3913844,81.8962,10.674969,1.647423
407893,21,0.4516541,0.64068735,0.3875828,82.80844,8.55118,12.412163
408042,22,0.47537017,0.6298483,0.3763303,81.9889,10.256259,2.7077603
408045,23,0.35720214,0.68728715,0.43664324,83.27104,2.9145877,-3.7358017
408047,24,0.58249015,0.6744256,0.39447248,83.306595,9.48219,-0.7078479
408234,25,0.49439895,0.66787916,0.39647663,85.72214,10.143132,-0.9262885
408236,26,0.52031153,0.65573984,0.4064834,83.48455,7.3523383,2.0134363
408242,27,0.48755044,0.63464904,0.38230827,81.99645,10.48244,3.1161387
408252,28,0.5588243,0.7071309,0.41402984,81.53787,11.637971,-0.46219453
408299,29,0.45893633,0.68315184,0.44680798,78.607445,10.76544,4.501731
408307,30,0.5299688,0.6763726,0.3982213,82.349335,8.566215,0.17297643
408314,31,0.49966314,0.72000355,0.46034208,80.84197,10.721428,5.271394
424325,32,0.45767283,0.5563958,0.33640474,80.91786,14.2712755,4.053565
424825,33,0.4267949,0.6448812,0.3927823,79.20957,10.426316,5.770657
425496,34,0.428107,0.6262208,0.37453824,80.79503,10.680911,2.8456485
425509,35,0.4923026,0.63389814,0.36984324,81.9789,12.872065,6.197838
425543,36,0.51826245,0.6185943,0.3544081,80.95823,13.012709,1.6804584
425549,37,0.5004666,0.6807649,0.37230915,79.62825,14.937381,5.4938664
425557,38,0.47110566,0.6078949,0.36312473,82.41805,10.270061,0.84043115
425560,39,0.44538742,0.61251694,0.3724372,82.03999,10.765826,6.9282284
425567,40,0.45970607,0.65869176,0.4122384,81.14391,11.732741,7.299731
425664,41,0.39734876,0.7098846,0.44306636,81.725655,10.667849,5.08375
425766,42,0.5240734,0.7578066,0.47769082,81.86932,9.517789,4.357448
425772,43,0.46747753,0.57852054,0.34884015,81.14321,12.905674,2.9487247
425783,44,0.42690656,0.60594076,0.37785548,84.074486,5.966963,2.5998979
425784,45,0.5305683,0.60402226,0.36002138,82.97251,13.139368,3.4762437
425796,46,0.58343935,0.6632058,0.42380133,84.68124,10.161709,4.647089
425834,47,0.49404582,0.56330276,0.3659609,82.432785,8.591856,2.7008643
425835,48,0.47848687,0.6290825,0.37678522,82.20835,10.024838,2.344361
425877,49,0.55845433,0.7362693,0.42611787,83.93307,13.838106,3.2573764
425900,50,0.44227052,0.6461366,0.38614672,80.55792,13.492961,5.631276
425902,51,0.5351781,0.69699,0.4430757,84.27857,8.337947,3.2610717
429664,52,0.55317444,0.721903,0.4337942,86.22617,7.5387845,1.5429564
429665,53,0.45164108,0.64636695,0.39686176,84.22409,12.434071,7.104469
429666,54,0.38755834,0.7068486,0.46762165,82.8888,7.922283,5.3570256
429667,55,0.56219137,0.59576404,0.36964008,84.77133,11.12224,8.42889
429711,56,0.4349773,0.5909237,0.36555666,83.41047,10.13632,4.6200614
429713,57,0.5002553,0.6576791,0.39323646,80.87686,9.58434,5.6378126
430001,58,0.41730574,0.5640324,0.33953187,82.49858,8.730012,4.150001
430203,59,0.45041937,0.6863424,0.40480042,81.21317,11.516084,3.1076279
430321,60,0.56644595,0.66905564,0.4155485,82.96384,8.4326105,2.0734928
430404,61,0.36111602,0.61989254,0.37949097,80.57078,12.806974,8.147797
430603,62,0.47606,0.6862063,0.40319642,80.77354,10.477341,1.0395017
430605,63,0.4534388,0.5684264,0.34205762,82.79592,8.941488,2.840165
430611,64,0.5143335,0.5988892,0.38259885,80.459175,9.313014,5.566027
430613,65,0.471857,0.63141745,0.3772981,81.97696,10.038397,2.4706333
430637,66,0.48597226,0.65592307,0.39202246,81.97854,10.471963,5.040725
