batter,name,stand,stratum,log_prior_pa,level_query,woba_level
444482,David Peralta,L,high,8.284756593190435,0.3248674169191511,0.335932104997476
453568,Charlie Blackmon,L,high,8.54772239645106,0.3154488384522563,0.3645409390764454
455117,Martín Maldonado,R,high,8.034955024502159,0.28724064763362295,0.2748765392093324
456781,Donovan Solano,R,high,7.403061091090091,0.32202684156525396,0.3269390243902438
457705,Andrew Mccutchen,R,high,8.475120414994329,0.3434215298679365,0.344365533069059
457759,Justin Turner,R,high,8.414274137408396,0.35225209238347865,0.3658578713968958
467793,Carlos Santana,L,high,8.591929537530255,0.35271192694061065,0.3364403192871728
493329,Yuli Gurriel,R,high,8.196161139282902,0.339900694714241,0.3267862658576944
500743,Miguel Rojas,R,high,8.105609402299896,0.3135440679251686,0.2941065821256038
501303,Ehire Adrianza,L,medium,7.247792581767846,0.30108828068109916,0.2910220797720798
502054,Tommy Pham,R,high,8.264878262801748,0.3457860068095684,0.3405607621009269
502110,J. D. Martinez,R,high,8.489410810403786,0.36348082195188886,0.3794479638009049
502671,Paul Goldschmidt,R,high,8.629628620746026,0.3626393320348227,0.3845861637468716
514888,José Altuve,R,high,8.532081803909987,0.32140565911481267,0.3735559716200236
516782,Starling Marte,R,high,8.364275084991524,0.32087692609458507,0.339476923076923
518595,Travis D'Arnaud,R,high,7.8050670442584895,0.3282549719079225,0.3202744698205546
518692,Freddie Freeman,L,high,8.59007183682881,0.3623697581624967,0.3936317649246791
518735,Yasmani Grandal,L,high,8.257385655730436,0.33034489896478986,0.3367608300907911
518792,Jason Heyward,L,high,8.242229891372231,0.32274551232024207,0.316209112457203
518934,Dj Lemahieu,R,high,8.545391845774915,0.3555628294841302,0.3440276157137301
519203,Anthony Rizzo,L,high,8.532278828834277,0.354235055874599,0.3647085714285714
519317,Giancarlo Stanton,R,high,8.231908243564177,0.36562546244272975,0.3613661522086215
521692,Salvador Pérez,R,high,8.292047637431354,0.33953812671422295,0.3224893510398396
527038,Wilmer Flores,R,high,8.193676665955241,0.3244133474976878,0.3313928670168647
541645,Avisaíl García,R,high,8.22389538017882,0.3186155000108631,0.3159957081545064
542194,Christian Bethancourt,R,medium,6.9411900550683745,0.30006414385907265,0.2726979670861568
542303,Marcell Ozuna,R,high,8.415603335654604,0.36297970872768015,0.3434010186005314
542364,Rafael Ortega,L,medium,7.144407180321139,0.3000544293251953,0.2984976303317535
542932,Jon Berti,R,medium,7.342131730584722,0.3123070250145463,0.3118146467919637
542963,Rob Brantly,L,low,4.61512051684126,0.2719132960183038,0.25419
543063,Brandon Crawford,L,high,8.383890344101816,0.3043463418382061,0.3133385142857143
543228,Yan Gomes,R,high,8.013343181386672,0.3054578788341408,0.2967274834437086
543257,Robbie Grossman,L,high,8.187021067343505,0.3196161499262822,0.3234252713609797
543305,Aaron Hicks,L,high,8.01862546504575,0.3248714061839626,0.3234963768115942
543309,Kyle Higashioka,R,medium,6.825460036255307,0.31752472874378346,0.2767445652173912
543510,James Mccann,R,high,8.02322468471667,0.2974915936758533,0.2921911475409836
543685,Anthony Rendon,R,high,8.211482916445066,0.3658778957864764,0.3650040738728951
543760,Marcus Semien,R,high,8.609590040682205,0.33207463175151697,0.3332841510122196
543807,George Springer,R,high,8.47782846789396,0.35067216387708894,0.358866000832293
543877,Christian Vázquez,R,high,7.928766321626696,0.3075634455957925,0.2979693693693693
545121,Ildemaro Vargas,L,medium,6.785587645007929,0.3053167383485753,0.2830260180995475
545341,Randal Grichuk,R,high,8.327967858305488,0.3309444948774501,0.3234493594392071
545361,Mike Trout,R,high,8.34924780056679,0.39367284589552903,0.4224439185991481
547180,Bryce Harper,L,high,8.486940148245216,0.36776549905270756,0.3937018556701031
547989,José Abreu,R,high,8.600982717145921,0.35203679103972135,0.3513627667402502
553869,Elías Díaz,R,high,7.679713639966372,0.31124580001564217,0.299708275543227
553882,Omar Narváez,L,medium,7.703007682479236,0.2942904414312367,0.3151955736224028
553993,Eugenio Suárez,R,high,8.52456594574565,0.3211309757871912,0.3404833200953137
570482,Gio Urshela,R,high,7.768956044538332,0.3281649352459769,0.3204346723044397
571448,Nolan Arenado,R,high,8.591929537530255,0.34431648045155694,0.37058288472248
571466,Tucker Barnhart,L,high,7.9672801789422,0.2742001397126834,0.2951106102635229
571657,Kyle Farmer,R,high,7.517520850603031,0.29676765954343953,0.3079238716693855
571745,Mitch Haniger,R,high,7.884576510596324,0.3286588733431316,0.3390331450094162
571771,Enrique Hernández,R,high,8.117312461601975,0.3274204876887401,0.3095138764547896
571912,Luke Maile,R,medium,6.993932975223189,0.2880337334054722,0.2658448117539027
571970,Max Muncy,L,high,8.09559870137819,0.34652514829540726,0.3526672766087221
572138,Jon Singleton,L,low,5.099866427824199,0.2913674115191569,0.2598220858895705
572191,Michael Taylor,R,high,8.041412909393047,0.29420355824564026,0.294730199613651
572233,Christian Walker,R,high,7.8961806086154915,0.34444691406946254,0.3383183172002978
572761,Matt Carpenter,L,high,8.239593454305968,0.34039657603631057,0.352679957750198
573262,Mike Yastrzemski,L,high,7.646353722445999,0.3244623711484761,0.3359316443594646
575929,Willson Contreras,R,high,8.114623886420098,0.3232958902466059,0.3494973070017953
578428,Jose Iglesias,R,high,8.176110342237342,0.29743632566484995,0.3052971299943725
592178,Kris Bryant,R,high,8.374246182096304,0.32869613737789605,0.3690350796215093
592192,Mark Canha,R,high,8.170185652879642,0.33003851362808634,0.3372550240588735
592200,Curt Casali,R,high,7.2115567333138015,0.2950692777552572,0.3082075332348596
592206,Nick Castellanos,R,high,8.535425959677298,0.32571409679565844,0.3435820074641524
592273,Brandon Drury,R,high,7.936302693201959,0.3170041353374131,0.3193322603719599
592325,Ben Gamel,L,high,7.699842407396986,0.2990921078944375,0.3126180335296782
592348,Niko Goodrum,L,medium,7.333023014386481,0.3010367789411411,0.2974453891432309
592450,Aaron Judge,R,high,8.179199798423086,0.3994829224769701,0.4091643758765778
592518,Manny Machado,R,high,8.621012520055235,0.3787774926051083,0.3570667147493689
592626,Joc Pederson,L,high,8.239857411018601,0.3301052124916179,0.3427663674762407
592663,J. T. Realmuto,R,high,8.417593826193484,0.3372063204002374,0.3356141436464088
592669,Hunter Renfroe,R,high,8.07837810362652,0.3320863032547843,0.3283478125969594
592696,Eddie Rosario,L,high,8.294049640102028,0.2999679360428704,0.3230862715678919
592885,Christian Yelich,L,high,8.534443544822764,0.3435411354529486,0.3654201730239874
593160,Whit Merrifield,R,high,8.415603335654604,0.3149055493784485,0.3219517271922055
593428,Xander Bogaerts,R,high,8.592115117933497,0.3396233330059275,0.3558891982182628
593871,Jorge Polanco,L,high,8.161089512845797,0.3410757412548331,0.3338249071693802
593934,Miguel Sanó,R,high,7.955074273262696,0.35113670395560403,0.3424699894699894
594807,Adam Duvall,R,high,8.104099056143582,0.3143771689959495,0.3231935288781372
595281,Kevin Kiermaier,L,high,8.124446855715847,0.2884308284262779,0.3072968888888889
595284,Andrew Knapp,L,medium,6.759255270663693,0.286371568964801,0.2776469221835075
595777,Jurickson Profar,L,high,8.091933455979893,0.3243978597522119,0.3120918273645546
595879,Javier Báez,R,high,8.323851131338817,0.30754589388146947,0.3184885922330097
595909,Jake Cave,L,medium,7.10085190894405,0.28426700103968655,0.2989801980198019
595978,Austin Hedges,R,high,7.679713639966372,0.2736405152258695,0.245883495145631
596019,Francisco Lindor,L,high,8.587278798982926,0.35079928551987516,0.3461221559119731
596103,Austin Slater,R,high,7.300472814267799,0.3067813415865944,0.3274283783783783
596115,Trevor Story,R,high,8.211482916445066,0.3216400994079218,0.3523870179250407
596117,Garrett Stubbs,L,low,5.796057750765372,0.265446938423646,0.2804786585365854
596129,Dan Vogelbach,L,medium,7.534762657037537,0.32445478493329527,0.3294371993586317
596142,Gary Sánchez,R,high,7.980707820869669,0.3406975092053416,0.3305696202531645
596146,Max Kepler,L,high,8.253227645581772,0.3476259968193464,0.3231523834331857
600869,Jeimer Candelario,L,high,8.016317898503415,0.3237442806349759,0.3208012545394519
602104,Ramón Urías,R,medium,7.057036981697891,0.3218509193016041,0.3216275862068966
605113,Nick Ahmed,R,high,8.027476530860483,0.28333999670443877,0.2869105452171074
605119,Brian Anderson,R,high,7.83002808253384,0.321477824214885,0.3225708035003977
605131,Austin Barnes,R,high,7.340186835320115,0.3032295634565909,0.2965525974025974
605137,Josh Bell,L,high,8.291045131081729,0.34828350699328464,0.341551793328317
605141,Mookie Betts,R,high,8.614501373883236,0.3756795047243716,0.3817313974591652
605170,Víctor Caratini,L,medium,7.352441100243583,0.3296245732621406,0.2961045542014112
605204,J. D. Davis,R,high,7.590346945602565,0.3215091417665764,0.3353013144590495
605244,Aramis Garcia,R,low,5.755742213586912,0.2673789037721426,0.2545269841269841
605346,Jack López,R,low,2.70805020110221,0.27143755144216714,0.2268571428571428
605361,Nick Martini,L,low,6.018593214496234,0.3004425688268726,0.3369048780487805
606115,Orlando Arcia,R,high,7.901747518520144,0.29552519901629604,0.2927660125879304
606192,Teoscar Hernández,R,high,8.07215530818825,0.3370566087030746,0.3402347798938495
606466,Ketel Marte,L,high,8.276903481267057,0.34593595429357404,0.341458661918087
606992,Eric Haase,R,medium,6.98100574072173,0.29503163760788387,0.2879311627906977
607043,Brandon Nimmo,L,high,8.018954683155718,0.33374813247969437,0.361577872900889
607054,Jace Peterson,L,medium,7.889084407035514,0.2937139956414056,0.2949212598425196
607208,Trea Turner,R,high,8.392763113038061,0.33594670689200523,0.3552754870865428
607680,Kevin Pillar,R,high,8.244071270295786,0.31050318303901436,0.301568349106204
607732,Jacob Stallings,R,medium,7.313220387090301,0.3050355936088127,0.2866490993995997
608070,José Ramírez,L,high,8.525756422076725,0.3565196359936307,0.3627138040460134
608324,Alex Bregman,R,high,8.339261982923576,0.3507705800153005,0.3681536806883365
608336,Joey Gallo,L,high,8.046549357283078,0.33933164479359046,0.3367664958360025
608348,Carson Kelly,R,high,7.297091005160418,0.3108081053288013,0.2947484745762712
608369,Corey Seager,L,high,8.262816937670928,0.3655100828427948,0.36896955624355
608385,Jesse Winker,L,high,7.722234744709607,0.3349660648974258,0.3536034559149313
608596,Tom Murphy,R,high,6.917705609835305,0.29158474701404447,0.3264747274529237
608671,Travis Jankowski,L,medium,7.3031700512368,0.2733528011530074,0.2890316711590296
608701,Rob Refsnyder,R,high,6.932447891572509,0.3245774656460765,0.303224609375
608841,Joey Meneses,R,medium,6.79794041297493,0.3304980726408075,0.336004469273743
609280,Miguel Andújar,R,medium,7.020190708311925,0.31963949281217363,0.3199499105545617
613564,Jason Vosler,L,low,5.54907608489522,0.2795384671620573,0.2936796875
620443,Luis Torrens,R,medium,6.684611727667927,0.30812107579586534,0.2798886107634543
621020,Dansby Swanson,R,high,8.289288323000317,0.32869949959438793,0.3166592964824121
621028,Kevin Newman,R,high,7.5485559791698735,0.3073219865898986,0.287322614654718
621035,Chris Taylor,R,high,8.123261319121745,0.31161819224827464,0.32957757342035
621043,Carlos Correa,R,high,8.382518288089635,0.3515048348185955,0.3505262073701076
621311,David Dahl,L,medium,7.1252830915107115,0.2697589937864082,0.3288913043478261
621438,Tyrone Taylor,R,medium,6.879355804460439,0.3157944257197034,0.3191668383110195
621439,Byron Buxton,R,high,7.81156848934518,0.3217219637058882,0.3250883306320907
621458,Edwin Ríos,L,low,5.783825182329737,0.29361445327645525,0.3216018518518518
621466,Dj Stewart,L,medium,6.687108607866515,0.30239135575012754,0.3273757802746567
621493,Taylor Ward,R,high,7.317212408359839,0.33455737091971083,0.3321255813953488
621512,Tomás Nido,R,medium,6.669498089857879,0.2718685692629359,0.2420673443456162
621545,Zach Remillard,R,low,5.049856007249537,0.252646859053169,0.2704322580645161
621550,Patrick Wisdom,R,medium,7.165493475060845,0.3164419228774946,0.3281353441608662
621563,Joey Wendle,L,medium,7.734121303328305,0.298723963565371,0.3015350262697023
621566,Matt Olson,L,high,8.229511118964457,0.3637882331886817,0.367175246732462
622110,Matt Duffy,R,high,7.8160138391590275,0.31180010225670196,0.3116228317870109
622268,Donovan Walton,L,low,5.187385805840755,0.2787320590445881,0.2336348314606741
622534,Manuel Margot,R,high,7.949797216161852,0.3198968188185104,0.2998126323218066
622569,Pablo Reyes,R,medium,6.226536669287466,0.315959916705294,0.2996158415841584
622761,Jorge Mateo,R,medium,7.010311867307229,0.3017287355863466,0.2759557362240289
623168,Tyler Heineman,L,low,5.6240175061873385,0.27958549869263133,0.2651086956521739
623520,David Bote,R,medium,7.05617528410041,0.31620546534821914,0.3082165660051769
623912,Harold Ramírez,R,high,7.428927194802272,0.32395960228889853,0.3220130718954248
623993,Anthony Santander,L,high,7.801391320291485,0.3460772213161527,0.326123618501842
624413,Pete Alonso,R,high,7.963807953231451,0.37189566568633403,0.3630125260960334
624415,Cavan Biggio,L,medium,7.392647520721623,0.3097260663096069,0.3239063462723352
624424,Michael Conforto,L,high,8.138564737261632,0.32421779278062957,0.3469272567922874
624428,Adam Frazier,L,high,8.152198015861787,0.3146479994595225,0.3148400576368875
624431,Jose Trevino,R,medium,6.942156705699469,0.3103685411815977,0.2749961315280464
624503,Nick Gordon,L,medium,6.617402977974478,0.30013251559038556,0.2967135207496653
624512,Reese Mcguire,L,medium,6.759255270663693,0.27640957740184335,0.2956097560975609
624585,Jorge Soler,R,high,8.116417072794205,0.3532265306182939,0.3382514934289127
624641,Edmundo Sosa,R,medium,6.71174039505618,0.2873792733319469,0.3077076735688185
628451,Andy Ibáñez,R,medium,6.661854740545311,0.31258854120833185,0.3103610755441741
630105,Jake Cronenworth,L,high,7.609862200913554,0.3228757542646973,0.3244799206742687
640492,José Azócar,R,medium,5.746203190540153,0.2865967710150701,0.2787403846153846
641313,Tim Anderson,R,high,8.24143968982973,0.29178461021046803,0.3151051660516605
641343,Jake Bauers,L,medium,7.240649694255466,0.29836091856519825,0.2908472022955523
641355,Cody Bellinger,L,high,8.157943507105037,0.32977838882007016,0.3462143266475644
641432,Willie Calhoun,L,medium,6.98933526597456,0.32980495747829397,0.302220479704797
641487,J. P. Crawford,L,high,7.92588031673756,0.3184981115981619,0.3187101554029635
641511,Jason Delay,R,medium,5.863631175598097,0.26912215930758987,0.2707948717948717
641584,Jake Fraley,L,medium,6.86484777797086,0.2898880081522547,0.3267063740856844
641598,Mitch Garver,R,high,7.393263094763838,0.3438696751136099,0.3514772167487685
641645,Luis Guillorme,L,medium,6.70073110954781,0.3062512287371838,0.3035221674876847
641658,Garrett Hampson,R,high,7.323170717943469,0.2775548514244724,0.2938685601056803
641680,Jonah Heim,L,medium,7.150701457592526,0.3330966160609543,0.299204081632653
641779,Charles Leblanc,R,low,5.135798437050262,0.3012777560703414,0.3180710059171597
641856,Billy Mckinney,L,medium,6.813444599510896,0.29553288563240876,0.2886413641364136
641857,Ryan Mcmahon,L,high,7.926963544862979,0.30900440300371323,0.3241909747292419
641933,Tyler O'Neill,R,medium,7.400620577371135,0.32995173360061464,0.3327726161369193
641943,Joshua Palacios,L,low,5.8664680569332965,0.30561689308190765,0.2795681818181818
642020,Chuckie Robinson,R,low,4.0943445622221,0.28721293006953896,0.1729152542372881
642086,Dominic Smith,L,high,7.579167967396076,0.30504837460878564,0.3115945807770961
