pc,variable,r_raw,r_partial,n
pc1,swing,0.11765438884060735,0.11759500331174043,1564
pc1,contact,-0.23504661789715098,-0.259178161837752,1564
pc1,split_inplay,0.03559260703346558,0.021695355814365148,1564
pc1,ev,0.30402250858467467,0.3022672058233128,1564
pc1,la,-0.3256000850849875,-0.32998266310688085,1564
pc1,spray,0.342345874320687,0.3391901024850498,1564
pc1,swing_rate,0.026463315535081914,0.03420008572866091,1564
pc1,whiff_rate,0.18032359391547287,0.19751362356556293,1563
pc1,contact_rate,-0.18032359391547287,-0.1975136235655629,1563
pc1,chase_rate,0.027895289932248834,0.03525861419252628,1559
pc1,zone_swing_rate,0.07327882999286829,0.07135547347431578,1564
pc1,ev_mean,0.2570838830290964,0.2509929507685673,1544
pc1,ev_p90,0.2902364799291702,0.3106029447988064,1544
pc1,la_mean,-0.045259142741399805,-0.057604799446888115,1544
pc1,bat_speed_mean,0.3836531100462339,0.38543115965698166,570
pc1,pull_rate,0.07898332183569218,0.07598040895431267,1545
pc1,woba_level,0.06763022183723354,0.04519780194561972,1563
pc1,obs_platoon_diff,0.03697872616564156,0.03871279185705954,1496
pc1,log_prior_pa,0.05555799627384397,0.00905002562667525,1564
pc2,swing,0.2711215780049364,0.2711311440836076,1564
pc2,contact,0.8274679210350804,0.8489794237121303,1564
pc2,split_inplay,0.8291240096923904,0.851020812061868,1564
pc2,ev,-0.03285069324846943,-0.04571443475513821,1564
pc2,la,-0.18557212527784936,-0.18800515474274876,1564
pc2,spray,-0.18617057900608844,-0.1901919870252655,1564
pc2,swing_rate,0.14653732209815734,0.1524477294544469,1564
pc2,whiff_rate,-0.4128141785207209,-0.41572263081854854,1563
pc2,contact_rate,0.4128141785207209,0.41572263081854854,1563
pc2,chase_rate,0.3015307732275247,0.3084468390952415,1559
pc2,zone_swing_rate,-0.07867282048241168,-0.08003728225106384,1564
pc2,ev_mean,-0.20712552246705762,-0.22447617102178252,1544
pc2,ev_p90,-0.21742633665886096,-0.2840394414998994,1544
pc2,la_mean,-0.15714290510585852,-0.16662803628518888,1544
pc2,bat_speed_mean,-0.31871874684863316,-0.3213211284746804,570
pc2,pull_rate,-0.11283295180919674,-0.11491929869756563,1545
pc2,woba_level,-0.04036243706277906,-0.06813428692174679,1563
pc2,obs_platoon_diff,-0.024783909436942475,-0.023819715679266225,1496
pc2,log_prior_pa,0.033670377787741415,0.007743623274891996,1564
pc3,swing,-0.5316997943427882,-0.5317077057658526,1564
pc3,contact,0.06045384255352817,0.06248864951625738,1564
pc3,split_inplay,0.09505480236082575,0.0983956707714789,1564
pc3,ev,-0.6288137277057636,-0.6623053015645716,1564
pc3,la,0.1343833744891723,0.13458259864986163,1564
pc3,spray,0.5234951557526637,0.5256756030350903,1564
pc3,swing_rate,-0.35164702503159656,-0.3547074731075876,1564
pc3,whiff_rate,-0.2133404370995412,-0.21843390516152467,1563
pc3,contact_rate,0.2133404370995412,0.21843390516152464,1563
pc3,chase_rate,-0.3288063585637779,-0.3313389003120059,1559
pc3,zone_swing_rate,-0.27794313448408137,-0.2781626060603482,1564
pc3,ev_mean,-0.20544337951037833,-0.2130818176274919,1544
pc3,ev_p90,-0.2656399980419388,-0.3191111445255881,1544
pc3,la_mean,0.16713676677773343,0.17044352955766146,1544
pc3,bat_speed_mean,-0.4576770809225914,-0.4543238181080546,570
pc3,pull_rate,0.1410331225298819,0.1412936172695237,1545
pc3,woba_level,-0.020739367169228883,-0.02468216733162441,1563
pc3,obs_platoon_diff,-0.0195350487665301,-0.01963572956275279,1496
pc3,log_prior_pa,0.0006322870740826761,-0.016577959221481874,1564
pc4,swing,-0.284968522001999,-0.28541422568847263,1564
pc4,contact,-0.07241445945375886,-0.05530608211045238,1564
pc4,split_inplay,-0.01798079918628465,0.001385468150362732,1564
pc4,ev,-0.2295301182942239,-0.21820447239957597,1564
pc4,la,-0.6400184708291066,-0.638514790438103,1564
pc4,spray,-0.5056687342124292,-0.5024143840405831,1564
pc4,swing_rate,-0.18609214194880072,-0.19806707356525327,1564
pc4,whiff_rate,-0.07265859228080239,-0.09100858490368656,1563
pc4,contact_rate,0.07265859228080239,0.09100858490368657,1563
pc4,chase_rate,-0.2077982349258555,-0.21930581429186907,1559
pc4,zone_swing_rate,-0.1369212882059207,-0.1346377257424658,1564
pc4,ev_mean,-0.03278116487746752,-0.012628999899947303,1544
pc4,ev_p90,-0.08559545340567352,-0.05182748480177687,1544
pc4,la_mean,-0.31240084419394654,-0.3042390424615142,1544
pc4,bat_speed_mean,-0.19086057295392928,-0.1855184663741123,570
pc4,pull_rate,-0.1949815853941759,-0.19158950197734984,1545
pc4,woba_level,-0.06117403052028881,-0.026851907432807024,1563
pc4,obs_platoon_diff,0.02387061485796871,0.02176253934572966,1496
pc4,log_prior_pa,-0.07297845714580975,-0.04293005026052411,1564
