bin,n_hitters,pa,mean_pred,mean_obs,gap
0,216,18052.0,0.26963365183803273,0.2730216596499003,-0.003388007811867544
1,178,17729.0,0.288420731929351,0.28654458796322413,0.0018761439661268975
2,143,18431.0,0.29619779087374964,0.29510504042102975,0.0010927504527198928
3,114,17947.0,0.3055807543203317,0.29754900540480306,0.008031748915528658
4,101,18153.0,0.3143456217767817,0.30772709744945737,0.006618524327324349
5,95,17975.0,0.3214827005663078,0.31147794158553554,0.010004758980772244
6,77,18186.0,0.3288866786670177,0.3123372374353899,0.016549441231627826
7,77,18056.0,0.3376471442677486,0.3296898537882145,0.007957290479534085
8,71,17884.0,0.34864482978820677,0.33389711473943184,0.014747715048774923
9,77,18359.0,0.37167685872750983,0.35743602592733814,0.014240832800171688
