component,explained_variance_ratio,cumulative_explained_variance
1,0.06422109946065652,0.06422109946065652
2,0.060152903542889144,0.12437400300354566
3,0.05403274904143482,0.17840675204498047
4,0.04469038648719376,0.22309713853217422
5,0.04069322627727662,0.26379036480945084
6,0.040137364771511794,0.30392772958096265
7,0.03422767920186931,0.33815540878283196
8,0.03234526573531098,0.37050067451814295
9,0.02937329962088183,0.39987397413902476
10,0.02844430832779663,0.4283182824668214
11,0.02490570724830704,0.45322398971512845
12,0.023516521929271714,0.4767405116444002
13,0.02261347942174676,0.4993539910661469
14,0.021199812816503558,0.5205538038826505
15,0.02023769251275507,0.5407914963954056
16,0.019998478699577514,0.5607899750949831
17,0.0195477269600262,0.5803377020550092
18,0.01911972737303963,0.5994574294280488
19,0.018306187217431574,0.6177636166454804
20,0.017008060215718407,0.6347716768611988
21,0.01647151971234117,0.65124319657354
22,0.016047617872265798,0.6672908144458058
23,0.015905874698664575,0.6831966891444704
24,0.014617645848090081,0.6978143349925605
25,0.013974346713465088,0.7117886817060256
26,0.013589395274806126,0.7253780769808318
27,0.013356130150529982,0.7387342071313617
28,0.01290886914658005,0.7516430762779418
29,0.012582508485536492,0.7642255847634782
30,0.012346814022657138,0.7765723987861354
31,0.011728973216912677,0.7883013720030481
32,0.011242232213995269,0.7995436042170433
