batter,stand,stratum,dim,gradient
457705,R,high,0,-0.0015567875154975641
467793,L,high,0,-0.0019687886790854133
502671,R,high,0,-0.0027711794428013966
545121,L,medium,0,-0.0017433939455080106
545361,R,high,0,-0.0033254180484112565
571745,R,high,0,-0.0012557540252564848
592325,L,high,0,0.0005192393763567188
592626,L,high,0,-6.628217674468837e-05
593871,L,high,0,-0.0031530497585022157
595978,R,high,0,-0.00210401633298662
605131,R,high,0,-0.0028141236182328846
605170,L,medium,0,0.000639308960252224
605346,R,low,0,-0.003254348122877168
608336,L,high,0,-0.004279801714465334
624428,L,high,0,0.0012918956898895486
650859,L,high,0,-0.0018455148669167178
656555,R,high,0,-0.0033371411539847933
656941,L,high,0,-0.0030363932942979216
660707,R,medium,0,-0.00527018617961863
662139,L,medium,0,-0.0021158578790507654
664761,R,high,0,-0.0048959759807322084
665742,L,high,0,-0.0013229099811722144
665926,L,medium,0,-0.003198071658134522
667472,R,low,0,-0.005095161624799277
668709,L,medium,0,-0.000983806332488558
669289,R,medium,0,-0.0026626073046884012
669394,R,medium,0,-0.003538947675234812
676113,L,low,0,0.0
677347,R,low,0,-0.0014280746128158923
680474,R,low,0,0.0
680718,L,low,0,0.0
680776,L,medium,0,0.0007583722892949619
680869,R,low,0,-0.003333460676189763
681146,R,low,0,-0.0019451214633859687
682177,L,low,0,0.0
682626,R,medium,0,-0.00501596987444241
686527,L,low,0,0.0007694268811112527
686894,R,medium,0,-0.0049519217816199395
691718,L,low,0,0.0020251811947846715
700250,L,low,0,0.0
457705,R,high,1,-0.00042078264095598303
467793,L,high,1,0.00034739257415413984
502671,R,high,1,-0.0007189365021582542
545121,L,medium,1,-0.0024143020857380557
545361,R,high,1,-0.001389452021481336
571745,R,high,1,-0.00038701971988632406
592325,L,high,1,-0.0011733179591988999
592626,L,high,1,-0.0022724484514823635
593871,L,high,1,-0.001523889199155459
595978,R,high,1,-0.003113653419411705
605131,R,high,1,-0.000639527019775246
605170,L,medium,1,-0.001620792768998199
605346,R,low,1,-0.00229930689764026
608336,L,high,1,-0.004270491863072502
624428,L,high,1,0.001217588849887255
650859,L,high,1,-0.0012278036287234249
656555,R,high,1,-0.0032039689867148133
656941,L,high,1,-0.0031898661485040606
660707,R,medium,1,-0.003427088197177889
662139,L,medium,1,-0.005423065265727007
664761,R,high,1,-0.0015070044980177986
665742,L,high,1,-0.0006725589287584353
665926,L,medium,1,-0.0029903924875915046
667472,R,low,1,-0.0037323006127354184
668709,L,medium,1,-0.0021095949089527354
669289,R,medium,1,-0.002161679912702751
669394,R,medium,1,-0.001825688911920491
676113,L,low,1,0.0
677347,R,low,1,-0.0017245951380965444
680474,R,low,1,0.0
680718,L,low,1,0.0
680776,L,medium,1,-0.0028678672034284903
680869,R,low,1,-0.0019953586287386063
681146,R,low,1,-0.0004702273595316613
682177,L,low,1,0.0
682626,R,medium,1,-0.004198995655693298
686527,L,low,1,-0.003376898834977554
686894,R,medium,1,-0.002564073722621507
691718,L,low,1,-0.0014484071654288207
700250,L,low,1,0.0
457705,R,high,2,0.001281457158514553
467793,L,high,2,0.0007145547718911756
502671,R,high,2,0.0023498065171644166
545121,L,medium,2,0.0008014745934823842
545361,R,high,2,0.0038412563126863967
571745,R,high,2,0.0021842417983935682
592325,L,high,2,0.000832581590356272
592626,L,high,2,-0.0010154229479525582
593871,L,high,2,-0.001817949928967353
595978,R,high,2,0.003138677595570934
605131,R,high,2,0.0013961468217329658
605170,L,medium,2,0.0008731591187218498
605346,R,low,2,0.002513139439923852
608336,L,high,2,-0.0042956147123061
624428,L,high,2,-0.0006300989341123207
650859,L,high,2,0.0014011217113683125
656555,R,high,2,0.0009821586442349645
656941,L,high,2,-0.0012566880415329751
660707,R,medium,2,-6.838217227465506e-05
662139,L,medium,2,-0.0011052941325640382
664761,R,high,2,0.00043348918106993873
665742,L,high,2,-0.0007480411431016916
665926,L,medium,2,-0.00031927612272232136
667472,R,low,2,0.0018579521325617176
668709,L,medium,2,-0.0002538540075505102
669289,R,medium,2,0.0029773851317670373
669394,R,medium,2,0.0036278909565526664
676113,L,low,2,0.0
677347,R,low,2,0.0020821879369336883
680474,R,low,2,0.0
680718,L,low,2,0.0
680776,L,medium,2,0.0002017360509791572
680869,R,low,2,0.0027206595372097236
681146,R,low,2,0.0020618301447679036
682177,L,low,2,0.0
682626,R,medium,2,0.0026627593426120713
686527,L,low,2,0.0003412877055779985
686894,R,medium,2,-9.064507631399482e-05
691718,L,low,2,0.000876390056764123
700250,L,low,2,0.0
457705,R,high,3,0.0019378370490778184
467793,L,high,3,-0.0013630186505901054
502671,R,high,3,0.00042584585907863153
545121,L,medium,3,-0.00048338200986974367
545361,R,high,3,0.0023402434767025356
571745,R,high,3,0.002122138226355356
592325,L,high,3,0.0003133902831411658
592626,L,high,3,-0.001257056791529333
593871,L,high,3,0.00044552192742912465
595978,R,high,3,0.0018317375523053527
605131,R,high,3,0.0007435728392086677
605170,L,medium,3,0.0026084299361363115
605346,R,low,3,0.0029340601315155927
608336,L,high,3,-0.0012344529946482154
624428,L,high,3,0.0008607548243068661
650859,L,high,3,0.0028933589359332883
656555,R,high,3,0.0012957383836551992
656941,L,high,3,-0.0004781023977595333
660707,R,medium,3,0.0007500626465971824
662139,L,medium,3,0.00025762615101514576
664761,R,high,3,-0.0003262751535337856
665742,L,high,3,3.723658556589026e-05
665926,L,medium,3,-0.00013877461090749886
667472,R,low,3,0.0013927826602996409
668709,L,medium,3,-0.00130517763258728
669289,R,medium,3,0.0019655617689601115
669394,R,medium,3,0.0036452271003374432
676113,L,low,3,0.0
677347,R,low,3,0.002019101918505692
680474,R,low,3,0.0
680718,L,low,3,0.0
680776,L,medium,3,0.001966667050483364
680869,R,low,3,0.0013302970969287231
681146,R,low,3,0.0003843704009941382
682177,L,low,3,0.0
682626,R,medium,3,0.0035227962448642677
686527,L,low,3,-0.0016553302904735766
686894,R,medium,3,0.0015419267110138946
691718,L,low,3,0.001287664741671285
700250,L,low,3,0.0
457705,R,high,4,0.00036718255001659533
467793,L,high,4,-0.0028961337613189727
502671,R,high,4,-0.000785976681423703
545121,L,medium,4,-0.0007484328265131751
545361,R,high,4,-0.0007745232231402217
571745,R,high,4,-0.001654414827918758
592325,L,high,4,-0.00014234312885580107
592626,L,high,4,0.0019807570236142365
593871,L,high,4,-0.002454542684936883
595978,R,high,4,-0.0009659460777640813
605131,R,high,4,-0.00028495242789103504
605170,L,medium,4,-0.002919142509734792
605346,R,low,4,-0.0005650646241470379
608336,L,high,4,0.003715521189138315
624428,L,high,4,0.001427618187663857
650859,L,high,4,-0.00131279124169178
656555,R,high,4,0.0017533800120599244
656941,L,high,4,0.002357868081292594
660707,R,medium,4,0.0009267525381343598
662139,L,medium,4,0.0017522507230403061
664761,R,high,4,0.0009482084538931253
665742,L,high,4,0.0029849204252368113
665926,L,medium,4,0.001926431936252457
667472,R,low,4,0.0007757224816621819
668709,L,medium,4,0.0022099357124513363
669289,R,medium,4,-0.0006872914569223234
669394,R,medium,4,-0.00016435548585752875
676113,L,low,4,0.0
677347,R,low,4,-0.0019762313256113076
680474,R,low,4,0.0
680718,L,low,4,0.0
680776,L,medium,4,0.0013780928714241158
680869,R,low,4,6.3130547038268e-06
681146,R,low,4,-0.0012206369206989747
682177,L,low,4,0.0
682626,R,medium,4,0.0005220505008181993
686527,L,low,4,0.0011491199884933227
686894,R,medium,4,0.0017289863220949367
691718,L,low,4,0.0005313671317519683
700250,L,low,4,0.0
457705,R,high,5,0.0005830277266302705
467793,L,high,5,-0.000809665088632318
502671,R,high,5,-0.0010605346061703111
545121,L,medium,5,-0.004121706552450851
545361,R,high,5,-0.003355509855876153
571745,R,high,5,-0.0006208141899850136
592325,L,high,5,-0.0032018061454517468
592626,L,high,5,-0.0017765377785632737
593871,L,high,5,-0.0020607267587029786
595978,R,high,5,-0.0023889630556693177
605131,R,high,5,0.000180716257987264
605170,L,medium,5,-0.006249012592285196
605346,R,low,5,-0.0027258893036669744
608336,L,high,5,-0.003292721458771943
624428,L,high,5,-0.001188112311987938
650859,L,high,5,-0.003333326423309054
656555,R,high,5,-0.00046845096758753665
656941,L,high,5,-0.0021796777606092116
660707,R,medium,5,-0.0031471636866744327
662139,L,medium,5,-0.002439683880579175
664761,R,high,5,6.846978791254653e-06
665742,L,high,5,-0.003325860568089309
665926,L,medium,5,-0.0042393312939201615
667472,R,low,5,-0.0015805520133727084
668709,L,medium,5,-0.0036014211964146116
669289,R,medium,5,-0.000145670580347252
669394,R,medium,5,-0.002268096349170598
676113,L,low,5,0.0
677347,R,low,5,-0.0030320818991713696
680474,R,low,5,0.0
680718,L,low,5,0.0
680776,L,medium,5,-0.003997524686122374
680869,R,low,5,-0.0013261381795345078
681146,R,low,5,-0.0005416899641988967
682177,L,low,5,0.0
682626,R,medium,5,-0.0027791929575845687
686527,L,low,5,-0.007544255586411184
686894,R,medium,5,-0.0006601624225139935
691718,L,low,5,-0.00541795648436087
700250,L,low,5,0.0
457705,R,high,6,-2.6425969543408813e-05
467793,L,high,6,0.002058653869974594
502671,R,high,6,-0.0006369750304501046
545121,L,medium,6,0.00018541152322721288
545361,R,high,6,-0.0015275576878592202
571745,R,high,6,-0.0019753424489287364
592325,L,high,6,-0.0027840084049152313
592626,L,high,6,0.00042796281030408034
593871,L,high,6,-0.0002620586195276049
595978,R,high,6,-0.0028525516382897605
605131,R,high,6,-0.0004274784043621838
605170,L,medium,6,0.0015114165638753785
605346,R,low,6,-0.0038427565334437125
608336,L,high,6,0.0005403512096870751
624428,L,high,6,-0.00016579473661518213
650859,L,high,6,0.0005714229100121768
656555,R,high,6,-0.000513767817490856
656941,L,high,6,0.002480004266366863
660707,R,medium,6,-9.197964449239593e-05
662139,L,medium,6,-0.0011198179219398053
664761,R,high,6,-0.001661334867571788
665742,L,high,6,-0.0013779900878074635
665926,L,medium,6,-0.001393201551769581
667472,R,low,6,-0.0014391025619582424
668709,L,medium,6,-0.0013876214300305874
669289,R,medium,6,-0.0002270175288302042
669394,R,medium,6,-0.002896430638442627
676113,L,low,6,0.0
677347,R,low,6,-0.004714837738497409
680474,R,low,6,0.0
680718,L,low,6,0.0
680776,L,medium,6,-0.0019653415286871273
680869,R,low,6,-0.0029511871764897582
681146,R,low,6,-0.0022968267819056917
682177,L,low,6,0.0
682626,R,medium,6,-0.0021589721086007784
686527,L,low,6,-0.0020742154917234635
686894,R,medium,6,-0.0008678651692902409
691718,L,low,6,-0.0010969930874618168
700250,L,low,6,0.0
457705,R,high,7,-0.0007755253900969946
467793,L,high,7,-0.001931500095965677
502671,R,high,7,-0.002352813713454891
545121,L,medium,7,-0.004039923355610412
545361,R,high,7,-0.0011210731010118313
571745,R,high,7,-0.004066184491301993
592325,L,high,7,-0.00033969897996034934
592626,L,high,7,8.364676429317293e-05
593871,L,high,7,-0.0002846761906335073
595978,R,high,7,-0.0023413116130461295
605131,R,high,7,-0.002222065775684423
605170,L,medium,7,-0.0024805268055743675
605346,R,low,7,-0.0024544598207708406
608336,L,high,7,0.0010219674816521719
624428,L,high,7,-0.0005687339585342051
650859,L,high,7,-0.00444822577914434
656555,R,high,7,-0.0018446023468122617
656941,L,high,7,0.002264239686296502
660707,R,medium,7,-0.002861602572422833
662139,L,medium,7,-0.000642989265011156
664761,R,high,7,-0.0011507523119010368
665742,L,high,7,-0.0010159747540656502
665926,L,medium,7,-0.0002532306875895002
667472,R,low,7,-0.0013487557380984342
668709,L,medium,7,-0.00023043202785190777
